trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_orange_berries_purple_trunks_or_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-trunk_color-purple	tree-leaves_color-purple	tree-trunk_color-orange	tell me something to find	17898	listener	133144	chatMessage		
1	flowers_purple_stems_thorns	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	flower-stem_color-purple	flower-petals_color-white	flower-thorns_present-false	it has spike with purple color~~~	37538	speaker	107730	chatMessage		
2	bugs_white_legs_purple_wings_or_orange_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-legs_color-white	bug-head_color-orange	bug-body_color-purple	it has both purple and orange color~~~	19386	speaker	30390	chatMessage		
3	trees_purple_leaves_berries	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-leaves_color-purple	tree-berries_color-orange	tree-berries_color-purple	it' s green	7268	speaker	13491	chatMessage		
4	bugs_white_legs_purple_wings_or_orange_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-bug_wings_color-purple	bug-head_color-white	bug-body_color-purple	its purple	17014	speaker	21697	chatMessage		
5	bugs_antennae_or_wings_purple_bodies	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-body_color-purple	bug-bug_wings_color-purple	bug-antennae_present-true	only orange color in body~~~	17518	speaker	21639	chatMessage		
6	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-leaves_color-white	tree-trunk_color-orange	tree-trunk_color-purple	its like a blue color~~~	12404	speaker	15468	chatMessage		
7	fish_white_stripes_or_purple_bodies_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	fish-body_color-purple	fish-stripes_color-orange	fish-fangs_present-true	its like only purple ~~~	28697	speaker	33249	chatMessage		
8	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	fish-body_color-orange	fish-body_color-orange	fish-stripes_present-false	it has less orange in body~~~	15282	speaker	18127	chatMessage		
9	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	fish-whiskers_present	fish-body_color-white	fish-fangs_present-true	it has only purple color in body	24875	speaker	26867	chatMessage		
10	bugs_wings_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-antennae_present	bug-legs_color-purple	bug-bug_wings_color-orange	it has spike and blue color in wings~~~	25272	speaker	28571	chatMessage		
11	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-trunk_color-orange	tree-trunk_color-purple	tree-berries_color-orange	orange and blue	9567	speaker	17970	chatMessage		
12	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	fish-fangs_present	fish-stripes_color-white	fish-body_color-purple	only orange and purple~~~	16093	speaker	27834	chatMessage		
13	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bird-crest_present	bird-crest_tail_color-white	bird-crest_tail_color-purple	it has combination of color~~~	15608	speaker	26023	chatMessage		
14	bugs_purple_legs_white_heads	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-legs_color-purple	bug-head_color-white	bug-bug_wings_color-purple	fully orange color in body~~~	12792	speaker	17409	chatMessage		
15	flowers_purple_stems_or_thorns_white_centers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	flower-center_color-white	flower-stem_color-purple	flower-petals_color-orange	combination of color~~~	13831	speaker	17527	chatMessage		
16	trees_purple_berries_or_white_trunks	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-trunk_color-white	tree-trunk_color-orange	tree-berries_present-true	both blue and green~~~	10890	speaker	16810	chatMessage		
17	fish_white_bodies_orange_stripes_or_fangs	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	fish-stripes_color-orange	fish-stripes_color-orange	fish-whiskers_present-false	purple and orange ~~~	9046	speaker	14611	chatMessage		
18	fish_white_stripes_or_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	fish-stripes_color-white	fish-whiskers_present-false	fish-stripes_color-white	fully orange in body~~~	13692	speaker	19238	chatMessage		
19	flowers_purple_stems_white_petals_or_orange_centers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	flower-center_color-orange	flower-stem_color-orange	flower-center_color-white	only purple ~~~	16973	speaker	21802	chatMessage		
20	bugs_orange_head	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-head_color-orange	bug-legs_color-white	bug-antennae_present-true	orange and violet	13256	speaker	21742	chatMessage		
21	bugs_without_wings	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-wings_present	bug-bug_wings_color-orange	bug-antennae_present-true	orange and violet and spike~~~	14998	speaker	20925	chatMessage		
22	flowers_orange_petals_purple_centers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	flower-petals_color-orange	flower-petals_color-white	flower-center_color-white	orange~~~	6709	speaker	12679	chatMessage		
23	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-leaves_present	tree-leaves_present-true	tree-trunk_color-white	red~~~	4440	speaker	8096	chatMessage		
24	birds_orange_tails_or_white_wings_orange_crests	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bird-crest_tail_color-orange	bird-crest_present-true	bird-bird_wing_color-white	orange and yellow~~~	21137	speaker	26896	chatMessage		
25	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bird-crest_tail_color-white	bird-crest_tail_color-white	bird-bird_wing_color-orange	without spike~~~	10487	speaker	18064	chatMessage		
26	fish_orange_bodies_purple_stripes	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	fish-stripes_present	fish-fangs_present-false	fish-whiskers_present-true	orange and violet	11058	speaker	14089	chatMessage		
27	trees_white_leaves_or_orange_berries	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-berries_color-orange	tree-berries_present-false	tree-leaves_color-purple	"red, orange "	6949	speaker	14905	chatMessage		
28	bugs_purple_legs_white_heads	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bug-head_color-white	bug-body_color-purple	bug-antennae_present-true	orange	2949	speaker	6671	chatMessage		
37	flowers_thorns_purple_petals_or_orange_stems	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	flower-thorns_present	flower-center_color-orange	flower-petals_color-orange	violet	3617	speaker	6212	chatMessage		
41	birds_orange_wings_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-crest_present-true	violet	5762	speaker	7814	chatMessage		
42	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	tree-berries_present	tree-trunk_color-white	tree-berries_color-orange	blank tree~~~	5319	speaker	10882	chatMessage		
43	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1.55492E+12	speaker	bird-bird_wing_color-purple	bird-crest_present-true	bird-crest_tail_color-orange	white spike	5204	speaker	9918	chatMessage		
