trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554918811398	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	H^i	1291	speaker	22927	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554918816731	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	Hey	1694	listener	28999	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554918860704	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	Which one do you see as the target?	7118	listener	72964	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554918890270	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	3rd one	9645	speaker	101398	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554918913342	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	They are in a different order, according to the instructions~~~ You have to describe the target	15882	listener	125609	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554918974512	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	all are colored with out white 	30427	speaker	185510	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554918999099	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	There are three different ones~~~ One has a white tail~~~ One has a white wing~~~ One has an orange wing	16735	listener	211362	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919011141	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	and orange tail	1749	listener	223406	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919024076	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	orange wing	9901	speaker	233228	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919036689	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	orange wing with white tail or orange wing and orange tail	9426	listener	248954	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919045256	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	each one of these is a $~~~02 bonus	8205	listener	257520	chatMessage		
0	birds_purple_tails	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919077400	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	orange wing and tail	10659	speaker	286454	chatMessage		
1	trees_leaves_berries_or_orange_trunks	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919095831	speaker	tree-trunk_color-orange	tree-trunk_color-white	tree-leaves_present-true	hi	869	speaker	10619	chatMessage		
