trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915924321	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	no cololr in the petals	4734	speaker	85918	chatMessage		
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915931182	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	pink center	2962	speaker	92781	chatMessage		
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915958391	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	thoughts?	3840	speaker	119990	chatMessage		
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915986067	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	I huess the center is lavendar, not pink	9668	speaker	147660	chatMessage		
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916006055	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	can you choose the right one?	5443	speaker	167649	chatMessage		
1	trees_without_leaves	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916042305	speaker	tree-leaves_present	tree-leaves_present-false	tree-trunk_color-purple	no color in the trunk of the tree, lavendar leaves	18741	speaker	23768	chatMessage		
2	bugs_without_wings	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916075145	speaker	bug-wings_present	bug-body_color-purple	bug-legs_color-purple	white legs and butt	4508	speaker	19714	chatMessage		
3	bugs_white_heads_or_orange_antennae_purple_legs	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916094915	speaker	bug-head_color-white	bug-antennae_color-orange	bug-legs_color-white	only white is in the eyes	4530	speaker	8849	chatMessage		
3	bugs_white_heads_or_orange_antennae_purple_legs	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916101598	speaker	bug-head_color-white	bug-antennae_color-orange	bug-legs_color-white	no antennea	3871	speaker	15534	chatMessage		
4	fish_orange_bodies_purple_stripes_or_whiskers	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916111252	speaker	fish-stripes_present	fish-stripes_color-white	fish-stripes_color-orange	no stripes	2160	speaker	5923	chatMessage		
