trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_purple_petals_or_thorns	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922229386	speaker	flower-petals_color-purple	flower-stem_color-orange	flower-center_color-white	Orange center purple stem	9594	speaker	21380	chatMessage		
1	flowers_orange_petals_purple_centers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922248465	speaker	flower-petals_color-orange	flower-center_color-purple	flower-center_color-orange	white center white stem	7049	speaker	12071	chatMessage		
2	bugs_orange_head	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922268617	speaker	bug-head_color-orange	bug-bug_wings_color-orange	bug-legs_color-white	pink legs no wings	6379	speaker	12440	chatMessage		
3	trees_without_leaves	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922291116	speaker	tree-leaves_present	tree-berries_color-orange	tree-trunk_color-white	white leaves blue trunk no orange	10763	speaker	15584	chatMessage		
4	fish_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922339935	speaker	fish-whiskers_present	fish-fangs_present-true	fish-stripes_color-white	pink stripes orange fins	23015	speaker	39866	chatMessage		
4	fish_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922353214	speaker	fish-whiskers_present	fish-fangs_present-true	fish-stripes_color-white	tooth or no tooth?	2717	listener	53115	chatMessage		
4	fish_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922372800	speaker	fish-whiskers_present	fish-fangs_present-true	fish-stripes_color-white	Sorry I dont have a tooth in my pics	11567	speaker	72731	chatMessage		
5	birds_purple_tails	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922392405	speaker	bird-crest_tail_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-white	no tail orange wing	6870	speaker	13018	chatMessage		
6	flowers_thorns	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922427171	speaker	flower-thorns_present	flower-petals_color-orange	flower-center_color-orange	white petals purple center 	21309	speaker	27953	chatMessage		
7	fish_white_stripes_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922453501	speaker	fish-stripes_color-white	fish-body_color-purple	fish-fangs_present-false	orange body white fin	12005	speaker	18179	chatMessage		
8	fish_orange_bodies_or_fangs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922475110	speaker	fish-body_color-orange	fish-whiskers_present-true	fish-stripes_present-true	purple white no whiskers	6366	speaker	13267	chatMessage		
9	birds_orange_crests_or_purple_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922494535	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-purple	orange tail purple wing	5375	speaker	11835	chatMessage		
10	trees_purple_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922509061	speaker	tree-berries_color-purple	tree-berries_color-purple	tree-leaves_color-white	white leaves	2743	speaker	5145	chatMessage		
11	flowers_purple_stems_white_petals_or_orange_centers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922533175	speaker	flower-petals_color-white	flower-center_color-orange	flower-petals_color-orange	white center white petals	12938	speaker	18745	chatMessage		
12	fish_orange_bodies_purple_stripes_or_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922548954	speaker	fish-stripes_color-purple	fish-stripes_color-orange	fish-stripes_color-white	all purple	3463	speaker	6345	chatMessage		
13	bugs_orange_antennae_or_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922570450	speaker	bug-antennae_color-orange	bug-head_color-white	bug-legs_color-white	orange body purpled head orange legs	11126	speaker	15538	chatMessage		
14	trees_purple_leaves_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922588307	speaker	tree-leaves_color-purple	tree-trunk_color-purple	tree-trunk_color-white	blue trunk	2431	speaker	5959	chatMessage		
15	flowers_orange_stems	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922603498	speaker	flower-stem_color-orange	flower-stem_color-purple	flower-center_color-white	orange stem orange center	5462	speaker	10030	chatMessage		
16	trees_purple_trunks_or_white_leaves_orange_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922622962	speaker	tree-trunk_color-purple	tree-leaves_color-white	tree-leaves_color-purple	blue leaves	2679	speaker	10302	chatMessage		
17	flowers_purple_stems_or_thorns_white_centers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922642385	speaker	flower-center_color-white	flower-petals_color-orange	flower-center_color-purple	white petals orange center	8224	speaker	13577	chatMessage		
18	bugs_purple_wings_or_white_legs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922654922	speaker	bug-bug_wings_color-purple	bug-wings_present-false	bug-bug_wings_color-purple	orange wings	2654	speaker	6030	chatMessage		
19	flowers_purple_stems_thorns	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922670491	speaker	flower-stem_color-purple	flower-stem_color-orange	flower-petals_color-orange	white stem white petals	5791	speaker	8633	chatMessage		
20	trees_purple_berries_or_white_trunks	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922693472	speaker	tree-trunk_color-white	tree-leaves_color-white	tree-leaves_color-purple	orange leaves	5230	speaker	7718	chatMessage		
21	birds_orange_wings_tails	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922711896	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bird-bird_wing_color-orange	no tail white wing	4615	speaker	9053	chatMessage		
22	bugs_white_heads_or_orange_antennae_purple_legs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922738065	speaker	bug-head_color-white	bug-head_color-orange	bug-legs_color-white	purple legs purple head	7078	speaker	17207	chatMessage		
23	trees_purple_trunks_or_white_leaves_orange_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922750733	speaker	tree-leaves_color-white	tree-leaves_present-false	tree-leaves_color-purple	white leaves	3184	speaker	5288	chatMessage		
