trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_white_leaves_or_orange_berries	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919549179	speaker	tree-berries_present	tree-berries_color-orange	tree-trunk_color-orange	there is a blue trunk and green circles in the tree	12875	speaker	44203	chatMessage		
1	flowers_purple_stems_thorns	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919582204	speaker	flower-stem_color-purple	flower-petals_color-orange	flower-center_color-purple	pink stem and all orange dots in the petals with a white background	20688	speaker	26131	chatMessage		
2	flowers_purple_stems_white_petals_or_orange_centers	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919615459	speaker	flower-center_color-orange	flower-stem_color-purple	flower-center_color-purple	everything is orange except the middle of the flowers and some pink dots on the petals	16600	speaker	24018	chatMessage		
3	bugs_antennae_or_wings_purple_bodies	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919667186	speaker	bug-body_color-purple	bug-head_color-orange	bug-body_color-purple	white head, pink feelers and rest of it is white with pink feelers	31413	speaker	38095	chatMessage		
4	fish_white_stripes_or_purple_bodies_whiskers	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919712259	speaker	fish-body_color-purple	fish-stripes_present-true	fish-whiskers_present-false	Three whiskers and black lines unfilled in the body	19632	speaker	27349	chatMessage		
5	birds_orange_wings_tails	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919748067	speaker	bird-bird_wing_color-orange	bird-crest_present-false	bird-bird_wing_color-white	pink feathers on head and tail, yellow beak and everything else is orange	16932	speaker	23489	chatMessage		
6	bugs_purple_legs_white_heads_or_orange_wings	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919776453	speaker	bug-bug_wings_color-orange	bug-wings_present-true	bug-legs_color-white	orange legs, pink head and feelers, white body	11765	speaker	16091	chatMessage		
7	trees_leaves_berries_or_orange_trunks	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919803834	speaker	tree-trunk_color-orange	tree-berries_color-orange	tree-berries_present-true	blue dots on tree	4343	speaker	8502	chatMessage		
8	fish_orange_bodies_or_fangs_whiskers	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919816474	speaker	fish-whiskers_present	fish-body_color-white	fish-stripes_present-true	solid pink fish	4199	speaker	7432	chatMessage		
9	bugs_white_legs_purple_wings_or_orange_antennae	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919830995	speaker	bug-bug_wings_color-purple	bug-legs_color-purple	bug-bug_wings_color-orange	white legs and no wings	6317	speaker	9640	chatMessage		
