trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923854441	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	difficult	1420	speaker	19760	chatMessage		
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923863602	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	yep	1313	listener	29057	chatMessage		
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923869175	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	white stem?	2105	listener	34631	chatMessage		
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923873218	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	yes	1236	speaker	38537	chatMessage		
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923878626	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	ok, orange center?	2859	listener	44081	chatMessage		
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923881937	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	no	623	speaker	47257	chatMessage		
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923883593	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	I see	782	speaker	48913	chatMessage		
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923884368	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	ok	348	listener	49823	chatMessage		
1	flowers_purple_stems_thorns	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923895577	listener	flower-stem_color-purple	flower-stem_color-orange	flower-center_color-purple	orange center	1949	speaker	6980	chatMessage		
1	flowers_purple_stems_thorns	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923897430	listener	flower-stem_color-purple	flower-stem_color-orange	flower-center_color-purple	white stem	1716	speaker	8834	chatMessage		
