trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	fish_orange_bodies_or_fangs_whiskers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924141384	listener	fish-fangs_present	fish-fangs_present-true	fish-stripes_present-true	its the white striped fish without the fangs	7532	speaker	16901	chatMessage		
1	trees_orange_trunks_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924160696	listener	tree-trunk_color-orange	tree-leaves_color-purple	tree-berries_color-purple	its the one with the red leaves without the berries~~~	8332	speaker	12864	chatMessage		
2	trees_purple_berries_or_white_trunks	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924184556	listener	tree-trunk_color-white	tree-berries_present-false	tree-leaves_color-purple	its the one without leaves and has berries	9455	speaker	18069	chatMessage		
3	flowers_orange_stems_or_thorns	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924213176	listener	flower-stem_color-orange	flower-center_color-orange	flower-stem_color-purple	its the white plant with the purple center	15590	speaker	21557	chatMessage		
4	birds_purple_tails	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924242420	listener	bird-crest_tail_color-purple	bird-tail_present-false	bird-bird_wing_color-orange	it has tailfeathers and purple wings	11463	speaker	21072	chatMessage		
5	fish_white_bodies_orange_stripes_or_fangs	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924258382	listener	fish-stripes_color-orange	fish-stripes_color-white	fish-stripes_color-purple	no stripes but it has fangs	6387	speaker	9828	chatMessage		
6	trees_purple_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924280840	listener	tree-berries_color-purple	tree-berries_color-orange	tree-leaves_color-white	pink leaves and red berries	11742	speaker	15687	chatMessage		
7	flowers_purple_petals_or_thorns	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924305734	listener	flower-petals_color-purple	flower-center_color-orange	flower-stem_color-orange	white plant with white center	9999	speaker	16314	chatMessage		
8	fish_white_bodies_orange_stripes_or_fangs	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924324937	listener	fish-body_color-white	fish-body_color-purple	fish-stripes_present-true	white with no stripes	7580	speaker	12467	chatMessage		
9	trees_white_leaves_or_orange_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924340880	listener	tree-berries_color-orange	tree-leaves_color-purple	tree-berries_present-false	white leaves with green berries	6111	speaker	7720	chatMessage		
10	trees_orange_trunks_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924358728	listener	tree-berries_present	tree-berries_color-orange	tree-berries_present-false	white leaves white berries	5673	speaker	10302	chatMessage		
11	trees_orange_trunks_or_berries_white_leaves	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924378492	listener	tree-leaves_color-white	tree-trunk_color-white	tree-trunk_color-orange	green plant and blue berries	11924	speaker	13414	chatMessage		
