trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	fish_orange_bodies_purple_stripes_or_whiskers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925869383	speaker	fish-stripes_color-purple	fish-stripes_color-orange	fish-body_color-purple	threee pink stripes, the rest orange	12878	speaker	19981	chatMessage		
1	flowers_orange_petals_purple_centers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925888314	speaker	flower-petals_color-orange	flower-petals_color-orange	flower-stem_color-purple	orange stem, purple flower	7603	speaker	12539	chatMessage		
2	fish_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925899727	speaker	fish-fangs_present	fish-body_color-orange	fish-body_color-white	purple fish	3455	speaker	5621	chatMessage		
3	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925907709	speaker	fish-stripes_color-orange	fish-body_color-purple	fish-stripes_color-orange	all white	1427	speaker	3228	chatMessage		
4	trees_orange_berries_purple_trunks_or_white_leaves	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925922556	speaker	tree-trunk_color-purple	tree-trunk_color-white	tree-berries_present-false	green trunk, purple beries	6743	speaker	10257	chatMessage		
5	fish_orange_bodies_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925943435	speaker	fish-body_color-orange	fish-body_color-purple	fish-stripes_present-false	3 purple stripes	5724	speaker	14634	chatMessage		
5	fish_orange_bodies_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925947948	speaker	fish-body_color-orange	fish-body_color-purple	fish-stripes_present-false	orange body	2157	speaker	19102	chatMessage		
6	trees_leaves_berries_or_orange_trunks	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925956405	speaker	tree-berries_present	tree-trunk_color-orange	tree-trunk_color-white	blue trunk	3411	speaker	7703	chatMessage		
7	flowers_thorns	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925971674	speaker	flower-thorns_present	flower-stem_color-orange	flower-thorns_present-true	purple stem without thorns	5865	speaker	10251	chatMessage		
8	trees_purple_berries_or_white_trunks	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925986577	speaker	tree-trunk_color-white	tree-leaves_color-purple	tree-berries_color-purple	green leaves red berries	5612	speaker	9488	chatMessage		
9	fish_whiskers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926005739	speaker	fish-whiskers_present	fish-stripes_color-white	fish-stripes_color-orange	3 purple stripes, orange body	8624	speaker	12043	chatMessage		
10	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926020960	speaker	fish-body_color-white	fish-fangs_present-false	fish-body_color-white	all purple with whisker	4836	speaker	7805	chatMessage		
10	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926039901	speaker	fish-body_color-white	fish-fangs_present-false	fish-body_color-white	i dont have one with a whisker	4962	listener	27036	chatMessage		
10	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926049477	speaker	fish-body_color-white	fish-fangs_present-false	fish-body_color-white	fang?	1787	speaker	36518	chatMessage		
10	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926054511	speaker	fish-body_color-white	fish-fangs_present-false	fish-body_color-white	not the white one	2550	speaker	41529	chatMessage		
10	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926069591	speaker	fish-body_color-white	fish-fangs_present-false	fish-body_color-white	nope i have two that look exactly the same~~~ all purple and one purple and white	13391	listener	56716	chatMessage		
10	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926078257	speaker	fish-body_color-white	fish-fangs_present-false	fish-body_color-white	pick the purple one	3049	speaker	65298	chatMessage		
11	birds_orange_tails_or_white_wings	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926093422	speaker	bird-crest_tail_color-orange	bird-crest_present-false	bird-crest_tail_color-purple	no tail, pink feathers	6462	speaker	9888	chatMessage		
12	birds_purple_wings_crests	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926113689	speaker	bird-crest_present	bird-crest_present-true	bird-bird_wing_color-purple	no feqthers, orange wing	6742	speaker	12822	chatMessage		
13	bugs_without_wings	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926131059	speaker	bug-wings_present	bug-legs_color-purple	bug-wings_present-true	white wings, orange legs	4753	speaker	10784	chatMessage		
14	trees_purple_berries	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926140113	speaker	tree-berries_color-purple	tree-trunk_color-white	tree-leaves_color-white	all purple	2238	speaker	3815	chatMessage		
15	trees_without_leaves	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926154124	speaker	tree-leaves_present	tree-berries_color-purple	tree-trunk_color-white	red trunk, all green top	6859	speaker	9670	chatMessage		
16	trees_purple_leaves_berries	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926168808	speaker	tree-leaves_color-purple	tree-trunk_color-orange	tree-berries_present-false	purple and white, no orange	5638	speaker	8982	chatMessage		
17	bugs_purple_wings_or_white_legs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926193399	speaker	bug-bug_wings_color-purple	bug-body_color-purple	bug-antennae_color-orange	orange body, purple antenii	11754	speaker	15625	chatMessage		
18	fish_white_stripes_or_purple_bodies_whiskers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926219231	speaker	fish-body_color-purple	fish-fangs_present-true	fish-stripes_color-white	all orange, no fang, 3 whiskers	15076	speaker	18967	chatMessage		
18	fish_white_stripes_or_purple_bodies_whiskers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926233424	speaker	fish-body_color-purple	fish-fangs_present-true	fish-stripes_color-white	i have the duplicate again	8379	listener	33372	chatMessage		
19	bugs_wings_antennae	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926243943	speaker	bug-antennae_present	bug-bug_wings_color-orange	bug-head_color-white	orange head, the rest is purple	6396	speaker	10014	chatMessage		
20	birds_purple_wings_white_crests_or_white_tails	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926258547	speaker	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-bird_wing_color-white	white and orange no purple	4369	speaker	8267	chatMessage		
21	birds_purple_tails	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926278027	speaker	bird-crest_tail_color-purple	bird-bird_wing_color-purple	bird-crest_tail_color-orange	all orange, no head feathers	11194	speaker	13407	chatMessage		
