trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_purple_wings_or_white_legs	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927235259	speaker	bug-legs_color-white	bug-wings_present-false	bug-head_color-orange	The one with white heat and 8 legs	24977	speaker	33826	chatMessage		
0	bugs_purple_wings_or_white_legs	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927240974	speaker	bug-legs_color-white	bug-wings_present-false	bug-head_color-orange	white head	2690	speaker	39546	chatMessage		
1	birds_purple_wings_white_crests_or_white_tails	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927264724	speaker	bird-crest_tail_color-white	bird-tail_present-true	bird-crest_tail_color-orange	Purple feathers	6121	speaker	10813	chatMessage		
2	birds_tails	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927285479	speaker	bird-tail_present	bird-bird_wing_color-orange	bird-crest_present-false	Yellow nose and white head feathers	8705	speaker	13989	chatMessage		
3	flowers_purple_stems_or_thorns_white_centers	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927321437	speaker	flower-center_color-white	flower-petals_color-orange	flower-stem_color-purple	Orange stem and orange dot in the middle of the flower	14055	speaker	23683	chatMessage		
4	trees_without_leaves	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927347074	speaker	tree-leaves_present	tree-berries_present-true	tree-leaves_color-white	orange berries on the tree with no leaves	7694	speaker	14181	chatMessage		
5	fish_whiskers	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927380410	speaker	fish-whiskers_present	fish-fangs_present-false	fish-stripes_color-orange	fish with purple stripes and a long fang coming out of the mouth	15199	speaker	25142	chatMessage		
6	fish_white_bodies_orange_stripes_or_fangs	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927414129	speaker	fish-stripes_color-orange	fish-stripes_present-true	fish-whiskers_present-false	all purple fish with 3 long wiskers and long fang from mouth	18502	speaker	25260	chatMessage		
7	bugs_without_wings	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927443898	speaker	bug-wings_present	bug-antennae_present-false	bug-antennae_color-orange	White antena on white head	10435	speaker	16384	chatMessage		
8	bugs_purple_legs_white_heads_or_orange_wings	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927473243	speaker	bug-bug_wings_color-orange	bug-antennae_present-true	bug-legs_color-purple	orange antena with white legs 	16442	speaker	20118	chatMessage		
9	birds_purple_tails	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927492586	speaker	bird-crest_tail_color-purple	bird-crest_present-true	bird-crest_tail_color-white	bald head 	3869	speaker	7201	chatMessage		
10	trees_orange_trunks_or_berries_white_leaves	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927515851	speaker	tree-berries_present	tree-leaves_color-purple	tree-trunk_color-orange	red berries white leaves and white trnk	11952	speaker	16221	chatMessage		
10	trees_orange_trunks_or_berries_white_leaves	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927518344	speaker	tree-berries_present	tree-leaves_color-purple	tree-trunk_color-orange	trunk	1074	speaker	18690	chatMessage		
