trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_thorns_purple_petals_or_orange_stems	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554932994143	speaker	flower-petals_color-purple	flower-stem_color-orange	flower-center_color-white	The plant has a pink stem and an orange center	16048	speaker	25971	chatMessage		
1	fish_white_stripes_or_whiskers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933020704	speaker	fish-stripes_color-white	fish-stripes_present-false	fish-body_color-white	The fish has an orange body with pink stripes	5352	speaker	15054	chatMessage		
2	fish_orange_bodies_or_fangs_whiskers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933050079	speaker	fish-body_color-orange	fish-stripes_color-purple	fish-stripes_color-orange	The fish has a pink body with white stripes	4400	speaker	18802	chatMessage		
3	flowers_purple_stems_or_thorns_white_centers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933071457	speaker	flower-center_color-white	flower-stem_color-orange	flower-center_color-orange	White stem and white center	9576	speaker	11731	chatMessage		
4	trees_purple_trunks_or_white_leaves_orange_berries	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933088090	speaker	tree-trunk_color-purple	tree-leaves_present-false	tree-berries_color-purple	Red base and blue dots	5929	speaker	8932	chatMessage		
4	trees_purple_trunks_or_white_leaves_orange_berries	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933097672	speaker	tree-trunk_color-purple	tree-leaves_present-false	tree-berries_color-purple	With pink petals	4375	speaker	18514	chatMessage		
5	bugs_without_wings	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933117807	speaker	bug-wings_present	bug-bug_wings_color-purple	bug-antennae_present-false	Orange wings and pink attenae	10880	speaker	13469	chatMessage		
6	birds_orange_wings_tails	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933134760	speaker	bird-bird_wing_color-orange	bird-bird_wing_color-purple	bird-tail_present-true	White body, single orange feather, no pink	7191	speaker	9460	chatMessage		
7	fish_white_bodies_orange_stripes_or_fangs	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933155858	speaker	fish-stripes_color-orange	fish-stripes_color-orange	fish-fangs_present-true	orange body, pink stripes, no fang	8530	speaker	9998	chatMessage		
8	bugs_antennae_or_wings_purple_bodies	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933175193	speaker	bug-body_color-purple	bug-bug_wings_color-orange	bug-wings_present-false	pink body and wings, orange attenae	11345	speaker	13102	chatMessage		
9	flowers_purple_centers_or_orange_stems_with_thorns	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933206346	speaker	flower-center_color-purple	flower-petals_color-orange	flower-stem_color-purple	orange stem, pink petals, orange center	15025	speaker	21690	chatMessage		
10	trees_without_leaves	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933223688	speaker	tree-leaves_present	tree-trunk_color-purple	tree-trunk_color-white	orange base, orange petals, red dots	7423	speaker	9274	chatMessage		
