trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_purple_stems_white_petals_or_orange_centers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915092426	speaker	flower-petals_color-white	flower-center_color-orange	flower-petals_color-orange	pink center, white petals with orange dots	9114	speaker	19423	chatMessage		
1	fish_white_bodies_orange_stripes_or_fangs	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915139354	speaker	fish-body_color-white	fish-stripes_present-false	fish-whiskers_present-true	no whiskers, has lines	5434	speaker	29897	chatMessage		
2	bugs_white_legs_purple_wings_or_orange_antennae	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915168726	speaker	bug-bug_wings_color-purple	bug-body_color-purple	bug-legs_color-white	pink legs and head, white body	14650	speaker	18761	chatMessage		
3	fish_white_stripes_or_whiskers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915194241	speaker	fish-stripes_color-white	fish-body_color-white	fish-fangs_present-false	orange body, long tooth	11053	speaker	13881	chatMessage		
4	fish_white_stripes_or_purple_bodies_whiskers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915212454	speaker	fish-body_color-purple	fish-stripes_color-purple	fish-stripes_present-true	orange and white body	6244	speaker	8132	chatMessage		
5	bugs_purple_legs_white_heads_or_orange_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915229647	speaker	bug-bug_wings_color-orange	bug-body_color-purple	bug-bug_wings_color-orange	orange body, pink wings	6446	speaker	9199	chatMessage		
6	bugs_purple_legs_white_heads	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915251179	speaker	bug-head_color-white	bug-antennae_present-true	bug-head_color-orange	white antenna, pink head	9556	speaker	12907	chatMessage		
7	bugs_white_legs_purple_wings_or_orange_antennae	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915277521	speaker	bug-legs_color-white	bug-legs_color-purple	bug-antennae_present-false	this is underpaid, pink antenna, white legs	14811	speaker	16866	chatMessage		
8	flowers_thorns_purple_petals_or_orange_stems	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915310624	speaker	flower-petals_color-purple	flower-center_color-orange	flower-stem_color-purple	orange stem, pink center	3715	speaker	6333	chatMessage		
9	birds_purple_wings_crests	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915329411	speaker	bird-bird_wing_color-purple	bird-crest_tail_color-orange	bird-crest_tail_color-white	no head feathers, pink tail feathers	7068	speaker	9890	chatMessage		
