trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_purple_centers_or_orange_stems_with_thorns	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012497002	listener	flower-center_color-purple	flower-petals_color-white	flower-stem_color-orange	middle	2023	speaker	80911	chatMessage		
1	flowers_purple_petals_or_thorns	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012543202	listener	flower-petals_color-purple	flower-center_color-white	flower-center_color-purple	purple flower, brown stalk with brown circle	39046	speaker	34723	chatMessage		
2	trees_orange_trunks_berries	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012563695	listener	tree-berries_present	tree-leaves_color-white	tree-berries_color-purple	brown and green leaves 	8153	speaker	12629	chatMessage		
3	fish_orange_bodies_purple_stripes	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012595782	listener	fish-stripes_color-purple	fish-body_color-white	fish-stripes_color-white	brown and purple fish 	19129	speaker	22674	chatMessage		
4	fish_fangs	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012617982	listener	fish-fangs_present	fish-stripes_color-orange	fish-body_color-orange	purple fish and white fin alone	12912	speaker	15564	chatMessage		
5	trees_purple_leaves_berries	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012650102	listener	tree-leaves_color-purple	tree-berries_present-true	tree-trunk_color-white	blue leaves and green circles with white stalk	20106	speaker	23109	chatMessage		
6	birds_purple_wings_crests	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012689222	listener	bird-bird_wing_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bald bird with just brown tail	24990	speaker	28378	chatMessage		
7	fish_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012715093	listener	fish-whiskers_present	fish-stripes_present-true	fish-whiskers_present-false	brown fish with whiskers	11573	speaker	14564	chatMessage		
7	fish_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012728940	listener	fish-whiskers_present	fish-stripes_present-true	fish-whiskers_present-false	purple srtipes?	6330	listener	28766	chatMessage		
7	fish_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012733386	listener	fish-whiskers_present	fish-stripes_present-true	fish-whiskers_present-false	nope	1567	speaker	32205	chatMessage		
8	fish_white_stripes_or_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012767411	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	purple and white fish 	26737	speaker	28866	chatMessage		
8	fish_white_stripes_or_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012785076	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	Fang? you suck at this	8830	listener	46940	chatMessage		
8	fish_white_stripes_or_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012799518	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	cant see it here	4626	speaker	61011	chatMessage		
9	trees_without_leaves	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012823292	listener	tree-leaves_present	tree-trunk_color-orange	tree-berries_present-true	blue leaves with white stalk no seeds	13277	speaker	16810	chatMessage		
10	flowers_purple_stems_or_thorns_white_centers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012849852	listener	flower-center_color-white	flower-stem_color-purple	flower-center_color-white	purple flower with brown stalk 	12128	speaker	15957	chatMessage		
10	flowers_purple_stems_or_thorns_white_centers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012856739	listener	flower-center_color-white	flower-stem_color-purple	flower-center_color-white	no white circle	6352	speaker	22858	chatMessage		
11	birds_white_crests_or_orange_wings_tails	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012887932	listener	bird-crest_present	bird-crest_tail_color-purple	bird-crest_tail_color-white	white bird without tail but with purple feathers	19830	speaker	25797	chatMessage		
12	flowers_orange_petals_purple_centers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012910022	listener	flower-petals_color-orange	flower-petals_color-white	flower-thorns_present-false	brown flower with thorny stalk	8460	speaker	14287	chatMessage		
13	flowers_orange_stems_or_thorns	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012944452	listener	flower-thorns_present	flower-center_color-purple	flower-center_color-orange	purple flower with white circle in the middle 	19506	speaker	26924	chatMessage		
14	fish_white_bodies_orange_stripes_or_fangs	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012971662	listener	fish-stripes_color-orange	fish-stripes_color-purple	fish-whiskers_present-false	purple and white fish with whiskers	13132	speaker	19377	chatMessage		
15	birds_orange_crests_or_purple_wings	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012994582	listener	bird-crest_tail_color-orange	bird-bird_wing_color-orange	bird-crest_tail_color-white	bald bird with white arm	12931	speaker	15915	chatMessage		
