trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_without_wings	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	bug-wings_present	bug-antennae_color-orange	bug-antennae_present-false	pink antennas 	5114	speaker	59661	chatMessage	I	E
1	fish_orange_bodies_or_fangs_whiskers	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	fish-whiskers_present	fish-stripes_present-true	fish-body_color-purple	white fish pink stripes	4019	speaker	11922	chatMessage	I	E
2	birds_white_crests_or_orange_wings_tails	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	bird-crest_present	bird-crest_tail_color-orange	bird-crest_present-false	has feathers on top not long on bottom	8209	speaker	26274	chatMessage	I	E
3	birds_purple_tails	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	bird-crest_tail_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-white	yellow feathers on top pink wing	4336	speaker	9168	chatMessage	I	E
4	flowers_thorns	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	flower-thorns_present	flower-center_color-white	flower-stem_color-purple	pink center whie stem	2712	speaker	18547	chatMessage	I	E
5	fish_white_bodies_orange_stripes_or_fangs	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	fish-body_color-white	fish-stripes_present-true	fish-body_color-orange	pink no stripes	1885	speaker	30938	chatMessage	I	E
6	bugs_purple_legs_white_heads_or_orange_wings	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	bug-bug_wings_color-orange	bug-wings_present-false	bug-head_color-white	orange head and wings	4172	speaker	7328	chatMessage	I	L
7	fish_white_bodies_orange_stripes_or_fangs	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	fish-stripes_color-orange	fish-stripes_present-true	fish-body_color-orange	white orange stripes	5972	speaker	8892	chatMessage	I	E
8	birds_orange_tails_or_white_wings	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	bird-bird_wing_color-white	bird-crest_present-true	bird-crest_tail_color-purple	orange head no feathes	4435	speaker	14112	chatMessage	I	E
9	trees_purple_berries	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	tree-berries_color-purple	tree-trunk_color-purple	tree-berries_color-orange	greed buds orange stem	4368	speaker	18402	chatMessage	I	E
10	fish_orange_bodies_purple_stripes	development	3294-239e56ee-9290-478d-95de-667898aad219	1.55E+12	listener	fish-stripes_color-purple	fish-stripes_color-white	fish-body_color-purple	white with pink stripes	2244	speaker	5925	chatMessage	I	E
