trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_white_heads_or_orange_antennae_purple_legs	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	bug-legs_color-purple	bug-antennae_color-orange	bug-antennae_present-true	it has pink antenna 	2150	speaker	18327	chatMessage	I	E
1	birds_white_crests_or_orange_wings_tails	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	bird-tail_present	bird-crest_tail_color-orange	bird-crest_tail_color-white	it has pink hair 	2030	speaker	4481	chatMessage	I	E
2	fish_orange_bodies_purple_stripes_or_whiskers	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	fish-stripes_present	fish-body_color-white	fish-stripes_color-purple	it has a pink body and orange stripes	2710	speaker	5710	chatMessage	I	E
3	bugs_wings_antennae	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	bug-antennae_present	bug-body_color-purple	bug-antennae_present-false	"orange body, white antenna "	3087	speaker	5948	chatMessage	I	E
4	trees_white_leaves_or_orange_berries	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	tree-leaves_color-white	tree-berries_present-false	tree-leaves_present-true	white leaves and green dots	3622	speaker	7821	chatMessage	I	L
5	fish_whiskers	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	fish-whiskers_present	fish-stripes_color-purple	fish-body_color-orange	completely white fish	2320	speaker	4670	chatMessage	I	E
6	trees_purple_leaves_berries	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	tree-leaves_color-purple	tree-leaves_color-purple	tree-trunk_color-orange	"blue body, red leaves"	3840	speaker	7840	chatMessage	I	E
7	trees_without_leaves	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	tree-leaves_present	tree-leaves_present-false	tree-berries_color-purple	"orange leaves, blue dots"	3088	speaker	13556	chatMessage	I	E
8	bugs_orange_head	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	bug-head_color-orange	bug-body_color-purple	bug-wings_present-false	"white butt, pink wings"	3168	speaker	12587	chatMessage	I	E
9	flowers_purple_centers_or_orange_stems_with_thorns	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	flower-center_color-purple	flower-stem_color-orange	flower-stem_color-purple	white stalk	3582	speaker	10596	chatMessage	I	E
10	birds_purple_tails	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	bird-crest_tail_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-purple	orange hair except for one piece of hair under the eyes is pink	14231	speaker	31311	chatMessage	I	E
11	flowers_purple_stems_white_petals_or_orange_centers	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	flower-petals_color-white	flower-center_color-white	flower-stem_color-purple	"orange stalk, center circle is pink"	6928	speaker	21602	chatMessage	I	E
12	flowers_purple_stems_white_petals_or_orange_centers	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	flower-center_color-orange	flower-petals_color-orange	flower-petals_color-purple	white petals 	3327	speaker	6232	chatMessage	I	E
13	bugs_purple_legs_white_heads_or_orange_wings	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1.55E+12	speaker	bug-bug_wings_color-orange	bug-legs_color-purple	bug-wings_present-true	"white body, white spikes, orange wings "	5792	speaker	9075	chatMessage	I	E
