trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_white_legs_purple_wings_or_orange_antennae	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bug-bug_wings_color-purple	bug-body_color-purple	bug-antennae_color-orange	Orange body and white antennas	9223	speaker	190670	chatMessage	I	L
1	fish_orange_bodies_purple_stripes	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-stripes_present	fish-body_color-orange	fish-stripes_color-white	pink body orange stripes	6374	speaker	10770	chatMessage	I	E
2	bugs_without_wings	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bug-wings_present	bug-head_color-orange	bug-antennae_color-orange	white head pink antennas	7873	speaker	22339	chatMessage	I	E
3	birds_orange_tails_or_white_wings_orange_crests	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-bird_wing_color-white	bird-crest_tail_color-purple	bird-bird_wing_color-purple	all white feathers	6676	speaker	20514	chatMessage	I	E
4	birds_purple_wings_crests	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-crest_present	bird-crest_present-true	bird-bird_wing_color-purple	all white feathers again	6748	speaker	15912	chatMessage	I	E
5	birds_purple_tails	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-crest_tail_color-purple	bird-bird_wing_color-purple	bird-crest_tail_color-purple	orange and one pink feathers	12013	speaker	18223	chatMessage	I	L
5	birds_purple_tails	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-crest_tail_color-purple	bird-bird_wing_color-purple	bird-crest_tail_color-purple	no	2309	speaker	28498	chatMessage	S	
6	flowers_orange_petals_purple_centers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	flower-petals_color-orange	flower-stem_color-purple	flower-center_color-orange	Sorry	2519	speaker	6189	chatMessage	S	
6	flowers_orange_petals_purple_centers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	flower-petals_color-orange	flower-stem_color-purple	flower-center_color-orange	its ok	1245	listener	12748	chatMessage	S	
6	flowers_orange_petals_purple_centers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	flower-petals_color-orange	flower-stem_color-purple	flower-center_color-orange	White stem white center	12823	speaker	27969	chatMessage	I	E
7	trees_without_leaves	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-leaves_present	tree-berries_present-true	tree-berries_color-purple	NO DOTS ON LEAFS	8919	speaker	15628	chatMessage	I	E
8	trees_purple_trunks_or_white_leaves_orange_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-berries_color-orange	tree-trunk_color-purple	tree-leaves_present-false	RED STEM PINK LEAVES	12538	speaker	19295	chatMessage	I	E
9	birds_tails	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-tail_present	bird-bird_wing_color-orange	bird-crest_tail_color-white	ORANGE WITH WHITE TAIL	13649	speaker	25888	chatMessage	I	E
10	trees_orange_trunks_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-trunk_color-orange	tree-trunk_color-white	tree-berries_color-purple	PINK WITH WHITE DOTS	18569	speaker	28450	chatMessage	I	E
11	bugs_orange_antennae_or_wings	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bug-antennae_color-orange	bug-legs_color-purple	bug-bug_wings_color-purple	ORANGE LEGS NO WINGS	7064	speaker	34888	chatMessage	I	E
12	fish_whiskers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-whiskers_present	fish-stripes_color-white	fish-body_color-white	ORANGE BODY FISH	3449	speaker	11955	chatMessage	I	E
13	fish_orange_bodies_purple_stripes	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-body_color-orange	fish-body_color-purple	fish-stripes_present-true	ORANGE AND WHITE STRIP FISH	13763	speaker	18715	chatMessage	I	L
14	flowers_purple_centers_or_orange_stems_with_thorns	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	flower-center_color-purple	flower-center_color-orange	flower-stem_color-orange	WHITE STEM AND WHITE CENTER	8924	speaker	22162	chatMessage	I	L
15	birds_orange_crests_or_purple_wings	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-crest_tail_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-purple	PINK FEATHERS EXCEPT ONE WHITE ONE	12971	speaker	38942	chatMessage	I	E
16	flowers_thorns	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	flower-thorns_present	flower-petals_color-white	flower-center_color-purple	WHITE STEM ORANGE CENTER	18178	speaker	24268	chatMessage	I	E
16	flowers_thorns	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	flower-thorns_present	flower-petals_color-white	flower-center_color-purple	what color flowers?	12240	listener	51629	chatMessage	F	?
17	trees_purple_leaves_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-leaves_color-purple	tree-berries_present-true	tree-leaves_color-white	Orange stem and white dots	16617	speaker	78957	chatMessage	I	L
17	trees_purple_leaves_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-leaves_color-purple	tree-berries_present-true	tree-leaves_color-white	what color flowers?	7944	listener	97262	chatMessage	F	?
17	trees_purple_leaves_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-leaves_color-purple	tree-berries_present-true	tree-leaves_color-white	Red leaves	5574	speaker	131156	chatMessage	F	E
18	trees_purple_trunks_or_white_leaves_orange_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-leaves_color-white	tree-trunk_color-white	tree-leaves_color-purple	blue leaves pink dots and pink trunk	14804	speaker	19509	chatMessage	I	L
19	fish_white_stripes_or_purple_bodies_whiskers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-body_color-purple	fish-stripes_color-purple	fish-body_color-orange	pink fish orange stripes	14695	speaker	22162	chatMessage	I	E
20	bugs_antennae_or_wings_purple_bodies	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bug-body_color-purple	bug-body_color-purple	bug-antennae_color-orange	All orange except pink antennas	8848	speaker	49361	chatMessage	I	E
21	fish_fangs	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-fangs_present	fish-stripes_color-orange	fish-stripes_color-purple	pink fish and white stripes	9660	speaker	23831	chatMessage	I	L
22	bugs_white_legs_purple_wings_or_orange_antennae	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bug-legs_color-white	bug-antennae_present-true	bug-wings_present-false	No antennas with pink body and wings	15989	speaker	46100	chatMessage	I	L
23	trees_purple_berries_or_white_trunks	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-trunk_color-white	tree-leaves_color-white	tree-trunk_color-orange	Green trunk orange leaves	15520	speaker	32906	chatMessage	I	E
24	birds_purple_wings_white_crests_or_white_tails	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-crest_tail_color-white	bird-crest_present-false	bird-tail_present-false	White head and tail feathers	11518	speaker	29807	chatMessage	I	L
25	flowers_purple_stems_or_thorns_white_centers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	flower-center_color-white	flower-petals_color-purple	flower-center_color-white	Orange base and orange center and white and gray flower ruffles	35413	speaker	43640	chatMessage	I	L
26	birds_purple_wings_crests	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-bird_wing_color-orange	One pink feather	2684	speaker	12640	chatMessage	I	E
27	bugs_wings_antennae	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bug-antennae_present	bug-body_color-purple	bug-antennae_color-orange	Pink head all white body	12373	speaker	18229	chatMessage	I	E
28	trees_orange_trunks_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	tree-berries_present	tree-leaves_present-false	tree-berries_color-purple	Blue leaves and blue trunk	7872	speaker	18392	chatMessage	I	L
29	fish_white_bodies_orange_stripes_or_fangs	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-stripes_color-orange	fish-body_color-white	fish-whiskers_present-true	Orange fish and pink stripes	6716	speaker	30045	chatMessage	I	L
29	fish_white_bodies_orange_stripes_or_fangs	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-stripes_color-orange	fish-body_color-white	fish-whiskers_present-true	whiskers?	10512	listener	53974	chatMessage	F	?
29	fish_white_bodies_orange_stripes_or_fangs	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	fish-stripes_color-orange	fish-body_color-white	fish-whiskers_present-true	Nope	2759	speaker	63270	chatMessage	F	A
30	birds_orange_wings_tails	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1.55E+12	listener	bird-bird_wing_color-orange	bird-tail_present-false	bird-bird_wing_color-purple	All pink feathers except one orange feather 	18597	speaker	28157	chatMessage	I	E
