trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_orange_head	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922035690	listener	bug-head_color-orange	bug-bug_wings_color-orange	bug-antennae_present-false	distr2	51107	clickedObj
1	bugs_purple_legs_white_heads_or_orange_wings	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922070724	listener	bug-bug_wings_color-orange	bug-head_color-white	bug-bug_wings_color-orange	target	31739	clickedObj
2	fish_orange_bodies_purple_stripes	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922084211	listener	fish-stripes_color-purple	fish-body_color-orange	fish-stripes_color-orange	target	10192	clickedObj
3	trees_purple_berries	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922113809	listener	tree-berries_color-purple	tree-leaves_present-false	tree-trunk_color-purple	target	26278	clickedObj
4	trees_orange_berries_purple_trunks_or_white_leaves	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922145570	listener	tree-berries_color-orange	tree-leaves_color-purple	tree-berries_present-false	target	28432	clickedObj
5	bugs_purple_legs_white_heads	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922164598	listener	bug-head_color-white	bug-head_color-white	bug-bug_wings_color-orange	target	15716	clickedObj
6	fish_white_bodies_orange_stripes_or_fangs	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922184299	listener	fish-stripes_color-orange	fish-whiskers_present-false	fish-stripes_present-false	target	16379	clickedObj
7	trees_purple_leaves_berries	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922210849	listener	tree-leaves_color-purple	tree-leaves_color-purple	tree-berries_color-purple	target	23250	clickedObj
8	fish_orange_bodies_or_fangs_whiskers	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922251579	listener	fish-fangs_present	fish-fangs_present-false	fish-body_color-white	distr1	37416	clickedObj
9	fish_white_bodies_orange_stripes_or_fangs	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922282461	listener	fish-body_color-white	fish-body_color-white	fish-body_color-orange	target	27583	clickedObj
10	birds_purple_wings_crests	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922318987	listener	bird-crest_present	bird-crest_tail_color-purple	bird-crest_tail_color-white	target	33230	clickedObj
11	flowers_orange_stems_or_thorns	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922380665	listener	flower-stem_color-orange	flower-petals_color-orange	flower-stem_color-orange	target	58379	clickedObj
12	fish_orange_bodies_or_fangs_whiskers	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922392295	listener	fish-whiskers_present	fish-body_color-orange	fish-body_color-white	distr1	8331	clickedObj
13	flowers_purple_stems_thorns	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922435409	listener	flower-stem_color-purple	flower-petals_color-purple	flower-thorns_present-true	target	39806	clickedObj
14	fish_orange_bodies_purple_stripes	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922470153	listener	fish-stripes_present	fish-body_color-white	fish-stripes_color-white	target	31398	clickedObj
15	flowers_thorns_purple_petals_or_orange_stems	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922500844	listener	flower-petals_color-purple	flower-thorns_present-false	flower-petals_color-white	target	27394	clickedObj
16	flowers_purple_centers_or_orange_stems_with_thorns	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922553514	listener	flower-center_color-purple	flower-thorns_present-false	flower-center_color-white	target	49378	clickedObj
17	bugs_purple_legs_white_heads	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922574535	listener	bug-legs_color-purple	bug-antennae_present-false	bug-antennae_color-orange	target	17730	clickedObj
18	bugs_antennae_or_wings_purple_bodies	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922605600	listener	bug-body_color-purple	bug-legs_color-purple	bug-antennae_color-orange	target	27679	clickedObj
19	birds_purple_wings_crests	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922624820	listener	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-bird_wing_color-orange	target	15897	clickedObj
20	birds_purple_tails	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922644709	listener	bird-crest_tail_color-purple	bird-bird_wing_color-purple	bird-bird_wing_color-white	target	16580	clickedObj
21	flowers_purple_stems_white_petals_or_orange_centers	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922665923	listener	flower-center_color-orange	flower-petals_color-white	flower-petals_color-orange	target	17895	clickedObj
22	flowers_orange_petals_purple_centers	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922687609	listener	flower-petals_color-orange	flower-stem_color-purple	flower-petals_color-orange	target	18369	clickedObj
23	birds_orange_wings_tails	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922718233	listener	bird-bird_wing_color-orange	bird-bird_wing_color-orange	bird-crest_present-false	target	27315	clickedObj
