trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_purple_petals_or_thorns	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922233357	speaker	flower-petals_color-purple	flower-stem_color-orange	flower-center_color-white	target	24682	clickedObj
1	flowers_orange_petals_purple_centers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922253132	speaker	flower-petals_color-orange	flower-center_color-purple	flower-center_color-orange	target	16704	clickedObj
2	bugs_orange_head	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922272486	speaker	bug-head_color-orange	bug-bug_wings_color-orange	bug-legs_color-white	target	16268	clickedObj
3	trees_without_leaves	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922297028	speaker	tree-leaves_present	tree-berries_color-orange	tree-trunk_color-white	target	21475	clickedObj
4	fish_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922376349	speaker	fish-whiskers_present	fish-fangs_present-true	fish-stripes_color-white	target	76202	clickedObj
5	birds_purple_tails	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922396174	speaker	bird-crest_tail_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-white	target	16757	clickedObj
6	flowers_thorns	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922432286	speaker	flower-thorns_present	flower-petals_color-orange	flower-center_color-orange	target	33043	clickedObj
7	fish_white_stripes_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922458805	speaker	fish-stripes_color-white	fish-body_color-purple	fish-fangs_present-false	distr2	23451	clickedObj
8	fish_orange_bodies_or_fangs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922479664	speaker	fish-body_color-orange	fish-whiskers_present-true	fish-stripes_present-true	target	17164	clickedObj
9	birds_orange_crests_or_purple_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922500873	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-purple	target	18131	clickedObj
10	trees_purple_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922511393	speaker	tree-berries_color-purple	tree-berries_color-purple	tree-leaves_color-white	distr2	7126	clickedObj
