trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_purple_legs_white_heads_or_orange_wings	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926238517	speaker	bug-bug_wings_color-orange	bug-head_color-white	bug-legs_color-purple	target	41297	clickedObj
1	flowers_purple_stems_white_petals_or_orange_centers	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926273156	speaker	flower-petals_color-white	flower-center_color-purple	flower-petals_color-purple	target	31546	clickedObj
2	bugs_purple_legs_white_heads	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926300451	speaker	bug-head_color-white	bug-head_color-orange	bug-legs_color-white	target	24096	clickedObj
3	bugs_antennae_or_wings_purple_bodies	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926339772	speaker	bug-body_color-purple	bug-legs_color-white	bug-head_color-orange	target	36187	clickedObj
4	flowers_purple_centers_or_orange_stems_with_thorns	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926376711	speaker	flower-center_color-purple	flower-stem_color-purple	flower-thorns_present-false	target	33846	clickedObj
5	birds_orange_wings_tails	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926396942	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-purple	target	17069	clickedObj
6	birds_orange_crests_or_purple_wings	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926418459	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-orange	target	18404	clickedObj
7	fish_white_bodies_orange_stripes_or_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926436033	speaker	fish-stripes_color-orange	fish-body_color-white	fish-whiskers_present-true	target	14479	clickedObj
8	fish_orange_bodies_or_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926447179	speaker	fish-body_color-orange	fish-stripes_color-orange	fish-body_color-purple	target	8012	clickedObj
9	trees_purple_trunks_or_white_leaves_orange_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926472691	speaker	tree-berries_color-orange	tree-trunk_color-orange	tree-berries_color-orange	target	22421	clickedObj
10	fish_white_bodies_orange_stripes_or_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926490046	speaker	fish-body_color-white	fish-whiskers_present-false	fish-stripes_color-white	target	14261	clickedObj
11	fish_white_stripes_or_purple_bodies_whiskers	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926517149	speaker	fish-body_color-purple	fish-stripes_color-purple	fish-body_color-orange	target	24012	clickedObj
12	trees_orange_trunks_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926532304	speaker	tree-berries_present	tree-trunk_color-orange	tree-leaves_present-true	target	12028	clickedObj
13	fish_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926587760	speaker	fish-fangs_present	fish-whiskers_present-true	fish-stripes_color-white	target	52329	clickedObj
14	flowers_thorns_purple_petals_or_orange_stems	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926619375	speaker	flower-petals_color-purple	flower-stem_color-orange	flower-thorns_present-false	target	28523	clickedObj
15	flowers_orange_petals_purple_centers	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926633293	speaker	flower-petals_color-orange	flower-stem_color-purple	flower-petals_color-orange	target	10823	clickedObj
16	trees_purple_trunks_or_white_leaves_orange_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926648874	speaker	tree-trunk_color-purple	tree-leaves_color-white	tree-berries_color-orange	target	12491	clickedObj
17	fish_whiskers	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926672758	speaker	fish-whiskers_present	fish-body_color-orange	fish-stripes_present-true	target	20794	clickedObj
18	birds_orange_crests_or_purple_wings	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926690350	speaker	bird-crest_tail_color-orange	bird-bird_wing_color-orange	bird-bird_wing_color-purple	target	14450	clickedObj
19	bugs_wings_antennae	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926707654	speaker	bug-antennae_present	bug-antennae_color-orange	bug-antennae_present-true	distr2	14119	clickedObj
20	trees_orange_trunks_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926725991	speaker	tree-trunk_color-orange	tree-leaves_present-true	tree-berries_present-true	target	15250	clickedObj
21	birds_orange_crests_or_purple_wings	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926747043	speaker	bird-crest_present	bird-crest_tail_color-orange	bird-bird_wing_color-white	distr2	17874	clickedObj
22	birds_purple_tails	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926767955	speaker	bird-crest_tail_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-orange	distr2	17793	clickedObj
23	flowers_purple_stems_thorns	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926795036	speaker	flower-stem_color-purple	flower-center_color-white	flower-center_color-orange	target	23989	clickedObj
24	bugs_white_legs_purple_wings_or_orange_antennae	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926813744	speaker	bug-legs_color-white	bug-antennae_color-orange	bug-legs_color-purple	distr2	15555	clickedObj
25	trees_purple_berries_or_white_trunks	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926827705	speaker	tree-trunk_color-white	tree-leaves_color-purple	tree-berries_present-false	target	10778	clickedObj
26	birds_white_crests_or_orange_wings_tails	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926849633	speaker	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-bird_wing_color-purple	distr2	18801	clickedObj
27	bugs_orange_antennae_or_wings	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926877530	speaker	bug-antennae_color-orange	bug-head_color-white	bug-legs_color-white	target	24764	clickedObj
28	trees_purple_leaves_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926892994	speaker	tree-leaves_color-purple	tree-berries_color-orange	tree-leaves_present-true	target	12264	clickedObj
29	birds_tails	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926918337	speaker	bird-tail_present	bird-bird_wing_color-white	bird-tail_present-false	target	22145	clickedObj
30	trees_purple_trunks_or_white_leaves_orange_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926951366	speaker	tree-leaves_color-white	tree-leaves_present-false	tree-trunk_color-white	target	29879	clickedObj
31	flowers_thorns	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926986829	speaker	flower-thorns_present	flower-stem_color-orange	flower-petals_color-white	target	32273	clickedObj
32	flowers_orange_stems	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554927016000	speaker	flower-stem_color-orange	flower-center_color-orange	flower-center_color-white	target	26013	clickedObj
33	birds_orange_tails_or_white_wings_orange_crests	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554927038028	speaker	bird-bird_wing_color-white	bird-bird_wing_color-purple	bird-crest_tail_color-purple	target	18854	clickedObj
