trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_purple_stems_thorns	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923363660	speaker	flower-stem_color-purple	flower-petals_color-orange	flower-center_color-purple	target	130089	clickedObj
1	flowers_thorns_purple_petals_or_orange_stems	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923425079	speaker	flower-stem_color-orange	flower-stem_color-orange	flower-petals_color-orange	target	58276	clickedObj
2	birds_orange_wings_tails	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923538150	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-orange	target	110009	clickedObj
3	bugs_purple_legs_white_heads	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923618855	speaker	bug-head_color-white	bug-wings_present-true	bug-head_color-orange	target	77493	clickedObj
4	fish_white_bodies_orange_stripes_or_fangs	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923686145	speaker	fish-body_color-white	fish-stripes_color-purple	fish-stripes_color-orange	target	64165	clickedObj
5	birds_purple_tails	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923752190	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-orange	target	62834	clickedObj
6	trees_orange_trunks_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923803231	speaker	tree-trunk_color-orange	tree-leaves_present-false	tree-berries_color-orange	target	47930	clickedObj
7	trees_white_leaves_or_orange_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923846656	speaker	tree-berries_color-orange	tree-trunk_color-orange	tree-berries_color-orange	target	38872	clickedObj
8	fish_orange_bodies_purple_stripes	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923982080	speaker	fish-stripes_color-purple	fish-fangs_present-false	fish-body_color-white	target	132347	clickedObj
9	trees_orange_berries_purple_trunks_or_white_leaves	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924021446	speaker	tree-trunk_color-purple	tree-trunk_color-orange	tree-leaves_present-true	target	36148	clickedObj
10	trees_purple_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924063458	speaker	tree-berries_color-purple	tree-berries_present-false	tree-trunk_color-white	target	38866	clickedObj
11	fish_fangs	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924149555	speaker	fish-fangs_present	fish-whiskers_present-false	fish-stripes_present-false	target	83037	clickedObj
12	flowers_purple_centers_or_orange_stems_with_thorns	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924181753	speaker	flower-center_color-purple	flower-thorns_present-true	flower-petals_color-purple	target	29094	clickedObj
13	flowers_thorns_purple_petals_or_orange_stems	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924224583	speaker	flower-petals_color-purple	flower-stem_color-purple	flower-petals_color-orange	target	39704	clickedObj
14	fish_white_stripes_or_whiskers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924265032	speaker	fish-stripes_present	fish-body_color-white	fish-stripes_color-white	target	35143	clickedObj
15	flowers_thorns_purple_petals_or_orange_stems	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924327555	speaker	flower-thorns_present	flower-center_color-white	flower-stem_color-orange	target	44501	clickedObj
16	birds_orange_tails_or_white_wings_orange_crests	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924371660	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-crest_tail_color-white	distr2	41055	clickedObj
17	flowers_purple_stems_or_thorns_white_centers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924397727	speaker	flower-center_color-white	flower-stem_color-orange	flower-petals_color-purple	target	23003	clickedObj
18	fish_whiskers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924429032	speaker	fish-whiskers_present	fish-stripes_color-purple	fish-body_color-orange	target	28264	clickedObj
19	trees_purple_leaves_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924454190	speaker	tree-leaves_color-purple	tree-leaves_color-white	tree-berries_color-orange	target	22107	clickedObj
20	birds_purple_wings_white_crests_or_white_tails	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924497511	speaker	bird-crest_present	bird-crest_tail_color-orange	bird-crest_tail_color-white	target	40150	clickedObj
21	bugs_purple_legs_white_heads_or_orange_wings	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924547659	speaker	bug-bug_wings_color-orange	bug-body_color-purple	bug-wings_present-true	target	46759	clickedObj
