trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_purple_wings_or_white_legs	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927250575	speaker	bug-legs_color-white	bug-wings_present-false	bug-head_color-orange	target	49133	clickedObj
1	birds_purple_wings_white_crests_or_white_tails	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927268251	speaker	bird-crest_tail_color-white	bird-tail_present-true	bird-crest_tail_color-orange	target	14600	clickedObj
2	birds_tails	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927294674	speaker	bird-tail_present	bird-bird_wing_color-orange	bird-crest_present-false	distr2	23319	clickedObj
3	flowers_purple_stems_or_thorns_white_centers	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927329813	speaker	flower-center_color-white	flower-petals_color-orange	flower-stem_color-purple	distr1	32059	clickedObj
4	trees_without_leaves	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927352190	speaker	tree-leaves_present	tree-berries_present-true	tree-leaves_color-white	target	19295	clickedObj
5	fish_whiskers	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927385778	speaker	fish-whiskers_present	fish-fangs_present-false	fish-stripes_color-orange	target	30510	clickedObj
6	fish_white_bodies_orange_stripes_or_fangs	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927424380	speaker	fish-stripes_color-orange	fish-stripes_present-true	fish-whiskers_present-false	target	35522	clickedObj
7	bugs_without_wings	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927449650	speaker	bug-wings_present	bug-antennae_present-false	bug-antennae_color-orange	target	22195	clickedObj
8	bugs_purple_legs_white_heads_or_orange_wings	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927482219	speaker	bug-bug_wings_color-orange	bug-antennae_present-true	bug-legs_color-purple	target	29486	clickedObj
9	birds_purple_tails	development	8870-a0d526a8-ee7c-4762-b145-39b00734873c	1554927496410	speaker	bird-crest_tail_color-purple	bird-crest_present-true	bird-crest_tail_color-white	target	11111	clickedObj
