trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_antennae_or_wings_purple_bodies	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932687383	listener	bug-body_color-purple	bug-head_color-orange	bug-bug_wings_color-purple	distr1	12301	clickedObj
1	flowers_purple_stems_white_petals_or_orange_centers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932736025	listener	flower-center_color-orange	flower-petals_color-white	flower-center_color-white	target	45545	clickedObj
2	bugs_orange_antennae_or_wings	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932762364	listener	bug-antennae_color-orange	bug-legs_color-white	bug-bug_wings_color-orange	target	23235	clickedObj
3	trees_orange_trunks_or_berries_white_leaves	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932793904	listener	tree-leaves_present	tree-trunk_color-orange	tree-berries_color-purple	target	28416	clickedObj
4	birds_purple_tails	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932864446	listener	bird-crest_tail_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-purple	target	67449	clickedObj
5	bugs_white_heads_or_orange_antennae_purple_legs	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932925614	listener	bug-head_color-white	bug-legs_color-white	bug-wings_present-false	target	58044	clickedObj
6	bugs_orange_head	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932976775	listener	bug-head_color-orange	bug-legs_color-white	bug-bug_wings_color-purple	target	48063	clickedObj
7	birds_orange_crests_or_purple_wings	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933032917	listener	bird-crest_present	bird-tail_present-false	bird-crest_present-false	target	53035	clickedObj
8	fish_orange_bodies_purple_stripes_or_whiskers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933057962	listener	fish-stripes_color-purple	fish-body_color-purple	fish-stripes_color-purple	target	21927	clickedObj
9	bugs_wings_antennae	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933106631	listener	bug-antennae_present	bug-antennae_color-orange	bug-legs_color-white	distr1	45568	clickedObj
10	flowers_orange_petals_purple_centers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933144633	listener	flower-petals_color-orange	flower-petals_color-white	flower-stem_color-purple	distr2	34898	clickedObj
