trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
tals_color-purple	flower-stem_color-orange	flower-center_color-white	distr2	34342	clickedObj
1	fish_white_stripes_or_whiskers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933028199	speaker	fish-stripes_color-white	fish-stripes_present-false	fish-body_color-white	target	22541	clickedObj
2	fish_orange_bodies_or_fangs_whiskers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933056643	speaker	fish-body_color-orange	fish-stripes_color-purple	fish-stripes_color-orange	target	25357	clickedObj
3	flowers_purple_stems_or_thorns_white_centers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933076076	speaker	flower-center_color-white	flower-stem_color-orange	flower-center_color-orange	target	16346	clickedObj
4	trees_purple_trunks_or_white_leaves_orange_berries	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933101262	speaker	tree-trunk_color-purple	tree-leaves_present-false	tree-berries_color-purple	target	22100	clickedObj
5	bugs_without_wings	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933122221	speaker	bug-wings_present	bug-bug_wings_color-purple	bug-antennae_present-false	target	17867	clickedObj
6	birds_orange_wings_tails	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933142781	speaker	bird-bird_wing_color-orange	bird-bird_wing_color-purple	bird-tail_present-true	target	17467	clickedObj
7	fish_white_bodies_orange_stripes_or_fangs	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933159013	speaker	fish-stripes_color-orange	fish-stripes_color-orange	fish-fangs_present-true	target	13140	clickedObj
8	bugs_antennae_or_wings_purple_bodies	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933181571	speaker	bug-body_color-purple	bug-bug_wings_color-orange	bug-wings_present-false	target	19461	clickedObj
9	flowers_purple_centers_or_orange_stems_with_thorns	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933211339	speaker	flower-center_color-purple	flower-petals_color-orange	flower-stem_color-purple	distr1	26675	clickedObj
10	trees_without_leaves	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933230874	speaker	tree-leaves_present	tree-trunk_color-purple	tree-trunk_color-white	target	16452	clickedObj
11	fish_orange_bodies_purple_stripes	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933244881	speaker	fish-stripes_present	fish-body_color-purple	fish-stripes_color-white	target	10914	clickedObj
12	trees_white_leaves_or_orange_berries	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933262233	speaker	tree-leaves_color-white	tree-leaves_color-white	tree-leaves_color-purple	target	14269	clickedObj
13	bugs_purple_legs_white_heads	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933299538	speaker	bug-legs_color-purple	bug-wings_present-true	bug-head_color-orange	target	34213	clickedObj
14	birds_orange_tails_or_white_wings_orange_crests	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933335291	speaker	bird-crest_tail_color-orange	bird-bird_wing_color-purple	bird-crest_tail_color-orange	target	32670	clickedObj
15	birds_purple_wings_white_crests_or_white_tails	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933355531	speaker	bird-crest_present	bird-crest_tail_color-white	bird-crest_tail_color-purple	target	17155	clickedObj
16	flowers_purple_stems_white_petals_or_orange_centers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933392274	speaker	flower-petals_color-white	flower-petals_color-white	flower-thorns_present-true	target	33656	clickedObj
17	birds_purple_wings_white_crests_or_white_tails	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933432233	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-orange	bird-tail_present-true	target	36874	clickedObj
18	birds_tails	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933454520	speaker	bird-tail_present	bird-crest_present-true	bird-crest_tail_color-orange	target	19205	clickedObj
19	bugs_white_legs_purple_wings_or_orange_antennae	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933485946	speaker	bug-legs_color-white	bug-antennae_present-false	bug-antennae_color-orange	target	28337	clickedObj
20	bugs_orange_head	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933509335	speaker	bug-head_color-orange	bug-bug_wings_color-purple	bug-antennae_color-orange	target	20301	clickedObj
21	bugs_orange_antennae_or_wings	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933536176	speaker	bug-antennae_color-orange	bug-head_color-white	bug-legs_color-purple	target	23749	clickedObj
22	flowers_purple_stems_thorns	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933559304	speaker	flower-stem_color-purple	flower-stem_color-orange	flower-center_color-white	target	20036	clickedObj
23	fish_white_bodies_orange_stripes_or_fangs	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933577248	speaker	fish-body_color-white	fish-stripes_present-false	fish-whiskers_present-true	target	14848	clickedObj
24	trees_purple_leaves_berries	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933602265	speaker	tree-leaves_color-purple	tree-leaves_color-white	tree-trunk_color-white	target	21916	clickedObj
25	fish_white_stripes_or_purple_bodies_whiskers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933625015	speaker	fish-body_color-purple	fish-fangs_present-false	fish-stripes_color-white	target	19661	clickedObj
26	bugs_purple_legs_white_heads_or_orange_wings	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933641905	speaker	bug-bug_wings_color-orange	bug-bug_wings_color-purple	bug-wings_present-true	target	13804	clickedObj
27	birds_orange_tails_or_white_wings_orange_crests	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933665265	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-crest_tail_color-purple	target	20272	clickedObj
28	bugs_purple_legs_white_heads	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933696600	speaker	bug-head_color-white	bug-antennae_color-orange	bug-legs_color-purple	target	28246	clickedObj
29	fish_orange_bodies_purple_stripes	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933713621	speaker	fish-stripes_color-purple	fish-stripes_color-purple	fish-body_color-purple	target	13938	clickedObj
30	trees_white_leaves_or_orange_berries	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933734664	speaker	tree-berries_color-orange	tree-trunk_color-orange	tree-berries_present-false	target	17945	clickedObj
31	flowers_orange_petals_purple_centers	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933752800	speaker	flower-petals_color-orange	flower-center_color-purple	flower-stem_color-orange	target	15045	clickedObj
32	bugs_white_legs_purple_wings_or_orange_antennae	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933771884	speaker	bug-bug_wings_color-purple	bug-legs_color-purple	bug-bug_wings_color-purple	target	15995	clickedObj
33	flowers_thorns_purple_petals_or_orange_stems	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933792487	speaker	flower-thorns_present	flower-petals_color-white	flower-center_color-purple	target	17510	clickedObj
34	birds_purple_wings_white_crests_or_white_tails	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933812939	speaker	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-bird_wing_color-purple	target	17354	clickedObj
35	trees_orange_trunks_berries	development	7396-fd5af20b-8fa8-420e-ac62-56b6effc45a7	1554933831846	speaker	tree-trunk_color-orange	tree-leaves_color-white	tree-leaves_color-purple	target	15812	clickedObj
