trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_purple_stems_white_petals_or_orange_centers	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914821771	listener	flower-center_color-orange	flower-center_color-orange	flower-thorns_present-true	target	40132	clickedObj
1	flowers_thorns	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914851936	listener	flower-thorns_present	flower-center_color-orange	flower-petals_color-orange	target	27113	clickedObj
2	fish_orange_bodies_purple_stripes	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914883600	listener	fish-stripes_color-purple	fish-body_color-purple	fish-stripes_color-white	target	28605	clickedObj
3	flowers_purple_stems_white_petals_or_orange_centers	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914899512	listener	flower-petals_color-white	flower-stem_color-purple	flower-thorns_present-false	target	12859	clickedObj
4	birds_orange_wings_tails	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914923760	listener	bird-bird_wing_color-orange	bird-bird_wing_color-orange	bird-crest_tail_color-purple	target	21194	clickedObj
5	bugs_orange_antennae_or_wings	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914945645	listener	bug-antennae_color-orange	bug-head_color-orange	bug-legs_color-white	target	18802	clickedObj
6	fish_fangs	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914965929	listener	fish-fangs_present	fish-stripes_color-white	fish-stripes_color-purple	target	17225	clickedObj
7	trees_orange_trunks_berries	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915004329	listener	tree-trunk_color-orange	tree-trunk_color-white	tree-leaves_color-white	target	35337	clickedObj
8	flowers_purple_stems_thorns	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915030984	listener	flower-stem_color-purple	flower-petals_color-purple	flower-petals_color-orange	target	23596	clickedObj
9	flowers_orange_stems	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915059346	listener	flower-stem_color-orange	flower-stem_color-purple	flower-center_color-orange	target	25313	clickedObj
10	birds_purple_tails	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915082457	listener	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-white	distr2	20037	clickedObj
11	fish_orange_bodies_or_fangs	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915101211	listener	fish-body_color-orange	fish-stripes_color-white	fish-stripes_color-purple	distr1	15701	clickedObj
12	bugs_purple_legs_white_heads	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915135995	listener	bug-legs_color-purple	bug-wings_present-false	bug-bug_wings_color-purple	target	31734	clickedObj
13	bugs_orange_head	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915163948	listener	bug-head_color-orange	bug-bug_wings_color-orange	bug-legs_color-white	target	24899	clickedObj
14	trees_purple_berries_or_white_trunks	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915190404	listener	tree-trunk_color-white	tree-leaves_present-true	tree-trunk_color-purple	target	23391	clickedObj
15	fish_white_stripes_or_whiskers	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915215827	listener	fish-stripes_color-white	fish-stripes_color-purple	fish-body_color-purple	target	22365	clickedObj
16	trees_orange_trunks_berries	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915244684	listener	tree-berries_present	tree-berries_color-purple	tree-leaves_present-true	target	25806	clickedObj
17	fish_whiskers	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915270287	listener	fish-whiskers_present	fish-stripes_color-white	fish-stripes_color-orange	target	22548	clickedObj
