trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	fish_fangs	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555005974639	listener	fish-fangs_present	fish-whiskers_present-true	fish-body_color-purple	target	41973	clickedObj
1	bugs_white_heads_or_orange_antennae_purple_legs	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006003126	listener	bug-head_color-white	bug-bug_wings_color-orange	bug-bug_wings_color-purple	target	25406	clickedObj
2	trees_white_leaves_or_orange_berries	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006034665	listener	tree-berries_color-orange	tree-leaves_color-white	tree-berries_color-purple	target	28450	clickedObj
3	trees_purple_berries	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006062676	listener	tree-berries_color-purple	tree-trunk_color-purple	tree-trunk_color-orange	target	24924	clickedObj
4	bugs_purple_wings_or_white_legs	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006114392	listener	bug-legs_color-white	bug-legs_color-purple	bug-head_color-orange	target	48627	clickedObj
5	trees_without_leaves	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006146521	listener	tree-leaves_present	tree-berries_color-purple	tree-leaves_color-purple	target	29044	clickedObj
6	birds_purple_crests_purple_tails_or_orange_wings	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006205345	listener	bird-crest_present	bird-bird_wing_color-white	bird-crest_tail_color-purple	target	55744	clickedObj
7	bugs_white_heads_or_orange_antennae_purple_legs	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006234755	listener	bug-legs_color-purple	bug-head_color-orange	bug-bug_wings_color-purple	target	26314	clickedObj
8	flowers_purple_stems_or_thorns_white_centers	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006265025	listener	flower-center_color-white	flower-petals_color-orange	flower-center_color-white	target	27187	clickedObj
9	fish_white_stripes_whiskers	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006468910	listener	fish-stripes_color-white	fish-fangs_present-true	fish-stripes_color-white	target	200799	clickedObj
10	flowers_thorns	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006505710	listener	flower-thorns_present	flower-stem_color-orange	flower-center_color-white	target	33720	clickedObj
11	birds_orange_tails_or_white_wings	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006542438	listener	bird-crest_tail_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-orange	target	33647	clickedObj
12	trees_orange_berries_purple_trunks_or_white_leaves	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006569888	listener	tree-trunk_color-purple	tree-leaves_present-false	tree-berries_color-orange	target	24368	clickedObj
13	bugs_purple_wings_or_white_legs	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006602328	listener	bug-bug_wings_color-purple	bug-head_color-orange	bug-antennae_color-orange	target	29318	clickedObj
14	fish_white_bodies_orange_stripes_or_fangs	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006626296	listener	fish-body_color-white	fish-body_color-orange	fish-body_color-white	target	20871	clickedObj
15	trees_leaves_berries_or_orange_trunks	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006656296	listener	tree-trunk_color-orange	tree-trunk_color-orange	tree-berries_present-false	target	26921	clickedObj
16	flowers_purple_stems_white_petals_or_orange_centers	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006694912	listener	flower-center_color-orange	flower-stem_color-purple	flower-petals_color-white	target	35531	clickedObj
17	bugs_purple_legs_white_heads_or_orange_wings	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006742187	listener	bug-bug_wings_color-orange	bug-legs_color-purple	bug-antennae_color-orange	target	44190	clickedObj
18	trees_purple_leaves_berries	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006770011	listener	tree-leaves_color-purple	tree-trunk_color-orange	tree-trunk_color-purple	target	24739	clickedObj
19	trees_white_leaves_or_orange_berries	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006791578	listener	tree-leaves_color-white	tree-trunk_color-orange	tree-trunk_color-white	target	18484	clickedObj
20	flowers_purple_stems_white_petals_or_orange_centers	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006850955	listener	flower-petals_color-white	flower-petals_color-purple	flower-stem_color-purple	target	56293	clickedObj
21	fish_white_stripes_or_purple_bodies_whiskers	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006880595	listener	fish-body_color-purple	fish-stripes_present-false	fish-whiskers_present-true	target	26555	clickedObj
22	bugs_wings_antennae	development	9703-79a83498-4d4f-4af1-91ed-3392718cc234	1555006920667	listener	bug-antennae_present	bug-head_color-white	bug-wings_present-false	target	36992	clickedObj
