trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	trees_purple_berries_or_white_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015232998	listener	tree-trunk_color-white	tree-berries_present-false	tree-berries_color-orange	target	168325	clickedObj
1	trees_leaves_berries_or_orange_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015262893	listener	tree-berries_present	tree-berries_color-purple	tree-leaves_color-white	target	26791	clickedObj
2	birds_purple_wings_crests	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015341579	listener	bird-bird_wing_color-purple	bird-crest_present-true	bird-crest_tail_color-purple	target	75593	clickedObj
3	flowers_purple_centers_or_orange_stems_with_thorns	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015413939	listener	flower-center_color-purple	flower-thorns_present-false	flower-center_color-purple	target	69266	clickedObj
4	birds_orange_tails_or_white_wings	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015449018	listener	bird-crest_tail_color-orange	bird-crest_tail_color-purple	bird-crest_tail_color-orange	target	31989	clickedObj
5	bugs_white_heads_or_orange_antennae_purple_legs	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015492434	listener	bug-legs_color-purple	bug-antennae_present-false	bug-legs_color-purple	target	40310	clickedObj
6	fish_white_stripes_or_purple_bodies_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015540745	listener	fish-body_color-purple	fish-whiskers_present-false	fish-stripes_color-orange	target	45208	clickedObj
7	trees_without_leaves	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015564777	listener	tree-leaves_present	tree-trunk_color-orange	tree-leaves_color-purple	distr2	20929	clickedObj
8	trees_purple_leaves_berries	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015637193	listener	tree-leaves_color-purple	tree-berries_color-orange	tree-trunk_color-white	target	69327	clickedObj
9	trees_orange_trunks_or_berries_white_leaves	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015671871	listener	tree-leaves_color-white	tree-berries_color-orange	tree-leaves_present-false	target	31584	clickedObj
10	flowers_purple_stems_or_thorns_white_centers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015717448	listener	flower-center_color-white	flower-thorns_present-true	flower-petals_color-white	target	42474	clickedObj
11	fish_white_stripes_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015763774	listener	fish-stripes_color-white	fish-stripes_color-orange	fish-whiskers_present-false	target	43235	clickedObj
12	fish_white_bodies_orange_stripes_or_fangs	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015797998	listener	fish-body_color-white	fish-body_color-white	fish-fangs_present-false	target	31095	clickedObj
13	flowers_orange_stems	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015829645	listener	flower-stem_color-orange	flower-petals_color-purple	flower-center_color-orange	target	28553	clickedObj
14	fish_orange_bodies_purple_stripes_or_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015862124	listener	fish-stripes_color-purple	fish-body_color-orange	fish-fangs_present-false	distr2	29375	clickedObj
15	trees_orange_berries_purple_trunks_or_white_leaves	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015893804	listener	tree-trunk_color-purple	tree-leaves_present-true	tree-trunk_color-purple	target	28590	clickedObj
16	bugs_orange_antennae_or_wings	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015980570	listener	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-head_color-orange	target	83675	clickedObj
