trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	birds_orange_tails_or_white_wings_orange_crests	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554312890868	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-crest_present-true	target	36438	clickedObj
1	flowers_purple_stems_white_petals_or_orange_centers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554312921332	speaker	flower-center_color-orange	flower-center_color-white	flower-center_color-orange	target	27153	clickedObj
2	birds_orange_tails_or_white_wings_orange_crests	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554312956940	speaker	bird-crest_present	bird-crest_tail_color-purple	bird-bird_wing_color-white	target	32517	clickedObj
3	bugs_white_legs_purple_wings_or_orange_antennae	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554312990178	speaker	bug-legs_color-white	bug-wings_present-true	bug-body_color-purple	target	30146	clickedObj
4	flowers_purple_petals_or_thorns	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313027435	speaker	flower-petals_color-purple	flower-petals_color-purple	flower-stem_color-orange	target	34167	clickedObj
5	fish_white_stripes_or_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313050931	speaker	fish-stripes_color-white	fish-body_color-white	fish-stripes_present-true	target	20390	clickedObj
6	bugs_purple_legs_white_heads_or_orange_wings	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313095572	speaker	bug-bug_wings_color-orange	bug-head_color-white	bug-antennae_present-false	target	41554	clickedObj
7	flowers_purple_stems_or_thorns_white_centers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313140197	speaker	flower-center_color-white	flower-petals_color-white	flower-petals_color-orange	target	41534	clickedObj
8	trees_orange_trunks_or_berries_white_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313160544	speaker	tree-trunk_color-orange	tree-berries_color-purple	tree-berries_color-orange	target	17242	clickedObj
9	trees_orange_berries_purple_trunks_or_white_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313192207	speaker	tree-berries_color-orange	tree-berries_present-false	tree-leaves_color-purple	target	28567	clickedObj
10	trees_without_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313219139	speaker	tree-leaves_present	tree-trunk_color-orange	tree-trunk_color-purple	target	23753	clickedObj
11	bugs_purple_legs_white_heads	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313255846	speaker	bug-legs_color-purple	bug-antennae_present-false	bug-legs_color-white	target	33617	clickedObj
12	fish_orange_bodies_purple_stripes_or_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313280645	speaker	fish-stripes_color-purple	fish-body_color-orange	fish-whiskers_present-true	target	21704	clickedObj
13	bugs_orange_antennae_or_wings	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313300396	speaker	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-bug_wings_color-purple	target	16661	clickedObj
14	flowers_orange_stems	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313317781	speaker	flower-stem_color-orange	flower-stem_color-orange	flower-stem_color-purple	target	14286	clickedObj
15	bugs_wings_antennae	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313336267	speaker	bug-antennae_present	bug-legs_color-purple	bug-legs_color-white	target	15391	clickedObj
16	fish_orange_bodies_or_fangs_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313379544	speaker	fish-fangs_present	fish-stripes_color-white	fish-stripes_color-orange	target	40186	clickedObj
17	fish_white_stripes_or_purple_bodies_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313402594	speaker	fish-body_color-purple	fish-stripes_color-white	fish-stripes_color-purple	target	19960	clickedObj
18	fish_orange_bodies_or_fangs_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1554313428846	speaker	fish-body_color-orange	fish-stripes_present-false	fish-stripes_color-purple	target	23163	clickedObj
