trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_without_wings	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321643793	listener	bug-wings_present	bug-antennae_color-orange	bug-antennae_present-false	target	66266	clickedObj
1	fish_orange_bodies_or_fangs_whiskers	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321661739	listener	fish-whiskers_present	fish-stripes_present-true	fish-body_color-purple	target	14895	clickedObj
2	birds_white_crests_or_orange_wings_tails	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321696151	listener	bird-crest_present	bird-crest_tail_color-orange	bird-crest_present-false	target	31343	clickedObj
3	birds_purple_tails	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321714665	listener	bird-crest_tail_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-white	target	15458	clickedObj
4	flowers_thorns	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321740538	listener	flower-thorns_present	flower-center_color-white	flower-stem_color-purple	target	22819	clickedObj
5	fish_white_bodies_orange_stripes_or_fangs	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321786065	listener	fish-body_color-white	fish-stripes_present-true	fish-body_color-orange	target	42449	clickedObj
6	bugs_purple_legs_white_heads_or_orange_wings	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321801745	listener	bug-bug_wings_color-orange	bug-wings_present-false	bug-head_color-white	target	12610	clickedObj
7	fish_white_bodies_orange_stripes_or_fangs	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321816415	listener	fish-stripes_color-orange	fish-stripes_present-true	fish-body_color-orange	target	11600	clickedObj
8	birds_orange_tails_or_white_wings	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321838309	listener	bird-bird_wing_color-white	bird-crest_present-true	bird-crest_tail_color-purple	target	18827	clickedObj
9	trees_purple_berries	development	3294-239e56ee-9290-478d-95de-667898aad219	1554321864925	listener	tree-berries_color-purple	tree-trunk_color-purple	tree-berries_color-orange	target	23550	clickedObj
