trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	trees_without_leaves	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304452458	listener	tree-leaves_present	tree-leaves_color-white	tree-trunk_color-purple	target	41738	clickedObj
1	fish_fangs	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304486575	listener	fish-fangs_present	fish-whiskers_present-true	fish-stripes_color-orange	target	31026	clickedObj
2	flowers_thorns	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304540689	listener	flower-thorns_present	flower-center_color-white	flower-stem_color-orange	target	51031	clickedObj
3	flowers_purple_stems_white_petals_or_orange_centers	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304581799	listener	flower-center_color-orange	flower-petals_color-white	flower-center_color-purple	target	38015	clickedObj
4	bugs_purple_wings_or_white_legs	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304624712	listener	bug-bug_wings_color-purple	bug-head_color-orange	bug-legs_color-purple	target	39820	clickedObj
5	fish_orange_bodies_purple_stripes	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304663851	listener	fish-stripes_color-purple	fish-body_color-purple	fish-stripes_present-true	target	36056	clickedObj
6	bugs_orange_antennae_or_wings	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304691273	listener	bug-antennae_color-orange	bug-head_color-white	bug-body_color-purple	target	24339	clickedObj
7	trees_orange_trunks_berries	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304708611	listener	tree-trunk_color-orange	tree-leaves_color-white	tree-leaves_color-purple	target	14252	clickedObj
8	fish_orange_bodies_purple_stripes	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304733758	listener	fish-body_color-orange	fish-body_color-purple	fish-stripes_color-orange	target	22062	clickedObj
9	flowers_purple_stems_thorns	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304776363	listener	flower-stem_color-purple	flower-center_color-white	flower-petals_color-white	target	39517	clickedObj
10	flowers_purple_petals_or_thorns	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304811897	listener	flower-petals_color-purple	flower-petals_color-purple	flower-center_color-purple	target	32451	clickedObj
11	flowers_purple_stems_or_thorns_white_centers	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304855516	listener	flower-center_color-white	flower-petals_color-orange	flower-thorns_present-false	target	40538	clickedObj
12	trees_orange_berries_purple_trunks_or_white_leaves	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304883646	listener	tree-trunk_color-purple	tree-berries_color-purple	tree-leaves_present-true	target	25051	clickedObj
13	bugs_purple_legs_white_heads	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1554304901399	listener	bug-legs_color-purple	bug-bug_wings_color-purple	bug-wings_present-true	target	14668	clickedObj
