trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_white_legs_purple_wings_or_orange_antennae	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306224485	listener	bug-bug_wings_color-purple	bug-body_color-purple	bug-antennae_color-orange	target	195759	clickedObj
1	fish_orange_bodies_purple_stripes	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306244121	listener	fish-stripes_present	fish-body_color-orange	fish-stripes_color-white	target	16570	clickedObj
2	bugs_without_wings	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306275601	listener	bug-wings_present	bug-head_color-orange	bug-antennae_color-orange	target	28413	clickedObj
3	birds_orange_tails_or_white_wings_orange_crests	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306335952	listener	bird-bird_wing_color-white	bird-crest_tail_color-purple	bird-bird_wing_color-purple	target	57296	clickedObj
4	birds_purple_wings_crests	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306358312	listener	bird-crest_present	bird-crest_present-true	bird-bird_wing_color-purple	target	19293	clickedObj
5	birds_purple_tails	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306387287	listener	bird-crest_tail_color-purple	bird-bird_wing_color-purple	bird-crest_tail_color-purple	distr1	25905	clickedObj
6	flowers_orange_petals_purple_centers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306425381	listener	flower-petals_color-orange	flower-stem_color-purple	flower-center_color-orange	target	35020	clickedObj
7	trees_without_leaves	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306447230	listener	tree-leaves_present	tree-berries_present-true	tree-berries_color-purple	target	18782	clickedObj
8	trees_purple_trunks_or_white_leaves_orange_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306474110	listener	tree-berries_color-orange	tree-trunk_color-purple	tree-leaves_present-false	target	23810	clickedObj
9	birds_tails	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306509422	listener	bird-tail_present	bird-bird_wing_color-orange	bird-crest_tail_color-white	distr1	32245	clickedObj
10	trees_orange_trunks_berries	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306546813	listener	tree-trunk_color-orange	tree-trunk_color-white	tree-berries_color-purple	target	34327	clickedObj
11	bugs_orange_antennae_or_wings	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306587709	listener	bug-antennae_color-orange	bug-legs_color-purple	bug-bug_wings_color-purple	target	37830	clickedObj
12	fish_whiskers	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306608973	listener	fish-whiskers_present	fish-stripes_color-white	fish-body_color-white	target	18195	clickedObj
13	fish_orange_bodies_purple_stripes	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306635827	listener	fish-body_color-orange	fish-body_color-purple	fish-stripes_present-true	target	23787	clickedObj
14	flowers_purple_centers_or_orange_stems_with_thorns	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306664667	listener	flower-center_color-purple	flower-center_color-orange	flower-stem_color-orange	target	25780	clickedObj
15	birds_orange_crests_or_purple_wings	development	2061-50585fd8-7833-49c9-85f7-24a2bd43d8e4	1554306715611	listener	bird-crest_tail_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-purple	target	47884	clickedObj
