trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass	example_id
0	bugs_white_heads_or_orange_antennae_purple_legs	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	bug-legs_color-purple	bug-antennae_color-orange	bug-antennae_present-true	it has pink antenna 	2150	speaker	18327	chatMessage	I	E	-7329551195725782672
1	birds_white_crests_or_orange_wings_tails	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	bird-tail_present	bird-crest_tail_color-orange	bird-crest_tail_color-white	it has pink hair 	2030	speaker	4481	chatMessage	I	E	-7702929426465067831
2	fish_orange_bodies_purple_stripes_or_whiskers	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	fish-stripes_present	fish-body_color-white	fish-stripes_color-purple	it has a pink body and orange stripes	2710	speaker	5710	chatMessage	I	E	8796649313424948827
3	bugs_wings_antennae	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	bug-antennae_present	bug-body_color-purple	bug-antennae_present-false	orange body, white antenna 	3087	speaker	5948	chatMessage	I	E	-7355226267950917017
4	trees_white_leaves_or_orange_berries	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	tree-leaves_color-white	tree-berries_present-false	tree-leaves_present-true	white leaves and green dots	3622	speaker	7821	chatMessage	I	L	-624390937319888520
5	fish_whiskers	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	fish-whiskers_present	fish-stripes_color-purple	fish-body_color-orange	completely white fish	2320	speaker	4670	chatMessage	I	E	2742589242555898284
6	trees_purple_leaves_berries	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	tree-leaves_color-purple	tree-leaves_color-purple	tree-trunk_color-orange	blue body, red leaves	3840	speaker	7840	chatMessage	I	E	-5636981642408333084
7	trees_without_leaves	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	tree-leaves_present	tree-leaves_present-false	tree-berries_color-purple	orange leaves, blue dots	3088	speaker	13556	chatMessage	I	E	6975833598958987698
8	bugs_orange_head	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	bug-head_color-orange	bug-body_color-purple	bug-wings_present-false	white butt, pink wings	3168	speaker	12587	chatMessage	I	E	4401585631643849617
9	flowers_purple_centers_or_orange_stems_with_thorns	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	flower-center_color-purple	flower-stem_color-orange	flower-stem_color-purple	white stalk	3582	speaker	10596	chatMessage	I	E	-9091448242756885683
10	birds_purple_tails	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	bird-crest_tail_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-purple	orange hair except for one piece of hair under the eyes is pink	14231	speaker	31311	chatMessage	I	E	8445508597141482242
12	flowers_purple_stems_white_petals_or_orange_centers	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	flower-center_color-orange	flower-petals_color-orange	flower-petals_color-purple	white petals 	3327	speaker	6232	chatMessage	I	E	6582075324970791459
13	bugs_purple_legs_white_heads_or_orange_wings	development	4491-b16d9463-8187-4859-a5c4-1aca721fab72	1550000000000.0	speaker	bug-bug_wings_color-orange	bug-legs_color-purple	bug-wings_present-true	white body, white spikes, orange wings 	5792	speaker	9075	chatMessage	I	E	2787996553048802194
1	flowers_purple_stems_thorns	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-stem_color-purple	flower-petals_color-white	flower-thorns_present-false	it has spike with purple color~~~	37538	speaker	107730	chatMessage			7265140090658688383
2	bugs_white_legs_purple_wings_or_orange_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-legs_color-white	bug-head_color-orange	bug-body_color-purple	it has both purple and orange color~~~	19386	speaker	30390	chatMessage			1449952345154020266
3	trees_purple_leaves_berries	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-leaves_color-purple	tree-berries_color-orange	tree-berries_color-purple	it' s green	7268	speaker	13491	chatMessage			3954311218741642710
4	bugs_white_legs_purple_wings_or_orange_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-bug_wings_color-purple	bug-head_color-white	bug-body_color-purple	its purple	17014	speaker	21697	chatMessage			-5954066920292112283
5	bugs_antennae_or_wings_purple_bodies	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-body_color-purple	bug-bug_wings_color-purple	bug-antennae_present-true	only orange color in body~~~	17518	speaker	21639	chatMessage			899609556616301046
6	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-leaves_color-white	tree-trunk_color-orange	tree-trunk_color-purple	its like a blue color~~~	12404	speaker	15468	chatMessage			-4732742663372644964
7	fish_white_stripes_or_purple_bodies_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-body_color-purple	fish-stripes_color-orange	fish-fangs_present-true	its like only purple ~~~	28697	speaker	33249	chatMessage			-369546785675490265
8	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-body_color-orange	fish-body_color-orange	fish-stripes_present-false	it has less orange in body~~~	15282	speaker	18127	chatMessage			-8157437824060983374
9	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-whiskers_present	fish-body_color-white	fish-fangs_present-true	it has only purple color in body	24875	speaker	26867	chatMessage			3389612709328829057
11	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-trunk_color-orange	tree-trunk_color-purple	tree-berries_color-orange	orange and blue	9567	speaker	17970	chatMessage			-7919233140251675868
12	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-fangs_present	fish-stripes_color-white	fish-body_color-purple	only orange and purple~~~	16093	speaker	27834	chatMessage			-4198888836847211600
13	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-crest_present	bird-crest_tail_color-white	bird-crest_tail_color-purple	it has combination of color~~~	15608	speaker	26023	chatMessage			6895398199780279099
14	bugs_purple_legs_white_heads	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-legs_color-purple	bug-head_color-white	bug-bug_wings_color-purple	fully orange color in body~~~	12792	speaker	17409	chatMessage			3000925008673651279
16	trees_purple_berries_or_white_trunks	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-trunk_color-white	tree-trunk_color-orange	tree-berries_present-true	both blue and green~~~	10890	speaker	16810	chatMessage			-6650106510886998205
17	fish_white_bodies_orange_stripes_or_fangs	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-stripes_color-orange	fish-stripes_color-orange	fish-whiskers_present-false	purple and orange ~~~	9046	speaker	14611	chatMessage			8045120557275908975
18	fish_white_stripes_or_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-stripes_color-white	fish-whiskers_present-false	fish-stripes_color-white	fully orange in body~~~	13692	speaker	19238	chatMessage			2722934574082890198
19	flowers_purple_stems_white_petals_or_orange_centers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-center_color-orange	flower-stem_color-orange	flower-center_color-white	only purple ~~~	16973	speaker	21802	chatMessage			9127516727441209266
20	bugs_orange_head	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-head_color-orange	bug-legs_color-white	bug-antennae_present-true	orange and violet	13256	speaker	21742	chatMessage			6385404558635245123
21	bugs_without_wings	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-wings_present	bug-bug_wings_color-orange	bug-antennae_present-true	orange and violet and spike~~~	14998	speaker	20925	chatMessage			2092884503908194438
22	flowers_orange_petals_purple_centers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-petals_color-orange	flower-petals_color-white	flower-center_color-white	orange~~~	6709	speaker	12679	chatMessage			-1082046539328800603
23	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-leaves_present	tree-leaves_present-true	tree-trunk_color-white	red~~~	4440	speaker	8096	chatMessage			-4628292805896769895
24	birds_orange_tails_or_white_wings_orange_crests	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-crest_tail_color-orange	bird-crest_present-true	bird-bird_wing_color-white	orange and yellow~~~	21137	speaker	26896	chatMessage			466756803009974762
25	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-crest_tail_color-white	bird-crest_tail_color-white	bird-bird_wing_color-orange	without spike~~~	10487	speaker	18064	chatMessage			412835055984753080
27	trees_white_leaves_or_orange_berries	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-berries_color-orange	tree-berries_present-false	tree-leaves_color-purple	red, orange 	6949	speaker	14905	chatMessage			183654361329685299
28	bugs_purple_legs_white_heads	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-head_color-white	bug-body_color-purple	bug-antennae_present-true	orange	2949	speaker	6671	chatMessage			-1285356271949338912
37	flowers_thorns_purple_petals_or_orange_stems	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-thorns_present	flower-center_color-orange	flower-petals_color-orange	violet	3617	speaker	6212	chatMessage			1372191148631635539
41	birds_orange_wings_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-crest_present-true	violet	5762	speaker	7814	chatMessage			-8634993388176603023
42	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-berries_present	tree-trunk_color-white	tree-berries_color-orange	blank tree~~~	5319	speaker	10882	chatMessage			7235821319354667268
43	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-bird_wing_color-purple	bird-crest_present-true	bird-crest_tail_color-orange	white spike	5204	speaker	9918	chatMessage			3964658778313494285
1	birds_purple_wings_crests	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930745045.0	listener	bird-crest_present	bird-crest_tail_color-white	bird-crest_tail_color-orange	This one has no feathers on its head	9174	speaker	13350	chatMessage			3045469752169180553
3	trees_purple_berries	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930782592.0	listener	tree-berries_color-purple	tree-berries_present-true	tree-trunk_color-white	The has a red trunk and green berries	10080	speaker	13884	chatMessage			433647219399942485
4	fish_white_stripes_or_whiskers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930819639.0	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	This has pink stripes and again the mouth is cut off	26629	speaker	30755	chatMessage			5776911130733747830
4	fish_white_stripes_or_whiskers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930832008.0	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	Weird~~~ 	5591	listener	43166	chatMessage			5776911130733747830
5	fish_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930856893.0	listener	fish-fangs_present	fish-body_color-orange	fish-fangs_present-true	white body and I see no mouth	9075	speaker	20542	chatMessage			-7967155789539551432
6	flowers_purple_centers_or_orange_stems_with_thorns	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930902958.0	listener	flower-center_color-purple	flower-center_color-white	flower-petals_color-purple	orange leaves and pink center	23197	speaker	35714	chatMessage			-4812025947768336888
7	birds_tails	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930929518.0	listener	bird-tail_present	bird-crest_tail_color-orange	bird-bird_wing_color-orange	white tail feathers, white body feather	8269	speaker	15473	chatMessage			1008097769895196139
8	bugs_wings_antennae	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930949520.0	listener	bug-antennae_present	bug-head_color-orange	bug-antennae_color-orange	pink antenna, white head	8332	speaker	12408	chatMessage			4604753650796194141
9	bugs_white_legs_purple_wings_or_orange_antennae	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930977463.0	listener	bug-legs_color-white	bug-antennae_color-orange	bug-bug_wings_color-orange	no antenna or wings	7539	speaker	12715	chatMessage			3435326888135262707
10	flowers_thorns_purple_petals_or_orange_stems	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931011782.0	listener	flower-petals_color-purple	flower-petals_color-purple	flower-center_color-orange	orange everything except white center and white dots	23843	speaker	28062	chatMessage			-8188439735521674731
11	fish_orange_bodies_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931036943.0	listener	fish-body_color-orange	fish-stripes_color-orange	fish-whiskers_present-false	pink stripes no mouth	10486	speaker	15632	chatMessage			1111352170756218526
12	birds_purple_wings_crests	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931056687.0	listener	bird-bird_wing_color-purple	bird-crest_tail_color-orange	bird-crest_tail_color-white	no tail feathers	3614	speaker	12158	chatMessage			-3020810496391916329
13	fish_orange_bodies_purple_stripes	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931089655.0	listener	fish-stripes_color-purple	fish-fangs_present-false	fish-body_color-orange	pink body, orange stripes, and guess the rest	19845	speaker	25682	chatMessage			-8644836629943660840
13	fish_orange_bodies_purple_stripes	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931115847.0	listener	fish-stripes_color-purple	fish-fangs_present-false	fish-body_color-orange	It will be interesting to see if your fish have no mouth	10261	speaker	51873	chatMessage			-8644836629943660840
13	fish_orange_bodies_purple_stripes	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931126934.0	listener	fish-stripes_color-purple	fish-fangs_present-false	fish-body_color-orange	Mine have a mouth and one has a tooth~~~	6571	listener	62995	chatMessage			-8644836629943660840
14	birds_orange_tails_or_white_wings	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931144351.0	listener	bird-bird_wing_color-white	bird-crest_tail_color-purple	bird-crest_tail_color-white	no head feathers	9022	speaker	13055	chatMessage			8935418905903716305
14	birds_orange_tails_or_white_wings	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931153363.0	listener	bird-bird_wing_color-white	bird-crest_tail_color-purple	bird-crest_tail_color-white	The last fish had a tooth~~~	5364	listener	22116	chatMessage			8935418905903716305
15	trees_leaves_berries_or_orange_trunks	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931177207.0	listener	tree-trunk_color-orange	tree-berries_color-orange	tree-leaves_color-purple	white leaves, no berries	11558	speaker	19111	chatMessage			4944631413068343812
16	trees_without_leaves	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931198303.0	listener	tree-leaves_present	tree-berries_color-purple	tree-berries_color-orange	red berries	6158	speaker	10590	chatMessage			481141209479131567
18	flowers_purple_stems_white_petals_or_orange_centers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931259264.0	listener	flower-petals_color-white	flower-center_color-orange	flower-stem_color-orange	pink center, pink stalk	9835	speaker	17784	chatMessage			159626151317070058
19	trees_purple_trunks_or_white_leaves_orange_berries	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931277751.0	listener	tree-trunk_color-purple	tree-berries_present-false	tree-leaves_present-false	green leaves, pink berries	5477	speaker	9362	chatMessage			6771201076566343154
20	birds_purple_tails	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931302039.0	listener	bird-crest_tail_color-purple	bird-tail_present-true	bird-crest_tail_color-purple	orange tail feathers	5718	speaker	9064	chatMessage			-1060973282943979864
21	bugs_orange_antennae_or_wings	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931333927.0	listener	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-antennae_present-false	white wings and white antenna	9525	speaker	13097	chatMessage			-2875923716848431595
24	bugs_purple_legs_white_heads	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931406863.0	listener	bug-head_color-white	bug-body_color-purple	bug-wings_present-true	white body, no wings	7446	speaker	14080	chatMessage			-2675230645408892889
25	trees_purple_trunks_or_white_leaves_orange_berries	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931433274.0	listener	tree-berries_color-orange	tree-leaves_color-white	tree-trunk_color-purple	green stalk, blue leaves and berries	13285	speaker	19264	chatMessage			9094697990658440243
26	birds_orange_tails_or_white_wings	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931463792.0	listener	bird-crest_tail_color-orange	bird-tail_present-false	bird-bird_wing_color-purple	white wing, orange head and tail feathers	16077	speaker	19717	chatMessage			-3506458610276696016
27	trees_purple_berries_or_white_trunks	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931489264.0	listener	tree-trunk_color-white	tree-leaves_color-purple	tree-trunk_color-orange	red stalk, blue leaves, green berries	13628	speaker	17226	chatMessage			6014985660277292574
