trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_purple_leaves_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921016909	speaker	tree-leaves_color-purple	tree-berries_present-true	tree-berries_color-purple	the one with  only green dots	12873	speaker	25392	chatMessage		
1	fish_white_bodies_orange_stripes_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921046143	speaker	fish-stripes_color-orange	fish-stripes_present-true	fish-whiskers_present-false	the one with whiskers but no stripes	17697	speaker	23324	chatMessage		
2	bugs_antennae_or_wings_purple_bodies	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921072439	speaker	bug-body_color-purple	bug-legs_color-purple	bug-bug_wings_color-orange	the one with gold legs but no wings	11627	speaker	20944	chatMessage		
3	fish_white_bodies_orange_stripes_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921097402	speaker	fish-body_color-white	fish-stripes_color-orange	fish-body_color-white	golden one with pink stripes	10014	speaker	19516	chatMessage		
4	fish_orange_bodies_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921113896	speaker	fish-body_color-orange	fish-stripes_color-orange	fish-stripes_color-white	all pink one	3655	speaker	11530	chatMessage		
5	bugs_purple_wings_or_white_legs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921128772	speaker	bug-legs_color-white	bug-legs_color-purple	bug-legs_color-white	golden legs	2431	speaker	8855	chatMessage		
6	trees_purple_trunks_or_white_leaves_orange_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921139589	speaker	tree-trunk_color-purple	tree-berries_present-false	tree-berries_color-orange	pink dots	2413	speaker	6150	chatMessage		
7	bugs_orange_antennae_or_wings	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921162121	speaker	bug-antennae_color-orange	bug-antennae_present-false	bug-antennae_color-orange	pink thing by the eyes	12072	speaker	16432	chatMessage		
8	bugs_orange_head	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921185740	speaker	bug-head_color-orange	bug-antennae_present-true	bug-body_color-purple	golden body and thing by the eyes	9780	speaker	18565	chatMessage		
9	birds_orange_tails_or_white_wings_orange_crests	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921198407	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-bird_wing_color-purple	golden	2277	speaker	7720	chatMessage		
10	birds_purple_wings_white_crests_or_white_tails	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921209397	speaker	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-crest_tail_color-white	golden 	3638	speaker	6784	chatMessage		
11	bugs_white_heads_or_orange_antennae_purple_legs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921229792	speaker	bug-head_color-white	bug-wings_present-false	bug-body_color-purple	pink wings but white body	9518	speaker	16042	chatMessage		
12	birds_purple_wings_white_crests_or_white_tails	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921250789	speaker	bird-crest_present	bird-bird_wing_color-orange	bird-crest_tail_color-orange	all pink but white part	10768	speaker	16190	chatMessage		
