trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_orange_petals_purple_centers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921789767	speaker	flower-petals_color-orange	flower-petals_color-white	flower-center_color-white	The one that has purple petals and also a purple circle in the center of them	33406	speaker	103943	chatMessage		
1	bugs_without_wings	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921832768	speaker	bug-wings_present	bug-antennae_present-true	bug-body_color-purple	White tail, no antennae	10815	speaker	33242	chatMessage		
2	flowers_purple_stems_white_petals_or_orange_centers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921861775	speaker	flower-petals_color-white	flower-center_color-white	flower-thorns_present-true	Orange center, no spikes on stem	5902	speaker	21392	chatMessage		
3	birds_purple_tails	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921888201	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-orange	bird-crest_tail_color-white	Purple tail	1974	speaker	18992	chatMessage		
4	fish_white_stripes_or_whiskers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921898843	speaker	fish-stripes_present	fish-body_color-purple	fish-body_color-orange	White body	1781	speaker	5062	chatMessage		
5	birds_white_crests_or_orange_wings_tails	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921913134	speaker	bird-crest_present	bird-crest_tail_color-white	bird-tail_present-true	Purple head feathers	3576	speaker	8239	chatMessage		
6	bugs_wings_antennae	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921929765	speaker	bug-antennae_present	bug-bug_wings_color-purple	bug-legs_color-purple	Only orange and white	4185	speaker	10432	chatMessage		
7	birds_purple_wings_crests	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921956228	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-orange	Purple head feathers, no white wing	7670	speaker	18767	chatMessage		
8	flowers_purple_petals_or_thorns	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921971280	speaker	flower-petals_color-purple	flower-stem_color-purple	flower-stem_color-orange	White stem	1467	speaker	8219	chatMessage		
9	bugs_purple_wings_or_white_legs	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921999881	speaker	bug-bug_wings_color-purple	bug-body_color-purple	bug-bug_wings_color-orange	Orange and white	3900	speaker	22792	chatMessage		
10	trees_white_leaves_or_orange_berries	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922012795	speaker	tree-berries_color-orange	tree-trunk_color-white	tree-trunk_color-orange	Green vase	3275	speaker	5910	chatMessage		
11	trees_white_leaves_or_orange_berries	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922034356	speaker	tree-leaves_color-white	tree-leaves_color-purple	tree-trunk_color-white	Blue vase, red petals	5773	speaker	16512	chatMessage		
12	birds_orange_crests_or_purple_wings	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922055327	speaker	bird-crest_tail_color-orange	bird-crest_tail_color-orange	bird-bird_wing_color-white	Purple wing,no head feathers	4980	speaker	15263	chatMessage		
