trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_orange_head	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922030330	listener	bug-head_color-orange	bug-bug_wings_color-orange	bug-antennae_present-false	it has antennas and a purple back, no wings	19077	speaker	46489	chatMessage		
1	bugs_purple_legs_white_heads_or_orange_wings	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922065796	listener	bug-bug_wings_color-orange	bug-head_color-white	bug-bug_wings_color-orange	no wings, purple head	8806	speaker	27004	chatMessage		
2	fish_orange_bodies_purple_stripes	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922080768	listener	fish-stripes_color-purple	fish-body_color-orange	fish-stripes_color-orange	all white	2321	speaker	6956	chatMessage		
3	trees_purple_berries	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922104116	listener	tree-berries_color-purple	tree-leaves_present-false	tree-trunk_color-purple	blue and green leaves, yellow trunk	8724	speaker	16763	chatMessage		
4	trees_orange_berries_purple_trunks_or_white_leaves	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922127842	listener	tree-berries_color-orange	tree-leaves_color-purple	tree-berries_present-false	blue and green leaves, red trunk	6271	speaker	10839	chatMessage		
5	bugs_purple_legs_white_heads	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922158236	listener	bug-head_color-white	bug-head_color-white	bug-bug_wings_color-orange	white body, yellow head	5662	speaker	9570	chatMessage		
6	fish_white_bodies_orange_stripes_or_fangs	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922179285	listener	fish-stripes_color-orange	fish-whiskers_present-false	fish-stripes_present-false	long whiskers, yellow stripes	7135	speaker	11597	chatMessage		
7	trees_purple_leaves_berries	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922204659	listener	tree-leaves_color-purple	tree-leaves_color-purple	tree-berries_color-purple	white and green leaves	6392	speaker	17213	chatMessage		
8	fish_orange_bodies_or_fangs_whiskers	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922237577	listener	fish-fangs_present	fish-fangs_present-false	fish-body_color-white	purple with orange stripes and a long fang in its mouth	16006	speaker	23619	chatMessage		
9	fish_white_bodies_orange_stripes_or_fangs	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922274936	listener	fish-body_color-white	fish-body_color-white	fish-body_color-orange	purple body with yellow stripes	9339	speaker	19947	chatMessage		
10	birds_purple_wings_crests	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922313535	listener	bird-crest_present	bird-crest_tail_color-purple	bird-crest_tail_color-white	plain, no feathers on top or bottom	8507	speaker	27963	chatMessage		
11	flowers_orange_stems_or_thorns	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922374124	listener	flower-stem_color-orange	flower-petals_color-orange	flower-stem_color-orange	white petals and white stem	8164	speaker	52039	chatMessage		
12	fish_orange_bodies_or_fangs_whiskers	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922388564	listener	fish-whiskers_present	fish-body_color-orange	fish-body_color-white	all purple	1689	speaker	4806	chatMessage		
13	flowers_purple_stems_thorns	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922427343	listener	flower-stem_color-purple	flower-petals_color-purple	flower-thorns_present-true	white petals, no thorns on the stem	9767	speaker	31964	chatMessage		
14	fish_orange_bodies_purple_stripes	development	1041-071871fd-8b26-4cb2-852c-264143a8a566	1554922462893	listener	fish-stripes_present	fish-body_color-white	fish-stripes_color-white	all purple with yellow stripes	6827	speaker	24377	chatMessage		
