trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_purple_legs_white_heads_or_orange_wings	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926235095	speaker	bug-bug_wings_color-orange	bug-head_color-white	bug-legs_color-purple	orange antenna and purple head	19356	speaker	37972	chatMessage		
1	flowers_purple_stems_white_petals_or_orange_centers	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926265914	speaker	flower-petals_color-white	flower-center_color-purple	flower-petals_color-purple	white flower purple curly things	17273	speaker	24310	chatMessage		
2	bugs_purple_legs_white_heads	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926293772	speaker	bug-head_color-white	bug-head_color-orange	bug-legs_color-white	orange antenna purple body	12210	speaker	17488	chatMessage		
3	bugs_antennae_or_wings_purple_bodies	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926333067	speaker	bug-body_color-purple	bug-legs_color-white	bug-head_color-orange	orange antenna legs and wings white head	10104	speaker	29540	chatMessage		
4	flowers_purple_centers_or_orange_stems_with_thorns	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926370981	speaker	flower-center_color-purple	flower-stem_color-purple	flower-thorns_present-false	orange flower, white stem with things sticking out of it	10319	speaker	28125	chatMessage		
5	birds_orange_wings_tails	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926393540	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-purple	all orange except one white wing	8780	speaker	13707	chatMessage		
6	birds_orange_crests_or_purple_wings	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926411280	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-orange	white feathers purple body	7111	speaker	11260	chatMessage		
7	fish_white_bodies_orange_stripes_or_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926434288	speaker	fish-stripes_color-orange	fish-body_color-white	fish-whiskers_present-true	purple with no whiskers	8656	speaker	12747	chatMessage		
8	fish_orange_bodies_or_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926444419	speaker	fish-body_color-orange	fish-stripes_color-orange	fish-body_color-purple	white with purple fin	3661	speaker	5303	chatMessage		
9	trees_purple_trunks_or_white_leaves_orange_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926468738	speaker	tree-berries_color-orange	tree-trunk_color-orange	tree-berries_color-orange	pink stem with purple leaves	13219	speaker	18469	chatMessage		
10	fish_white_bodies_orange_stripes_or_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926487845	speaker	fish-body_color-white	fish-whiskers_present-false	fish-stripes_color-white	purple body orange stripes and whiskers	9618	speaker	12063	chatMessage		
11	fish_white_stripes_or_purple_bodies_whiskers	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926514503	speaker	fish-body_color-purple	fish-stripes_color-purple	fish-body_color-orange	orange stripes purple body	7335	speaker	21378	chatMessage		
12	trees_orange_trunks_berries	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926529275	speaker	tree-berries_present	tree-trunk_color-orange	tree-leaves_present-true	white stem and purple leaves	5674	speaker	8982	chatMessage		
13	fish_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926548969	speaker	fish-fangs_present	fish-whiskers_present-true	fish-stripes_color-white	purple body back fin orange and little fin	11641	speaker	13591	chatMessage		
13	fish_fangs	development	8508-d4b41e46-53c1-407a-9a2e-5e1e1a345ba7	1554926574664	speaker	fish-fangs_present	fish-whiskers_present-true	fish-stripes_color-white	whiskers?	1830	listener	39228	chatMessage		
