trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_purple_stems_thorns	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923296211	speaker	flower-stem_color-purple	flower-petals_color-orange	flower-center_color-purple	The center is orange and the leaves are gray	47486	speaker	62645	chatMessage		
1	flowers_thorns_purple_petals_or_orange_stems	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923407321	speaker	flower-stem_color-orange	flower-stem_color-orange	flower-petals_color-orange	the stem is pink and the leaves are gray, pink and white	34838	speaker	40566	chatMessage		
2	birds_orange_wings_tails	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923519771	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-orange	it is NOT the one with the extra feathers, it DOES have all while feathers 	63805	speaker	91594	chatMessage		
3	bugs_purple_legs_white_heads	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923579486	speaker	bug-head_color-white	bug-wings_present-true	bug-head_color-orange	its head is pink, it does NOT have wings, just an orange body	33076	speaker	38225	chatMessage		
4	fish_white_bodies_orange_stripes_or_fangs	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923667070	speaker	fish-body_color-white	fish-stripes_color-purple	fish-stripes_color-orange	it does not have orange stripes or black lines on its body and tail~~~ its body and tail are solid pink	39911	speaker	45075	chatMessage		
5	birds_purple_tails	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923730335	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-bird_wing_color-orange	it has 5 orange feathers on th bottom and a large white feather above them	34517	speaker	41083	chatMessage		
6	trees_orange_trunks_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923777169	speaker	tree-trunk_color-orange	tree-leaves_present-false	tree-berries_color-orange	it has red flowers, but no orange buds	11974	speaker	21818	chatMessage		
7	trees_white_leaves_or_orange_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923822758	speaker	tree-berries_color-orange	tree-trunk_color-orange	tree-berries_color-orange	the stem is pink and the buds are white	8854	speaker	16310	chatMessage		
8	fish_orange_bodies_purple_stripes	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554923963017	speaker	fish-stripes_color-purple	fish-fangs_present-false	fish-body_color-white	it is one of the orange fish, but they look exactly the same to me~~~ if one looks a bit larger, try that one!	48503	speaker	113231	chatMessage		
9	trees_orange_berries_purple_trunks_or_white_leaves	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924009572	speaker	tree-trunk_color-purple	tree-trunk_color-orange	tree-leaves_present-true	it has a red stem, pink leaves and blue buds	17625	speaker	24396	chatMessage		
10	trees_purple_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924041467	speaker	tree-berries_color-purple	tree-berries_present-false	tree-trunk_color-white	it has a red stem, and pink buds	13287	speaker	16930	chatMessage		
11	fish_fangs	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924125562	speaker	fish-fangs_present	fish-whiskers_present-false	fish-stripes_present-false	it has striped body and tail and lines coming from its face	47206	speaker	58943	chatMessage		
12	flowers_purple_centers_or_orange_stems_with_thorns	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924174144	speaker	flower-center_color-purple	flower-thorns_present-true	flower-petals_color-purple	it is an orange flower but does NOT have thorns	17351	speaker	21401	chatMessage		
13	flowers_thorns_purple_petals_or_orange_stems	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924211770	speaker	flower-petals_color-purple	flower-stem_color-purple	flower-petals_color-orange	it has an orange stem, and pink flower	22815	speaker	26902	chatMessage		
14	fish_white_stripes_or_whiskers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924248472	speaker	fish-stripes_present	fish-body_color-white	fish-stripes_color-white	orange body, pink stripes	12727	speaker	20783	chatMessage		
15	flowers_thorns_purple_petals_or_orange_stems	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924298783	speaker	flower-thorns_present	flower-center_color-white	flower-stem_color-orange	white stem, flower ALL orange	28030	speaker	30641	chatMessage		
16	birds_orange_tails_or_white_wings_orange_crests	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924366616	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-crest_tail_color-white	has 1 pink feather but no other feathers	29852	speaker	35950	chatMessage		
17	flowers_purple_stems_or_thorns_white_centers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924391614	speaker	flower-center_color-white	flower-stem_color-orange	flower-petals_color-purple	white stem, orange flower	13464	speaker	16821	chatMessage		
18	fish_whiskers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924413334	speaker	fish-whiskers_present	fish-stripes_color-purple	fish-body_color-orange	white fish, no stripes	9926	speaker	12394	chatMessage		
19	trees_purple_leaves_berries	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924445047	speaker	tree-leaves_color-purple	tree-leaves_color-white	tree-berries_color-orange	red flowers, pink buds	10543	speaker	12856	chatMessage		
20	birds_purple_wings_white_crests_or_white_tails	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924492069	speaker	bird-crest_present	bird-crest_tail_color-orange	bird-crest_tail_color-white	has 1 orange feather, but no other feathers	18999	speaker	34645	chatMessage		
21	bugs_purple_legs_white_heads_or_orange_wings	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924541886	speaker	bug-bug_wings_color-orange	bug-body_color-purple	bug-wings_present-true	orange wings, white underneath	38072	speaker	41246	chatMessage		
22	bugs_orange_antennae_or_wings	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924605628	speaker	bug-antennae_color-orange	bug-legs_color-white	bug-antennae_present-true	pink arms, no antenna on head	49696	speaker	54871	chatMessage		
23	flowers_purple_stems_white_petals_or_orange_centers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924635267	speaker	flower-center_color-orange	flower-center_color-white	flower-petals_color-white	purple flower, purple center	16158	speaker	22246	chatMessage		
24	birds_tails	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924662836	speaker	bird-tail_present	bird-bird_wing_color-white	bird-crest_tail_color-orange	1 orange feather and lots of pink feathers	10636	speaker	17733	chatMessage		
25	flowers_purple_stems_white_petals_or_orange_centers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924688603	speaker	flower-petals_color-white	flower-petals_color-purple	flower-stem_color-purple	white stem, orange flower	8687	speaker	12705	chatMessage		
26	flowers_orange_petals_purple_centers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924713885	speaker	flower-petals_color-orange	flower-center_color-white	flower-stem_color-orange	all purple 	11302	speaker	17153	chatMessage		
27	birds_orange_tails_or_white_wings_orange_crests	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924750660	speaker	bird-crest_tail_color-orange	bird-bird_wing_color-orange	bird-tail_present-false	1 white feather, pink feathers below	25062	speaker	30237	chatMessage		
28	bugs_white_legs_purple_wings_or_orange_antennae	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924779915	speaker	bug-legs_color-white	bug-body_color-purple	bug-antennae_present-false	orange body, has antenna	13446	speaker	23763	chatMessage		
29	bugs_without_wings	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924805337	speaker	bug-wings_present	bug-bug_wings_color-purple	bug-legs_color-purple	orange wings, white legs	13759	speaker	18869	chatMessage		
30	trees_orange_trunks_or_berries_white_leaves	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924823498	speaker	tree-leaves_color-white	tree-leaves_present-false	tree-berries_color-purple	pink flowers, red buds	6628	speaker	11153	chatMessage		
31	bugs_purple_legs_white_heads	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924844027	speaker	bug-legs_color-purple	bug-legs_color-white	bug-head_color-white	pink head, pink legs	9110	speaker	14182	chatMessage		
32	bugs_antennae_or_wings_purple_bodies	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924870051	speaker	bug-body_color-purple	bug-antennae_present-false	bug-wings_present-false	has wings and atenna	11326	speaker	16689	chatMessage		
33	fish_white_stripes_or_whiskers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924891713	speaker	fish-stripes_color-white	fish-stripes_color-purple	fish-stripes_present-true	white stripes	8056	speaker	10624	chatMessage		
34	fish_white_stripes_or_purple_bodies_whiskers	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924911713	speaker	fish-body_color-purple	fish-stripes_color-orange	fish-body_color-white	orange fish, pink stripes	7087	speaker	13112	chatMessage		
35	trees_without_leaves	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924928802	speaker	tree-leaves_present	tree-berries_color-purple	tree-trunk_color-orange	blue stem, orange buds	6312	speaker	9362	chatMessage		
36	bugs_wings_antennae	development	0471-0daa9ba2-291d-493c-b867-ccc7fbd2a50b	1554924960188	speaker	bug-antennae_present	bug-antennae_present-false	bug-legs_color-white	antenna, pink legs	11746	speaker	18849	chatMessage		
