trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_purple_leaves_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927699240	listener	tree-leaves_color-purple	tree-trunk_color-white	tree-berries_color-orange	hi	1485	speaker	14702	chatMessage		
0	trees_purple_leaves_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927704281	listener	tree-leaves_color-purple	tree-trunk_color-white	tree-berries_color-orange	hello	1441	listener	20225	chatMessage		
0	trees_purple_leaves_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927735152	listener	tree-leaves_color-purple	tree-trunk_color-white	tree-berries_color-orange	there is a tree with green and purple and orange	34746	speaker	50547	chatMessage		
0	trees_purple_leaves_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927750079	listener	tree-leaves_color-purple	tree-trunk_color-white	tree-berries_color-orange	more pink	3492	speaker	65555	chatMessage		
1	trees_orange_berries_purple_trunks_or_white_leaves	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927774801	listener	tree-trunk_color-purple	tree-leaves_present-false	tree-leaves_color-purple	green and white tree	5797	speaker	22567	chatMessage		
2	flowers_thorns	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927794590	listener	flower-thorns_present	flower-petals_color-purple	flower-stem_color-purple	a ll orange flower	6487	speaker	13210	chatMessage		
2	flowers_thorns	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927799232	listener	flower-thorns_present	flower-petals_color-purple	flower-stem_color-purple	all	1326	speaker	17890	chatMessage		
2	flowers_thorns	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927815647	listener	flower-thorns_present	flower-petals_color-purple	flower-stem_color-purple	orange trunk?	10779	listener	34521	chatMessage		
2	flowers_thorns	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927823073	listener	flower-thorns_present	flower-petals_color-purple	flower-stem_color-purple	yes	1781	speaker	41718	chatMessage		
3	trees_white_leaves_or_orange_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927869168	listener	tree-berries_color-orange	tree-berries_present-true	tree-leaves_present-true	tree with blue and orange and no leafs	34829	speaker	39877	chatMessage		
4	fish_orange_bodies_purple_stripes	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927903360	listener	fish-stripes_present	fish-stripes_color-orange	fish-stripes_color-white	simple fish with no model on it or color	14649	speaker	26301	chatMessage		
5	bugs_purple_legs_white_heads_or_orange_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927981109	listener	bug-bug_wings_color-orange	bug-body_color-purple	bug-legs_color-white	all purple except the whiskers are pink	59426	speaker	68944	chatMessage		
6	fish_white_stripes_or_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928023991	listener	fish-stripes_color-white	fish-stripes_color-purple	fish-fangs_present-true	no teeth with model and orange	20151	speaker	34831	chatMessage		
6	fish_white_stripes_or_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928038522	listener	fish-stripes_color-white	fish-stripes_color-purple	fish-fangs_present-true	white or purple stripes?	5144	listener	49627	chatMessage		
6	fish_white_stripes_or_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928048312	listener	fish-stripes_color-white	fish-stripes_color-purple	fish-fangs_present-true	white	2705	speaker	59213	chatMessage		
7	birds_orange_tails_or_white_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928071431	listener	bird-bird_wing_color-white	bird-bird_wing_color-purple	bird-tail_present-true	orange and yellow	8920	speaker	17890	chatMessage		
7	birds_orange_tails_or_white_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928084192	listener	bird-bird_wing_color-white	bird-bird_wing_color-purple	bird-tail_present-true	all the feathers orange	7850	speaker	30657	chatMessage		
8	trees_leaves_berries_or_orange_trunks	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928106968	listener	tree-trunk_color-orange	tree-leaves_color-white	tree-leaves_color-purple	blue green and white	9456	speaker	15156	chatMessage		
9	birds_purple_crests_purple_tails_or_orange_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928140949	listener	bird-tail_present	bird-bird_wing_color-white	bird-bird_wing_color-purple	all orange and little yellow	18439	speaker	26440	chatMessage		
10	bugs_purple_legs_white_heads	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928175823	listener	bug-head_color-white	bug-bug_wings_color-orange	bug-antennae_present-false	white orange and pink, the wings are white	20430	speaker	27061	chatMessage		
11	fish_orange_bodies_or_fangs_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928203406	listener	fish-body_color-orange	fish-stripes_color-white	fish-stripes_color-orange	all pink, with pink stripes	11634	speaker	18801	chatMessage		
12	flowers_orange_stems	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928273827	listener	flower-stem_color-orange	flower-center_color-orange	flower-petals_color-purple	the inside of the flower  has the middle white and the petals with grey white and round orange	41071	speaker	63124	chatMessage		
13	flowers_purple_centers_or_orange_stems_with_thorns	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928338591	listener	flower-center_color-purple	flower-stem_color-purple	flower-center_color-white	has pink on the petals and the middle is orange, the rest is all white	31502	speaker	47708	chatMessage		
14	flowers_purple_stems_white_petals_or_orange_centers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928396761	listener	flower-center_color-orange	flower-petals_color-white	flower-stem_color-purple	white stem, purple petal	12152	speaker	45368	chatMessage		
15	flowers_purple_stems_white_petals_or_orange_centers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928431096	listener	flower-petals_color-white	flower-thorns_present-true	flower-center_color-white	no thorns, the middle of the flower is pink	19903	speaker	25671	chatMessage		
16	trees_leaves_berries_or_orange_trunks	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928447721	listener	tree-berries_present	tree-leaves_present-false	tree-leaves_color-purple	orange leafs	5060	speaker	9418	chatMessage		
17	birds_purple_crests_purple_tails_or_orange_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928468012	listener	bird-crest_tail_color-purple	bird-crest_tail_color-purple	bird-crest_present-false	orange feathers	5862	speaker	13570	chatMessage		
18	trees_without_leaves	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928484587	listener	tree-leaves_present	tree-leaves_color-white	tree-leaves_color-purple	orange leafs	5924	speaker	10938	chatMessage		
19	flowers_thorns_purple_petals_or_orange_stems	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928508808	listener	flower-petals_color-purple	flower-center_color-white	flower-center_color-purple	orange stem, orange middle	10474	speaker	18550	chatMessage		
20	bugs_white_legs_purple_wings_or_orange_antennae	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928561028	listener	bug-legs_color-white	bug-head_color-orange	bug-antennae_present-false	head and tail is pink, the rest is orange, has whiskers	29430	speaker	43935	chatMessage		
21	flowers_purple_stems_or_thorns_white_centers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928599717	listener	flower-center_color-white	flower-petals_color-orange	flower-center_color-white	pink and purple petals, middle pink	19355	speaker	28852	chatMessage		
22	fish_orange_bodies_purple_stripes	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928632347	listener	fish-stripes_color-purple	fish-body_color-orange	fish-whiskers_present-true	purple stripes, no whiskers, all white	20524	speaker	25182	chatMessage		
23	birds_purple_crests_purple_tails_or_orange_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928651534	listener	bird-bird_wing_color-orange	bird-bird_wing_color-white	bird-tail_present-true	has no white	4219	speaker	10499	chatMessage		
24	trees_purple_berries_or_white_trunks	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928685790	listener	tree-trunk_color-white	tree-berries_color-orange	tree-trunk_color-white	green stem and dots, and blue leafs	16746	speaker	27532	chatMessage		
25	birds_orange_tails_or_white_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928729670	listener	bird-crest_tail_color-orange	bird-crest_tail_color-purple	bird-bird_wing_color-orange	white wing, the rest of the feathers are orange	17647	speaker	27036	chatMessage		
26	flowers_purple_stems_thorns	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928757970	listener	flower-stem_color-purple	flower-petals_color-white	flower-stem_color-orange	pink steam , orange petals	13450	speaker	20419	chatMessage		
27	trees_white_leaves_or_orange_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928782852	listener	tree-leaves_color-white	tree-trunk_color-orange	tree-berries_color-purple	pink, white, green	10033	speaker	17895	chatMessage		
28	fish_orange_bodies_or_fangs_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928805192	listener	fish-fangs_present	fish-fangs_present-false	fish-stripes_color-orange	all white, no teeth	9366	speaker	12278	chatMessage		
29	fish_orange_bodies_or_fangs_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928827446	listener	fish-whiskers_present	fish-stripes_color-white	fish-stripes_color-orange	pink stripes	6487	speaker	16142	chatMessage		
30	fish_white_stripes_or_purple_bodies_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928844933	listener	fish-body_color-purple	fish-stripes_color-purple	fish-body_color-purple	white and orange	6500	speaker	11728	chatMessage		
