trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_orange_trunks_berries	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928197594	speaker	tree-trunk_color-orange	tree-berries_color-orange	tree-berries_color-purple	The one with white dots	7723	speaker	29055	chatMessage		
1	birds_purple_wings_crests	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928230182	speaker	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-crest_present-true	the one with orange hair, all of it	17925	speaker	26892	chatMessage		
2	flowers_purple_stems_white_petals_or_orange_centers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928276962	speaker	flower-petals_color-white	flower-petals_color-white	flower-center_color-purple	the one with white dot in the middle and purple around	29715	speaker	38864	chatMessage		
3	birds_white_crests_or_orange_wings_tails	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928298917	speaker	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-tail_present-true	The one with only orange piece of hair	8221	speaker	11109	chatMessage		
3	birds_white_crests_or_orange_wings_tails	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928320656	speaker	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-tail_present-true	with one piece of orange hair?	8782	listener	32833	chatMessage		
3	birds_white_crests_or_orange_wings_tails	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928355709	speaker	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-tail_present-true	it's the one with no tail and one piece of orange hair	17740	speaker	67900	chatMessage		
4	fish_white_stripes_or_purple_bodies_whiskers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928400004	speaker	fish-body_color-purple	fish-stripes_color-purple	fish-fangs_present-true	only one purple fin and no white fang	17697	speaker	35365	chatMessage		
5	bugs_purple_wings_or_white_legs	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928433809	speaker	bug-bug_wings_color-purple	bug-legs_color-white	bug-body_color-purple	white body with purple legs	10468	speaker	23091	chatMessage		
6	flowers_purple_stems_or_thorns_white_centers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928460648	speaker	flower-center_color-white	flower-center_color-orange	flower-stem_color-purple	white middle and white stem	12282	speaker	16670	chatMessage		
7	flowers_purple_stems_white_petals_or_orange_centers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928479859	speaker	flower-center_color-orange	flower-center_color-purple	flower-stem_color-purple	white middle and white stem	4984	speaker	10051	chatMessage		
8	flowers_purple_stems_thorns	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928505604	speaker	flower-stem_color-purple	flower-stem_color-orange	flower-thorns_present-true	white stem and no thorns	10875	speaker	17036	chatMessage		
