trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_antennae_or_wings_purple_bodies	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932684593	listener	bug-body_color-purple	bug-head_color-orange	bug-bug_wings_color-purple	1	2029	speaker	9569	chatMessage		
1	flowers_purple_stems_white_petals_or_orange_centers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932732759	listener	flower-center_color-orange	flower-petals_color-white	flower-center_color-white	full purple flower	35466	speaker	42281	chatMessage		
2	bugs_orange_antennae_or_wings	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932756749	listener	bug-antennae_color-orange	bug-legs_color-white	bug-bug_wings_color-orange	Head yellow and body full pink	11147	speaker	17634	chatMessage		
3	trees_orange_trunks_or_berries_white_leaves	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932789428	listener	tree-leaves_present	tree-trunk_color-orange	tree-berries_color-purple	stem pink, fruit green	16612	speaker	23964	chatMessage		
4	birds_purple_tails	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932853505	listener	bird-crest_tail_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-purple	head body full pink w/o head feathers, 	45505	speaker	56491	chatMessage		
5	bugs_white_heads_or_orange_antennae_purple_legs	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932918970	listener	bug-head_color-white	bug-legs_color-white	bug-wings_present-false	with wings, full pink body	35715	speaker	51416	chatMessage		
6	bugs_orange_head	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554932969166	listener	bug-head_color-orange	bug-legs_color-white	bug-bug_wings_color-purple	w/o wings, head , legs yellow	34725	speaker	40444	chatMessage		
7	birds_orange_crests_or_purple_wings	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933027802	listener	bird-crest_present	bird-tail_present-false	bird-crest_present-false	bird with head and tail feathers	37200	speaker	47935	chatMessage		
8	fish_orange_bodies_purple_stripes_or_whiskers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933055202	listener	fish-stripes_color-purple	fish-body_color-purple	fish-stripes_color-purple	plain white body	9729	speaker	19177	chatMessage		
9	bugs_wings_antennae	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933097064	listener	bug-antennae_present	bug-antennae_color-orange	bug-legs_color-white	full pink body w/o mouth strings	17770	speaker	36010	chatMessage		
10	flowers_orange_petals_purple_centers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933140675	listener	flower-petals_color-orange	flower-petals_color-white	flower-stem_color-purple	colored whole picture	14354	speaker	30951	chatMessage		
11	trees_orange_trunks_or_berries_white_leaves	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933162502	listener	tree-trunk_color-orange	tree-trunk_color-purple	tree-berries_color-purple	red stem, red fruit	6553	speaker	14777	chatMessage		
12	trees_purple_leaves_berries	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933192710	listener	tree-leaves_color-purple	tree-berries_color-purple	tree-berries_present-false	blue friut, blue leaf	9925	speaker	23284	chatMessage		
13	fish_white_stripes_whiskers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933219525	listener	fish-stripes_color-white	fish-stripes_present-false	fish-body_color-purple	white body with purple stripes	10545	speaker	20232	chatMessage		
14	bugs_purple_wings_or_white_legs	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933247767	listener	bug-bug_wings_color-purple	bug-legs_color-purple	bug-wings_present-true	yellow body with white wings	9796	speaker	20954	chatMessage		
15	trees_orange_trunks_or_berries_white_leaves	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933282675	listener	tree-leaves_color-white	tree-leaves_color-purple	tree-trunk_color-purple	white stem, green fruit, red leaf	13773	speaker	24337	chatMessage		
16	flowers_purple_stems_white_petals_or_orange_centers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933315374	listener	flower-petals_color-white	flower-petals_color-orange	flower-thorns_present-false	purple flower with thorns	12418	speaker	24412	chatMessage		
17	birds_orange_crests_or_purple_wings	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933356687	listener	bird-crest_tail_color-orange	bird-bird_wing_color-purple	bird-crest_tail_color-white	w/o tail feather, body feather in white	22784	speaker	34071	chatMessage		
18	bugs_white_heads_or_orange_antennae_purple_legs	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933386527	listener	bug-legs_color-purple	bug-bug_wings_color-purple	bug-body_color-purple	white body, legs and wings yellow	14763	speaker	22722	chatMessage		
19	birds_white_crests_or_orange_wings_tails	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933416468	listener	bird-crest_tail_color-white	bird-crest_tail_color-orange	bird-bird_wing_color-purple	full pink with one feather orange	12568	speaker	20320	chatMessage		
20	bugs_without_wings	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933464135	listener	bug-wings_present	bug-bug_wings_color-orange	bug-antennae_color-orange	pink body, pink mouth strings, white feather	28996	speaker	40401	chatMessage		
21	flowers_purple_stems_or_thorns_white_centers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933507941	listener	flower-center_color-white	flower-center_color-orange	flower-petals_color-purple	center round purple, white white pedals	18655	speaker	31644	chatMessage		
22	birds_orange_tails_or_white_wings_orange_crests	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933563190	listener	bird-bird_wing_color-white	bird-bird_wing_color-purple	bird-crest_tail_color-purple	w/o tail, full white head tail	37878	speaker	42060	chatMessage		
23	fish_whiskers	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933594915	listener	fish-whiskers_present	fish-stripes_present-false	fish-stripes_color-orange	full white with black stripes	13034	speaker	19208	chatMessage		
24	flowers_thorns	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933643714	listener	flower-thorns_present	flower-petals_color-purple	flower-thorns_present-false	with thorns, white petals	23852	speaker	39534	chatMessage		
25	flowers_purple_petals_or_thorns	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933686061	listener	flower-petals_color-purple	flower-petals_color-white	flower-petals_color-purple	full yellow flower	5542	speaker	35713	chatMessage		
26	trees_orange_berries_purple_trunks_or_white_leaves	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933712989	listener	tree-trunk_color-purple	tree-leaves_color-white	tree-berries_present-false	pink stem, fruit, green leaf	11061	speaker	20328	chatMessage		
27	fish_white_bodies_orange_stripes_or_fangs	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933732279	listener	fish-body_color-white	fish-stripes_present-false	fish-stripes_color-white	pink with yellow stripes	7859	speaker	12075	chatMessage		
28	trees_purple_berries	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933750364	listener	tree-berries_color-purple	tree-berries_present-false	tree-berries_color-orange	pink fruit	4793	speaker	10592	chatMessage		
29	trees_purple_berries_or_white_trunks	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933767894	listener	tree-trunk_color-white	tree-leaves_color-white	tree-leaves_color-purple	dry tree	3497	speaker	10317	chatMessage		
30	trees_orange_trunks_or_berries_white_leaves	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933791829	listener	tree-berries_present	tree-leaves_color-white	tree-trunk_color-purple	yellow stem, pink fruit, green leaf	12638	speaker	18496	chatMessage		
31	flowers_purple_stems_thorns	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933849981	listener	flower-stem_color-purple	flower-center_color-orange	flower-stem_color-purple	flower round pink, yellow stem, flower	40054	speaker	50082	chatMessage		
32	flowers_purple_centers_or_orange_stems_with_thorns	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933884258	listener	flower-center_color-purple	flower-stem_color-orange	flower-center_color-white	pink stem, pink center round	14280	speaker	20401	chatMessage		
33	birds_orange_wings_tails	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933911809	listener	bird-bird_wing_color-orange	bird-crest_tail_color-purple	bird-tail_present-true	w/o tail	8081	speaker	20125	chatMessage		
34	trees_white_leaves_or_orange_berries	development	3903-1e8d45c5-bbff-4b7d-a48c-7b025522f2c3	1554933930527	listener	tree-berries_color-orange	tree-berries_color-orange	tree-trunk_color-orange	white stem, fruit	5806	speaker	13502	chatMessage		
