trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	flowers_purple_stems_white_petals_or_orange_centers	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914815245	listener	flower-center_color-orange	flower-center_color-orange	flower-thorns_present-true	It is a flower with a white circle in middle without thorns	23634	speaker	33606	chatMessage		
1	flowers_thorns	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914846545	listener	flower-thorns_present	flower-center_color-orange	flower-petals_color-orange	White circle, purple flower	14814	speaker	21684	chatMessage		
2	fish_orange_bodies_purple_stripes	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914871553	listener	fish-stripes_color-purple	fish-body_color-purple	fish-stripes_color-white	orange with pinkish stripes	9771	speaker	16494	chatMessage		
3	flowers_purple_stems_white_petals_or_orange_centers	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914895709	listener	flower-petals_color-white	flower-stem_color-purple	flower-thorns_present-false	white stem with thorns	4782	speaker	9027	chatMessage		
4	birds_orange_wings_tails	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914921133	listener	bird-bird_wing_color-orange	bird-bird_wing_color-orange	bird-crest_tail_color-purple	mostly orange with one pinkish wing	10825	speaker	18553	chatMessage		
5	bugs_orange_antennae_or_wings	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914939348	listener	bug-antennae_color-orange	bug-head_color-orange	bug-legs_color-white	white head pink legs	4823	speaker	12515	chatMessage		
6	fish_fangs	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914958012	listener	fish-fangs_present	fish-stripes_color-white	fish-stripes_color-purple	orange stripes	6214	speaker	9281	chatMessage		
7	trees_orange_trunks_berries	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554914996433	listener	tree-trunk_color-orange	tree-trunk_color-white	tree-leaves_color-white	green stem and circles with pink flowers	18317	speaker	27442	chatMessage		
8	flowers_purple_stems_thorns	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915028415	listener	flower-stem_color-purple	flower-petals_color-purple	flower-petals_color-orange	mostly white flower	7471	speaker	21022	chatMessage		
9	flowers_orange_stems	development	5526-0f393756-8a27-471e-bf0e-94b3b1dac91b	1554915054186	listener	flower-stem_color-orange	flower-stem_color-purple	flower-center_color-orange	white inside, white stem 	7101	speaker	20132	chatMessage		
