trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_purple_berries_or_white_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015096770	listener	tree-trunk_color-white	tree-berries_present-false	tree-berries_color-orange	there are red leaves with swirly branches that have white berries on them 	20532	speaker	32116	chatMessage		
0	trees_purple_berries_or_white_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015121909	listener	tree-trunk_color-white	tree-berries_present-false	tree-berries_color-orange	none have white berries	13493	listener	57232	chatMessage		
0	trees_purple_berries_or_white_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015150238	listener	tree-trunk_color-white	tree-berries_present-false	tree-berries_color-orange	what do you see then 	9365	speaker	85585	chatMessage		
0	trees_purple_berries_or_white_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015174650	listener	tree-trunk_color-white	tree-berries_present-false	tree-berries_color-orange	no berries, pink berries, orange berries	20038	listener	109975	chatMessage		
0	trees_purple_berries_or_white_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015228756	listener	tree-trunk_color-white	tree-berries_present-false	tree-berries_color-orange	the light pink berries sounds right 	7891	speaker	164103	chatMessage		
1	trees_leaves_berries_or_orange_trunks	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015255464	listener	tree-berries_present	tree-berries_color-purple	tree-leaves_color-white	do you have one with blue leaves and orange berries 	10502	speaker	19390	chatMessage		
2	birds_purple_wings_crests	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015309672	listener	bird-bird_wing_color-purple	bird-crest_present-true	bird-crest_tail_color-purple	This bird had light colored feathers around its head they maybe white or yellow	35163	speaker	43685	chatMessage		
3	flowers_purple_centers_or_orange_stems_with_thorns	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015405495	listener	flower-center_color-purple	flower-thorns_present-false	flower-center_color-purple	this one is hard for me to tell the difference,  there are two with spikes on the stem~~~ This one appears to have a white center 	46733	speaker	60822	chatMessage		
4	birds_orange_tails_or_white_wings	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015441351	listener	bird-crest_tail_color-orange	bird-crest_tail_color-purple	bird-crest_tail_color-orange	this is the plainest looking bird no head or tail feathers	17510	speaker	24336	chatMessage		
5	bugs_white_heads_or_orange_antennae_purple_legs	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015484232	listener	bug-legs_color-purple	bug-antennae_present-false	bug-legs_color-purple	there are two that look alike but this one has the antenna and all white legs	21157	speaker	32103	chatMessage		
6	fish_white_stripes_or_purple_bodies_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015506740	listener	fish-body_color-purple	fish-whiskers_present-false	fish-stripes_color-orange	all white fish with whiskers 	6324	speaker	11228	chatMessage		
6	fish_white_stripes_or_purple_bodies_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015540004	listener	fish-body_color-purple	fish-whiskers_present-false	fish-stripes_color-orange	if you type faster, we can get a higher bonus	27095	listener	44468	chatMessage		
7	trees_without_leaves	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015561342	listener	tree-leaves_present	tree-trunk_color-orange	tree-leaves_color-purple	pink leaves and white berries 	9254	speaker	17508	chatMessage		
8	trees_purple_leaves_berries	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015596024	listener	tree-leaves_color-purple	tree-berries_color-orange	tree-trunk_color-white	pink leaves and pink berries with pink trunk 	17555	speaker	28175	chatMessage		
8	trees_purple_leaves_berries	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015626908	listener	tree-leaves_color-purple	tree-berries_color-orange	tree-trunk_color-white	no pink berries	17038	listener	59044	chatMessage		
8	trees_purple_leaves_berries	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015634058	listener	tree-leaves_color-purple	tree-berries_color-orange	tree-trunk_color-white	red?	1356	speaker	66209	chatMessage		
9	trees_orange_trunks_or_berries_white_leaves	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015654945	listener	tree-leaves_color-white	tree-berries_color-orange	tree-leaves_present-false	white leaves, blue berries, green trunk	11787	speaker	14677	chatMessage		
10	flowers_purple_stems_or_thorns_white_centers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015693457	listener	flower-center_color-white	flower-thorns_present-true	flower-petals_color-white	all yellow center, and smooth stem no spikes 	15882	speaker	18505	chatMessage		
11	fish_white_stripes_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015744928	listener	fish-stripes_color-white	fish-stripes_color-orange	fish-whiskers_present-false	pink body fish, yellow top fin, whiskers	14437	speaker	24390	chatMessage		
11	fish_white_stripes_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015749936	listener	fish-stripes_color-white	fish-stripes_color-orange	fish-whiskers_present-false	no stripes	2898	speaker	29398	chatMessage		
12	fish_white_bodies_orange_stripes_or_fangs	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015789038	listener	fish-body_color-white	fish-body_color-white	fish-fangs_present-false	pink body white stripes and fin with a long tooth 	13504	speaker	21968	chatMessage		
13	flowers_orange_stems	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015823779	listener	flower-stem_color-orange	flower-petals_color-purple	flower-center_color-orange	white  center of flower with white and grey leaves 	19448	speaker	22588	chatMessage		
14	fish_orange_bodies_purple_stripes_or_whiskers	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015848961	listener	fish-stripes_color-purple	fish-body_color-orange	fish-fangs_present-false	white fish wih yellow stripes and whiskers	13114	speaker	16230	chatMessage		
15	trees_orange_berries_purple_trunks_or_white_leaves	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015882537	listener	tree-trunk_color-purple	tree-leaves_present-true	tree-trunk_color-purple	yellow leaves wth green berries and blue trunk	12112	speaker	17337	chatMessage		
16	bugs_orange_antennae_or_wings	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015934308	listener	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-head_color-orange	all pink body and head 	18358	speaker	37419	chatMessage		
16	bugs_orange_antennae_or_wings	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015943445	listener	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-head_color-orange	with yellow antenna	5126	speaker	46558	chatMessage		
16	bugs_orange_antennae_or_wings	development	7486-aed91ad8-4569-4b6f-974a-f9343bfec8dd	1555015977246	listener	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-head_color-orange	when this is done, calibrate the colors of your monitor	21823	listener	80350	chatMessage		
