trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	birds_orange_tails_or_white_wings_orange_crests	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-crest_present-true	purple arm no headress	17669	speaker	33881	chatMessage	I	E
1	flowers_purple_stems_white_petals_or_orange_centers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	flower-center_color-orange	flower-center_color-white	flower-center_color-orange	pur dot   	14328	speaker	25284	chatMessage	I	E
2	birds_orange_tails_or_white_wings_orange_crests	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bird-crest_present	bird-crest_tail_color-purple	bird-bird_wing_color-white	pur arm-no feet feathers	14319	speaker	28154	chatMessage	I	E
3	bugs_white_legs_purple_wings_or_orange_antennae	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-legs_color-white	bug-wings_present-true	bug-body_color-purple	pur wings-white neck	19057	speaker	26005	chatMessage	I	E
4	flowers_purple_petals_or_thorns	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	flower-petals_color-purple	flower-petals_color-purple	flower-stem_color-orange	grey flowers-white stem	15171	speaker	27859	chatMessage	I	E
5	fish_white_stripes_or_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-stripes_color-white	fish-body_color-white	fish-stripes_present-true	orange-purple	11680	speaker	17609	chatMessage	I	E
6	bugs_purple_legs_white_heads_or_orange_wings	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-bug_wings_color-orange	bug-head_color-white	bug-antennae_present-false	feelers-pur face	14362	speaker	36046	chatMessage	I	E
7	flowers_purple_stems_or_thorns_white_centers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	flower-center_color-white	flower-petals_color-white	flower-petals_color-orange	purple and lavender flowers	11644	speaker	36678	chatMessage	I	L
8	trees_orange_trunks_or_berries_white_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	tree-trunk_color-orange	tree-berries_color-purple	tree-berries_color-orange	pur-green	4189	speaker	14425	chatMessage	I	E
9	trees_orange_berries_purple_trunks_or_white_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	tree-berries_color-orange	tree-berries_present-false	tree-leaves_color-purple	green only	6329	speaker	24691	chatMessage	I	E
10	trees_without_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	tree-leaves_present	tree-trunk_color-orange	tree-trunk_color-purple	white branch	9407	speaker	19299	chatMessage	I	E
11	bugs_purple_legs_white_heads	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-legs_color-purple	bug-antennae_present-false	bug-legs_color-white	feelers-or legs	9695	speaker	19227	chatMessage	I	E
12	fish_orange_bodies_purple_stripes_or_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-stripes_color-purple	fish-body_color-orange	fish-whiskers_present-true	white-no whiskers	7011	speaker	15211	chatMessage	I	E
13	bugs_orange_antennae_or_wings	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-bug_wings_color-purple	white wings	5143	speaker	9735	chatMessage	I	E
14	flowers_orange_stems	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	flower-stem_color-orange	flower-stem_color-orange	flower-stem_color-purple	white stem	3349	speaker	11423	chatMessage	I	E
15	bugs_wings_antennae	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-antennae_present	bug-legs_color-purple	bug-legs_color-white	orge legs	7340	speaker	13841	chatMessage	I	E
16	fish_orange_bodies_or_fangs_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-fangs_present	fish-stripes_color-white	fish-stripes_color-orange	white-plain tail	9017	speaker	37222	chatMessage	I	E
17	fish_white_stripes_or_purple_bodies_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-body_color-purple	fish-stripes_color-white	fish-stripes_color-purple	no stripes	5113	speaker	13735	chatMessage	I	E
18	fish_orange_bodies_or_fangs_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-body_color-orange	fish-stripes_present-false	fish-stripes_color-purple	blk and white stripes	9674	speaker	18210	chatMessage	I	L
19	birds_orange_tails_or_white_wings_orange_crests	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bird-crest_tail_color-orange	bird-crest_tail_color-white	bird-bird_wing_color-purple	or headress-or arm	23666	speaker	39999	chatMessage	I	E
20	trees_purple_berries_or_white_trunks	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	tree-trunk_color-white	tree-trunk_color-orange	tree-berries_color-purple	wh stem- green only	11781	speaker	20591	chatMessage	I	E
21	birds_white_crests_or_orange_wings_tails	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bird-crest_tail_color-white	bird-crest_tail_color-orange	bird-crest_present-true	all orge-no tail feathers	19576	speaker	27042	chatMessage	I	E
22	bugs_without_wings	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-wings_present	bug-legs_color-white	bug-bug_wings_color-orange	or body pur legs no wings	17053	speaker	26558	chatMessage	I	E
23	fish_white_stripes_or_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-stripes_present	fish-stripes_present-true	fish-body_color-orange	white-no stripes	6671	speaker	11795	chatMessage	I	E
24	flowers_purple_stems_thorns	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	flower-stem_color-purple	flower-thorns_present-false	flower-stem_color-purple	or stem with spikey things	10889	speaker	27169	chatMessage	I	E
25	trees_purple_berries	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	tree-berries_color-purple	tree-berries_color-purple	tree-trunk_color-white	blue stem with red and white	12004	speaker	22822	chatMessage	I	E
26	fish_white_bodies_orange_stripes_or_fangs	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-stripes_color-orange	fish-stripes_color-orange	fish-body_color-orange	pur-no strip	6604	speaker	11770	chatMessage	I	E
27	birds_purple_tails	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-purple	bird-tail_present-true	white tail F	6603	speaker	16280	chatMessage	I	E
28	flowers_thorns	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	flower-thorns_present	flower-stem_color-orange	flower-thorns_present-false	white stem with spikey things	14348	speaker	20047	chatMessage	I	E
29	fish_orange_bodies_or_fangs_whiskers	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-whiskers_present	fish-body_color-purple	fish-stripes_present-false	or with ur stripes	9494	speaker	19469	chatMessage	I	E
30	trees_orange_trunks_or_berries_white_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	tree-berries_present	tree-berries_color-purple	tree-berries_color-orange	red and white	3854	speaker	10217	chatMessage	I	E
31	birds_purple_wings_crests	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bird-bird_wing_color-purple	bird-crest_tail_color-orange	bird-bird_wing_color-white	no feathers or arm	10649	speaker	19148	chatMessage	I	L
32	bugs_antennae_or_wings_purple_bodies	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-body_color-purple	bug-legs_color-white	bug-wings_present-false	wh wings-pur legs	12062	speaker	18880	chatMessage	I	E
33	fish_white_bodies_orange_stripes_or_fangs	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	fish-body_color-white	fish-stripes_color-orange	fish-body_color-orange	wh with pur stripes	12666	speaker	18626	chatMessage	I	E
34	trees_orange_berries_purple_trunks_or_white_leaves	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	tree-trunk_color-purple	tree-berries_present-true	tree-leaves_present-true	blue and pur	5188	speaker	10143	chatMessage	I	E
35	birds_tails	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bird-tail_present	bird-bird_wing_color-orange	bird-tail_present-false	pur tail fea-white arm	18871	speaker	26096	chatMessage	I	L
36	bugs_purple_legs_white_heads	development	4104-1e9bca7e-f62d-4a5a-a8b5-81e592e25075	1.55E+12	speaker	bug-head_color-white	bug-head_color-orange	bug-legs_color-white	wh face-org legs	14738	speaker	27010	chatMessage	I	E
