trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	birds_purple_wings_white_crests_or_white_tails	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-bird_wing_color-orange	He has a solid body	3693	speaker	35987	chatMessage	I	E
1	trees_leaves_berries_or_orange_trunks	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-berries_present	tree-leaves_color-purple	tree-leaves_present-true	The leaves are red	3569	speaker	13367	chatMessage	I	G
2	fish_orange_bodies_or_fangs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-body_color-orange	fish-whiskers_present-true	fish-stripes_present-false	He has no whiskers but he has stripes	5747	speaker	11540	chatMessage	I	E
3	flowers_orange_stems_or_thorns	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-thorns_present	flower-center_color-purple	flower-center_color-orange	the center is white	2244	speaker	11547	chatMessage	I	G
4	bugs_without_wings	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bug-wings_present	bug-bug_wings_color-purple	bug-antennae_color-orange	He's mostly white and has no yellow	4733	speaker	10978	chatMessage	I	E
5	bugs_orange_antennae_or_wings	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bug-antennae_color-orange	bug-legs_color-white	bug-antennae_color-orange	He has purple legs and no antenna	8319	speaker	12220	chatMessage	I	E
6	fish_white_bodies_orange_stripes_or_fangs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-stripes_color-orange	fish-stripes_present-true	fish-body_color-orange	he has stripes and whiskers	16517	speaker	23946	chatMessage	I	E
6	fish_white_bodies_orange_stripes_or_fangs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-stripes_color-orange	fish-stripes_present-true	fish-body_color-orange	"white body, yellow stripes"	3325	speaker	39306	chatMessage	I	E
7	bugs_orange_head	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bug-head_color-orange	bug-wings_present-true	bug-antennae_color-orange	"No wings, no antenna"	2568	speaker	7593	chatMessage	I	E
8	trees_purple_berries_or_white_trunks	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-trunk_color-white	tree-leaves_present-false	tree-berries_color-purple	Green berries and blue leaves	7685	speaker	14115	chatMessage	I	L
9	birds_orange_wings_tails	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	He has no feathers	2838	speaker	7493	chatMessage	I	L
10	bugs_purple_wings_or_white_legs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bug-legs_color-white	bug-wings_present-false	bug-legs_color-purple	Yellow legs and white wings	5224	speaker	12224	chatMessage	I	E
11	birds_tails	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bird-tail_present	bird-crest_tail_color-orange	bird-bird_wing_color-white	Purple wings and no feathers	3923	speaker	10707	chatMessage	I	L
12	flowers_thorns_purple_petals_or_orange_stems	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-stem_color-orange	flower-stem_color-orange	flower-petals_color-purple	Purple stem and yellow petals	4634	speaker	13759	chatMessage	I	L
13	fish_white_bodies_orange_stripes_or_fangs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-body_color-white	fish-body_color-purple	fish-stripes_color-white	Solid yellow body	2507	speaker	10351	chatMessage	I	E
14	trees_without_leaves	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-leaves_present	tree-berries_present-false	tree-trunk_color-white	Blue trunk and white berries	4529	speaker	12361	chatMessage	I	L
15	trees_purple_leaves_berries	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-leaves_color-purple	tree-leaves_color-white	tree-trunk_color-purple	yellow trunk and green leaves	6098	speaker	8546	chatMessage	I	L
16	flowers_purple_stems_white_petals_or_orange_centers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-center_color-orange	flower-petals_color-orange	flower-center_color-orange	purple petals and white center	8358	speaker	19824	chatMessage	I	L
17	trees_leaves_berries_or_orange_trunks	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-trunk_color-orange	tree-trunk_color-orange	tree-leaves_color-purple	Blue trunk and green leaves	3248	speaker	6278	chatMessage	I	L
18	bugs_purple_wings_or_white_legs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bug-bug_wings_color-purple	bug-head_color-orange	bug-antennae_color-orange	purple head and white antenna	3701	speaker	9939	chatMessage	I	L
19	flowers_purple_stems_or_thorns_white_centers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-center_color-white	flower-center_color-purple	flower-stem_color-purple	yellow stem and yellow center	5484	speaker	14709	chatMessage	I	L
20	bugs_antennae_or_wings_purple_bodies	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bug-body_color-purple	bug-antennae_present-false	bug-bug_wings_color-orange	white wings and antenna	2731	speaker	6947	chatMessage	I	L
21	bugs_white_heads_or_orange_antennae_purple_legs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bug-head_color-white	bug-bug_wings_color-orange	bug-head_color-orange	purple wings and white head	3213	speaker	8521	chatMessage	I	L
22	trees_white_leaves_or_orange_berries	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-berries_color-orange	tree-leaves_color-white	tree-berries_color-purple	white berries and no leaves	3134	speaker	14064	chatMessage	I	L
23	fish_white_stripes_or_purple_bodies_whiskers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-body_color-purple	fish-whiskers_present-false	fish-stripes_color-purple	Yellow stripes and whiskers behind his teeth	10032	speaker	15007	chatMessage	I	L
24	birds_purple_wings_crests	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bird-bird_wing_color-purple	bird-crest_tail_color-orange	bird-tail_present-false	All purple with a tail	2998	speaker	6729	chatMessage	I	E
25	fish_orange_bodies_purple_stripes_or_whiskers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-stripes_color-purple	fish-fangs_present-false	fish-stripes_color-orange	"No stripes, he has whiskers and teeth"	9045	speaker	31349	chatMessage	I	E
26	trees_orange_trunks_or_berries_white_leaves	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-leaves_color-white	tree-berries_color-orange	tree-trunk_color-white	Red blue and white	3549	speaker	9185	chatMessage	I	E
27	fish_whiskers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-whiskers_present	fish-body_color-purple	fish-stripes_present-false	all white with white stripes	3436	speaker	7812	chatMessage	I	E
28	flowers_purple_centers_or_orange_stems_with_thorns	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-center_color-purple	flower-stem_color-orange	flower-center_color-white	White stem yellow center	2791	speaker	8111	chatMessage	I	E
29	flowers_orange_petals_purple_centers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-petals_color-orange	flower-petals_color-white	flower-center_color-purple	"white stem, purple leaves and yellow center"	7612	speaker	13159	chatMessage	I	E
30	birds_orange_crests_or_purple_wings	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bird-crest_tail_color-orange	bird-bird_wing_color-orange	bird-crest_tail_color-purple	Purple wings and no tail	3431	speaker	15915	chatMessage	I	L
31	trees_purple_berries	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	tree-berries_color-purple	tree-trunk_color-white	tree-berries_color-orange	Purple trunk and green berries	6280	speaker	10828	chatMessage	I	L
32	flowers_purple_stems_white_petals_or_orange_centers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-petals_color-white	flower-stem_color-orange	flower-center_color-white	white stem yellow middle	5271	speaker	34499	chatMessage	I	E
33	fish_orange_bodies_purple_stripes_or_whiskers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-stripes_present	fish-stripes_color-orange	fish-fangs_present-true	white stripes and no teeth	3361	speaker	9169	chatMessage	I	L
34	fish_white_stripes_whiskers	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-stripes_color-white	fish-stripes_color-white	fish-stripes_present-true	yellow stripes	1684	speaker	4472	chatMessage	I	E
35	fish_fangs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	fish-fangs_present	fish-stripes_color-orange	fish-whiskers_present-false	all purple with whiskers	3687	speaker	7353	chatMessage	I	E
36	flowers_purple_stems_thorns	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	flower-stem_color-purple	flower-petals_color-purple	flower-petals_color-white	"purple stem, yellow petals"	4099	speaker	8694	chatMessage	I	E
37	birds_purple_wings_crests	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1.55E+12	listener	bird-crest_present	bird-tail_present-true	bird-crest_tail_color-purple	no tail	1854	speaker	5705	chatMessage	I	E
