trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_without_leaves	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	tree-leaves_present	tree-leaves_color-white	tree-trunk_color-purple	blue trunk and no leaves	15045	speaker	27373	chatMessage	I	L
0	trees_without_leaves	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	tree-leaves_present	tree-leaves_color-white	tree-trunk_color-purple	ok thanks I think I got it	4401	listener	40120	chatMessage	C	
1	fish_fangs	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	fish-fangs_present	fish-whiskers_present-true	fish-stripes_color-orange	white stripes no whiskers	14728	speaker	25460	chatMessage	I	E
2	flowers_thorns	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	flower-thorns_present	flower-center_color-white	flower-stem_color-orange	every part is a shade of purple	19267	speaker	45447	chatMessage	I	E
3	flowers_purple_stems_white_petals_or_orange_centers	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	flower-center_color-orange	flower-petals_color-white	flower-center_color-purple	purple petals with orange center	15596	speaker	32801	chatMessage	I	E
4	bugs_purple_wings_or_white_legs	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	bug-bug_wings_color-purple	bug-head_color-orange	bug-legs_color-purple	purple head white legs	18480	speaker	30568	chatMessage	I	E
5	fish_orange_bodies_purple_stripes	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	fish-stripes_color-purple	fish-body_color-purple	fish-stripes_present-true	white body white stripes	15566	speaker	29909	chatMessage	I	E
6	bugs_orange_antennae_or_wings	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	bug-antennae_color-orange	bug-head_color-white	bug-body_color-purple	purple head orange body	10938	speaker	18703	chatMessage	I	E
7	trees_orange_trunks_berries	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	tree-trunk_color-orange	tree-leaves_color-white	tree-leaves_color-purple	orange leaves	6908	speaker	11664	chatMessage	I	E
8	fish_orange_bodies_purple_stripes	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	fish-body_color-orange	fish-body_color-purple	fish-stripes_color-orange	orange body white stripes	10288	speaker	16116	chatMessage	I	E
9	flowers_purple_stems_thorns	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	flower-stem_color-purple	flower-center_color-white	flower-petals_color-white	solid orange flower - petals and center	17537	speaker	32331	chatMessage	I	L
10	flowers_purple_petals_or_thorns	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	flower-petals_color-purple	flower-petals_color-purple	flower-center_color-purple	white petals orange center	10618	speaker	26137	chatMessage	I	E
11	flowers_purple_stems_or_thorns_white_centers	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	flower-center_color-white	flower-petals_color-orange	flower-thorns_present-false	white flower with thorns on stem	21347	speaker	34183	chatMessage	I	E
12	trees_orange_berries_purple_trunks_or_white_leaves	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	tree-trunk_color-purple	tree-berries_color-purple	tree-leaves_present-true	green leaves no berries	12348	speaker	22114	chatMessage	I	E
13	bugs_purple_legs_white_heads	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	bug-legs_color-purple	bug-bug_wings_color-purple	bug-wings_present-true	orange wings	5714	speaker	11071	chatMessage	I	E
14	fish_white_bodies_orange_stripes_or_fangs	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	fish-stripes_color-orange	fish-stripes_color-purple	fish-body_color-white	orange body no stripes	10871	speaker	15601	chatMessage	I	E
15	trees_white_leaves_or_orange_berries	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	tree-leaves_color-white	tree-trunk_color-white	tree-trunk_color-purple	orange trunk	8631	speaker	18289	chatMessage	I	E
16	bugs_antennae_or_wings_purple_bodies	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	bug-body_color-purple	bug-wings_present-false	bug-legs_color-purple	orange wings and orange legs	11188	speaker	25404	chatMessage	I	L
17	flowers_orange_stems	development	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	1.55E+12	listener	flower-stem_color-orange	flower-petals_color-orange	flower-center_color-purple	white petals orange center	14024	speaker	22484	chatMessage	I	E
