trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	bugs_purple_wings_or_white_legs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bug-legs_color-white	bug-body_color-purple	bug-wings_present-false	Click the one that has wings and a fully orange body~~~	29169	speaker	42060	chatMessage	I	I
1	flowers_purple_stems_white_petals_or_orange_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	flower-center_color-orange	flower-petals_color-orange	flower-stem_color-purple	Click the one that is a purple flower and has a white stem	14135	speaker	25649	chatMessage	I	I
2	fish_fangs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	fish-fangs_present	fish-fangs_present-false	fish-body_color-white	Click the one that is a purple fish with something coming out of it's mouth	27803	speaker	30816	chatMessage	I	I
3	trees_leaves_berries_or_orange_trunks	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-trunk_color-orange	tree-berries_color-purple	tree-leaves_color-purple	Click the one that has blue leaves and red berries	12392	speaker	19392	chatMessage	I	I
4	fish_orange_bodies_or_fangs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	fish-body_color-orange	fish-stripes_color-white	fish-fangs_present-true	Click the purple fish WITHOUT stripes that does NOT have anything coming out of it's mouth~~~ 	22583	speaker	24836	chatMessage	I	I
5	fish_white_stripes_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	fish-stripes_present	fish-stripes_color-white	fish-stripes_color-orange	Click the purple fish without stripes	14771	speaker	17343	chatMessage	I	I
6	trees_without_leaves	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-leaves_present	tree-berries_present-true	tree-berries_color-purple	Click the one that has blue berries	8120	speaker	14190	chatMessage	I	I
7	trees_white_leaves_or_orange_berries	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-leaves_color-white	tree-berries_present-false	tree-leaves_color-white	Click the one that has purple leaves and purple berries	8015	speaker	15427	chatMessage	I	I
8	flowers_purple_petals_or_thorns	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	flower-petals_color-purple	flower-center_color-orange	flower-petals_color-orange	Click the one that has white leaves and a purple center	28284	speaker	30587	chatMessage	I	I
9	birds_purple_wings_white_crests_or_white_tails	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bird-crest_tail_color-white	bird-crest_tail_color-white	bird-crest_tail_color-purple	Click the one that is fully orange~~~	6604	speaker	8200	chatMessage	I	I
10	bugs_antennae_or_wings_purple_bodies	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bug-body_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	Click the one that has white wings and purple antennas	14991	speaker	19775	chatMessage	I	I
11	birds_orange_tails_or_white_wings	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bird-bird_wing_color-white	bird-bird_wing_color-orange	bird-crest_tail_color-white	Click the one that has a purple arm wing and an orange tail of feathers	32405	speaker	39963	chatMessage	I	I
12	flowers_purple_stems_thorns	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	flower-stem_color-purple	flower-center_color-white	flower-petals_color-orange	Click the one that has white leaves with a purple round center~~~	28727	speaker	29947	chatMessage	I	I
13	trees_purple_berries_or_white_trunks	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-trunk_color-white	tree-leaves_color-purple	tree-berries_present-false	Click the one with green berries and NO leaves~~~	6622	speaker	9398	chatMessage	I	I
14	bugs_white_heads_or_orange_antennae_purple_legs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bug-head_color-white	bug-legs_color-purple	bug-wings_present-false	Click the one that has big wings and white legs	21657	speaker	23659	chatMessage	I	I
15	trees_purple_berries	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-berries_color-purple	tree-leaves_color-white	tree-berries_color-purple	Click the one that has red leaves and orange berries	10896	speaker	17279	chatMessage	I	I
16	fish_white_stripes_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	fish-stripes_color-white	fish-stripes_present-true	fish-stripes_color-white	Click the one that does not have striped and is entirely white~~~	18175	speaker	24648	chatMessage	I	I
17	trees_white_leaves_or_orange_berries	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-berries_color-orange	tree-trunk_color-purple	tree-trunk_color-white	Click the one with an orange stem/trunk	17313	speaker	20265	chatMessage	I	I
18	bugs_white_heads_or_orange_antennae_purple_legs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bug-legs_color-purple	bug-head_color-white	bug-legs_color-white	Click the one with purple legs and an orange head	11411	speaker	13316	chatMessage	I	I
19	birds_orange_wings_tails	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-crest_tail_color-orange	Click the one that does not have feathers sticking out	14138	speaker	14377	chatMessage	I	I
20	flowers_orange_petals_purple_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-orange	Click the one that has a white stem and a white round center	15625	speaker	19336	chatMessage	I	I
21	trees_leaves_berries_or_orange_trunks	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-berries_present	tree-leaves_present-false	tree-leaves_color-white	Click the one with green leaves	3727	speaker	5102	chatMessage	I	I
22	flowers_purple_stems_white_petals_or_orange_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	flower-petals_color-white	flower-center_color-purple	flower-petals_color-white	Click the one with purple leaves and a white round center	13977	speaker	15191	chatMessage	I	I
23	bugs_purple_legs_white_heads_or_orange_wings	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bug-bug_wings_color-orange	bug-legs_color-purple	bug-body_color-purple	Click the one with a white body and orange legs	7727	speaker	17171	chatMessage	I	I
24	flowers_purple_stems_or_thorns_white_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	flower-center_color-white	flower-petals_color-orange	flower-center_color-purple	Click the one with white leaves and an orange round center	11462	speaker	11576	chatMessage	I	I
25	fish_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	fish-whiskers_present	fish-whiskers_present-false	fish-stripes_color-white	Click the one with purple stripes and whiskers/hair coming out of it's face	21513	speaker	25868	chatMessage	I	I
26	birds_orange_crests_or_purple_wings	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bird-bird_wing_color-purple	bird-crest_tail_color-white	bird-tail_present-true	Click the one without feathers sticking out 	7495	speaker	9250	chatMessage	I	I
27	fish_white_stripes_or_purple_bodies_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	fish-body_color-purple	fish-fangs_present-false	fish-body_color-white	Click the purple fish with something coming out of it's mouth	16176	speaker	17620	chatMessage	I	I
28	birds_tails	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bird-tail_present	bird-crest_tail_color-purple	bird-crest_tail_color-orange	Click the one with a purple body and white head feathers	15881	speaker	19684	chatMessage	I	I
29	fish_orange_bodies_purple_stripes_or_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	fish-stripes_color-purple	fish-stripes_color-white	fish-body_color-orange	Click the purple fish with purple stripes	13922	speaker	15303	chatMessage	I	I
30	birds_orange_tails_or_white_wings	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	bird-crest_tail_color-orange	bird-tail_present-false	bird-crest_tail_color-purple	Click the one with orange tail feathers coming out of the bottom	9456	speaker	10444	chatMessage	I	I
31	trees_purple_leaves_berries	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1.55E+12	listener	tree-leaves_color-purple	tree-berries_present-true	tree-berries_color-purple	Click the one with green leaves and green berries	7861	speaker	9227	chatMessage	I	I
