trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	trees_orange_berries_purple_trunks_or_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554917944964	speaker	tree-trunk_color-purple	tree-leaves_color-purple	tree-trunk_color-orange	target	139603	clickedObj
1	flowers_purple_stems_thorns	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918059839	speaker	flower-stem_color-purple	flower-petals_color-white	flower-thorns_present-false	target	110557	clickedObj
2	bugs_white_legs_purple_wings_or_orange_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918100523	speaker	bug-legs_color-white	bug-head_color-orange	bug-body_color-purple	target	35108	clickedObj
3	trees_purple_leaves_berries	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918119340	speaker	tree-leaves_color-purple	tree-berries_color-orange	tree-berries_color-purple	target	15515	clickedObj
4	bugs_white_legs_purple_wings_or_orange_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918146540	speaker	bug-bug_wings_color-purple	bug-head_color-white	bug-body_color-purple	target	21487	clickedObj
5	bugs_antennae_or_wings_purple_bodies	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918174113	speaker	bug-body_color-purple	bug-bug_wings_color-purple	bug-antennae_present-true	target	23116	clickedObj
6	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918194570	speaker	tree-leaves_color-white	tree-trunk_color-orange	tree-trunk_color-purple	target	14931	clickedObj
7	fish_white_stripes_or_purple_bodies_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918232609	speaker	fish-body_color-purple	fish-stripes_color-orange	fish-fangs_present-true	target	33775	clickedObj
8	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918255249	speaker	fish-body_color-orange	fish-body_color-orange	fish-stripes_present-false	target	16857	clickedObj
9	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918287326	speaker	fish-whiskers_present	fish-body_color-white	fish-fangs_present-true	target	27787	clickedObj
10	bugs_wings_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918321336	speaker	bug-antennae_present	bug-legs_color-purple	bug-bug_wings_color-orange	target	28397	clickedObj
11	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554918346467	speaker	tree-trunk_color-orange	tree-trunk_color-purple	tree-berries_color-orange	target	21352	clickedObj
