trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	trees_purple_leaves_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921019748	speaker	tree-leaves_color-purple	tree-berries_present-true	tree-berries_color-purple	target	28163	clickedObj
1	fish_white_bodies_orange_stripes_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921048423	speaker	fish-stripes_color-orange	fish-stripes_present-true	fish-whiskers_present-false	target	25596	clickedObj
2	bugs_antennae_or_wings_purple_bodies	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921074814	speaker	bug-body_color-purple	bug-legs_color-purple	bug-bug_wings_color-orange	target	23321	clickedObj
3	fish_white_bodies_orange_stripes_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921099288	speaker	fish-body_color-white	fish-stripes_color-orange	fish-body_color-white	target	21394	clickedObj
4	fish_orange_bodies_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921116844	speaker	fish-body_color-orange	fish-stripes_color-orange	fish-stripes_color-white	target	14487	clickedObj
5	bugs_purple_wings_or_white_legs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921130363	speaker	bug-legs_color-white	bug-legs_color-purple	bug-legs_color-white	target	10417	clickedObj
6	trees_purple_trunks_or_white_leaves_orange_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921142610	speaker	tree-trunk_color-purple	tree-berries_present-false	tree-berries_color-orange	target	9169	clickedObj
7	bugs_orange_antennae_or_wings	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921164101	speaker	bug-antennae_color-orange	bug-antennae_present-false	bug-antennae_color-orange	target	18414	clickedObj
8	bugs_orange_head	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921187615	speaker	bug-head_color-orange	bug-antennae_present-true	bug-body_color-purple	target	20441	clickedObj
9	birds_orange_tails_or_white_wings_orange_crests	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921199542	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-bird_wing_color-purple	target	8852	clickedObj
10	birds_purple_wings_white_crests_or_white_tails	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921210672	speaker	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-crest_tail_color-white	target	8053	clickedObj
11	bugs_white_heads_or_orange_antennae_purple_legs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921231530	speaker	bug-head_color-white	bug-wings_present-false	bug-body_color-purple	target	17782	clickedObj
12	birds_purple_wings_white_crests_or_white_tails	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921253146	speaker	bird-crest_present	bird-bird_wing_color-orange	bird-crest_tail_color-orange	target	18546	clickedObj
13	flowers_orange_petals_purple_centers	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921278046	speaker	flower-petals_color-orange	flower-petals_color-white	flower-center_color-orange	target	21832	clickedObj
14	bugs_wings_antennae	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921296894	speaker	bug-antennae_present	bug-antennae_present-false	bug-antennae_color-orange	target	15767	clickedObj
15	flowers_purple_stems_white_petals_or_orange_centers	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921324570	speaker	flower-center_color-orange	flower-petals_color-orange	flower-petals_color-white	target	24608	clickedObj
