trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_orange_petals_purple_centers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921796209	speaker	flower-petals_color-orange	flower-petals_color-white	flower-center_color-white	target	110420	clickedObj
1	bugs_without_wings	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921837022	speaker	bug-wings_present	bug-antennae_present-true	bug-body_color-purple	target	37762	clickedObj
2	flowers_purple_stems_white_petals_or_orange_centers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921866109	speaker	flower-petals_color-white	flower-center_color-white	flower-thorns_present-true	target	26032	clickedObj
3	birds_purple_tails	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921890692	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-orange	bird-crest_tail_color-white	target	21489	clickedObj
4	fish_white_stripes_or_whiskers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921901639	speaker	fish-stripes_present	fish-body_color-purple	fish-body_color-orange	target	7887	clickedObj
5	birds_white_crests_or_orange_wings_tails	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921915942	speaker	bird-crest_present	bird-crest_tail_color-white	bird-tail_present-true	target	11269	clickedObj
6	bugs_wings_antennae	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921934197	speaker	bug-antennae_present	bug-bug_wings_color-purple	bug-legs_color-purple	target	15218	clickedObj
7	birds_purple_wings_crests	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921959919	speaker	bird-bird_wing_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-orange	target	22662	clickedObj
8	flowers_purple_petals_or_thorns	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554921973823	speaker	flower-petals_color-purple	flower-stem_color-purple	flower-stem_color-orange	target	10835	clickedObj
9	bugs_purple_wings_or_white_legs	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922003783	speaker	bug-bug_wings_color-purple	bug-body_color-purple	bug-bug_wings_color-orange	target	26915	clickedObj
10	trees_white_leaves_or_orange_berries	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922014728	speaker	tree-berries_color-orange	tree-trunk_color-white	tree-trunk_color-orange	target	7900	clickedObj
11	trees_white_leaves_or_orange_berries	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922036779	speaker	tree-leaves_color-white	tree-leaves_color-purple	tree-trunk_color-white	target	19012	clickedObj
12	birds_orange_crests_or_purple_wings	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922057983	speaker	bird-crest_tail_color-orange	bird-crest_tail_color-orange	bird-bird_wing_color-white	target	18140	clickedObj
13	birds_orange_tails_or_white_wings_orange_crests	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922076028	speaker	bird-bird_wing_color-white	bird-crest_tail_color-purple	bird-bird_wing_color-orange	target	14998	clickedObj
14	flowers_orange_stems	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922100684	speaker	flower-stem_color-orange	flower-center_color-orange	flower-thorns_present-false	target	21590	clickedObj
15	bugs_white_heads_or_orange_antennae_purple_legs	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922114339	speaker	bug-legs_color-purple	bug-bug_wings_color-purple	bug-bug_wings_color-orange	target	10617	clickedObj
16	fish_white_stripes_or_whiskers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922136200	speaker	fish-stripes_color-white	fish-body_color-white	fish-stripes_color-white	target	18818	clickedObj
17	bugs_purple_legs_white_heads_or_orange_wings	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922158349	speaker	bug-bug_wings_color-orange	bug-body_color-purple	bug-legs_color-purple	target	19106	clickedObj
18	birds_orange_wings_tails	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922174950	speaker	bird-bird_wing_color-orange	bird-bird_wing_color-white	bird-crest_tail_color-purple	target	13559	clickedObj
19	fish_white_bodies_orange_stripes_or_fangs	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922183486	speaker	fish-stripes_color-orange	fish-stripes_color-purple	fish-body_color-purple	target	5484	clickedObj
20	flowers_purple_stems_thorns	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922201367	speaker	flower-stem_color-purple	flower-petals_color-white	flower-center_color-white	target	14843	clickedObj
21	birds_white_crests_or_orange_wings_tails	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922219718	speaker	bird-crest_tail_color-white	bird-bird_wing_color-purple	bird-crest_present-true	target	15292	clickedObj
22	fish_orange_bodies_purple_stripes_or_whiskers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922236055	speaker	fish-stripes_color-purple	fish-body_color-white	fish-fangs_present-false	target	13272	clickedObj
23	fish_white_stripes_or_purple_bodies_whiskers	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922254135	speaker	fish-body_color-purple	fish-body_color-white	fish-stripes_color-orange	target	15036	clickedObj
24	trees_leaves_berries_or_orange_trunks	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922281157	speaker	tree-berries_present	tree-leaves_present-true	tree-berries_present-false	target	23968	clickedObj
25	flowers_thorns	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922301987	speaker	flower-thorns_present	flower-center_color-orange	flower-petals_color-orange	target	17740	clickedObj
26	trees_leaves_berries_or_orange_trunks	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922315858	speaker	tree-trunk_color-orange	tree-trunk_color-purple	tree-leaves_present-true	target	10693	clickedObj
27	trees_purple_leaves_berries	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922344509	speaker	tree-leaves_color-purple	tree-trunk_color-purple	tree-berries_color-orange	target	25560	clickedObj
28	bugs_antennae_or_wings_purple_bodies	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922364404	speaker	bug-body_color-purple	bug-head_color-white	bug-antennae_present-false	target	16813	clickedObj
29	trees_purple_trunks_or_white_leaves_orange_berries	development	9151-3fd76803-d171-4ecd-838f-7dd47d2c9ade	1554922383994	speaker	tree-trunk_color-purple	tree-berries_color-purple	tree-trunk_color-purple	target	16548	clickedObj
