trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	trees_white_leaves_or_orange_berries	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919552976	speaker	tree-berries_present	tree-berries_color-orange	tree-trunk_color-orange	target	47928	clickedObj
1	flowers_purple_stems_thorns	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919588363	speaker	flower-stem_color-purple	flower-petals_color-orange	flower-center_color-purple	distr2	32147	clickedObj
2	flowers_purple_stems_white_petals_or_orange_centers	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919626012	speaker	flower-center_color-orange	flower-stem_color-purple	flower-center_color-purple	distr2	34550	clickedObj
3	bugs_antennae_or_wings_purple_bodies	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919681795	speaker	bug-body_color-purple	bug-head_color-orange	bug-body_color-purple	target	52677	clickedObj
4	fish_white_stripes_or_purple_bodies_whiskers	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919721493	speaker	fish-body_color-purple	fish-stripes_present-true	fish-whiskers_present-false	distr1	36541	clickedObj
5	birds_orange_wings_tails	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919757261	speaker	bird-bird_wing_color-orange	bird-crest_present-false	bird-bird_wing_color-white	target	32668	clickedObj
6	bugs_purple_legs_white_heads_or_orange_wings	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919792239	speaker	bug-bug_wings_color-orange	bug-wings_present-true	bug-legs_color-white	target	31878	clickedObj
7	trees_leaves_berries_or_orange_trunks	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919805938	speaker	tree-trunk_color-orange	tree-berries_color-orange	tree-berries_present-true	target	10589	clickedObj
8	fish_orange_bodies_or_fangs_whiskers	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919818246	speaker	fish-whiskers_present	fish-body_color-white	fish-stripes_present-true	target	9196	clickedObj
9	bugs_white_legs_purple_wings_or_orange_antennae	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919833643	speaker	bug-bug_wings_color-purple	bug-legs_color-purple	bug-bug_wings_color-orange	target	12273	clickedObj
10	flowers_thorns	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919859043	speaker	flower-thorns_present	flower-thorns_present-true	flower-petals_color-white	target	22282	clickedObj
11	fish_white_stripes_or_whiskers	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919884837	speaker	fish-stripes_color-white	fish-body_color-orange	fish-fangs_present-true	target	22645	clickedObj
12	trees_without_leaves	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919897511	speaker	tree-leaves_present	tree-berries_present-false	tree-berries_color-orange	target	9575	clickedObj
13	birds_tails	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919909897	speaker	bird-tail_present	bird-tail_present-true	bird-bird_wing_color-orange	target	9273	clickedObj
14	birds_purple_tails	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919924927	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-crest_tail_color-orange	target	11920	clickedObj
15	birds_orange_crests_or_purple_wings	development	5783-4ded1c7d-4e02-47f8-8935-bac72b3f2b3a	1554919951339	speaker	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-crest_tail_color-white	target	23296	clickedObj
