trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_orange_petals_purple_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923885291	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-purple	target	50747	clickedObj
1	flowers_purple_stems_thorns	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923899645	listener	flower-stem_color-purple	flower-stem_color-orange	flower-center_color-purple	target	11266	clickedObj
2	birds_white_crests_or_orange_wings_tails	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923920901	listener	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-tail_present-true	target	18114	clickedObj
3	flowers_purple_stems_or_thorns_white_centers	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923937363	listener	flower-center_color-white	flower-stem_color-purple	flower-petals_color-orange	target	13270	clickedObj
4	trees_purple_berries_or_white_trunks	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923953932	listener	tree-trunk_color-white	tree-berries_present-false	tree-leaves_present-false	target	13458	clickedObj
5	flowers_purple_petals_or_thorns	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923974389	listener	flower-petals_color-purple	flower-center_color-white	flower-petals_color-white	target	17371	clickedObj
6	birds_purple_wings_crests	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554923995559	listener	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-bird_wing_color-orange	target	18080	clickedObj
7	birds_orange_tails_or_white_wings	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554924007690	listener	bird-bird_wing_color-white	bird-crest_present-true	bird-crest_tail_color-purple	target	8954	clickedObj
8	bugs_purple_wings_or_white_legs	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554924020168	listener	bug-legs_color-white	bug-antennae_present-false	bug-antennae_color-orange	target	9350	clickedObj
9	trees_leaves_berries_or_orange_trunks	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554924033246	listener	tree-berries_present	tree-leaves_present-true	tree-berries_color-purple	target	9930	clickedObj
