trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	fish_orange_bodies_or_fangs_whiskers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924144747	listener	fish-fangs_present	fish-fangs_present-true	fish-stripes_present-true	target	19403	clickedObj
1	trees_orange_trunks_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924163399	listener	tree-trunk_color-orange	tree-leaves_color-purple	tree-berries_color-purple	target	15499	clickedObj
2	trees_purple_berries_or_white_trunks	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924188524	listener	tree-trunk_color-white	tree-berries_present-false	tree-leaves_color-purple	target	21909	clickedObj
3	flowers_orange_stems_or_thorns	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924218260	listener	flower-stem_color-orange	flower-center_color-orange	flower-stem_color-purple	target	26443	clickedObj
4	birds_purple_tails	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924245464	listener	bird-crest_tail_color-purple	bird-tail_present-false	bird-bird_wing_color-orange	target	23994	clickedObj
5	fish_white_bodies_orange_stripes_or_fangs	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924262063	listener	fish-stripes_color-orange	fish-stripes_color-white	fish-stripes_color-purple	distr1	13371	clickedObj
6	trees_purple_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924286331	listener	tree-berries_color-purple	tree-berries_color-orange	tree-leaves_color-white	target	21135	clickedObj
7	flowers_purple_petals_or_thorns	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924309381	listener	flower-petals_color-purple	flower-center_color-orange	flower-stem_color-orange	target	19942	clickedObj
8	fish_white_bodies_orange_stripes_or_fangs	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924330078	listener	fish-body_color-white	fish-body_color-purple	fish-stripes_present-true	target	17601	clickedObj
9	trees_white_leaves_or_orange_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924345343	listener	tree-berries_color-orange	tree-leaves_color-purple	tree-berries_present-false	target	11758	clickedObj
10	trees_orange_trunks_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924361987	listener	tree-berries_present	tree-berries_color-orange	tree-berries_present-false	target	13446	clickedObj
11	trees_orange_trunks_or_berries_white_leaves	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924384149	listener	tree-leaves_color-white	tree-trunk_color-white	tree-trunk_color-orange	target	19055	clickedObj
12	birds_orange_tails_or_white_wings_orange_crests	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924403225	listener	bird-bird_wing_color-white	bird-tail_present-true	bird-bird_wing_color-orange	target	15449	clickedObj
13	bugs_antennae_or_wings_purple_bodies	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924426335	listener	bug-body_color-purple	bug-antennae_color-orange	bug-bug_wings_color-orange	target	19989	clickedObj
14	flowers_purple_stems_or_thorns_white_centers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924448870	listener	flower-center_color-white	flower-petals_color-white	flower-stem_color-purple	target	19313	clickedObj
15	bugs_orange_antennae_or_wings	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924467870	listener	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-antennae_present-false	target	15900	clickedObj
16	bugs_white_legs_purple_wings_or_orange_antennae	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924488075	listener	bug-bug_wings_color-purple	bug-bug_wings_color-orange	bug-legs_color-white	target	17035	clickedObj
17	flowers_purple_centers_or_orange_stems_with_thorns	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924506267	listener	flower-center_color-purple	flower-thorns_present-true	flower-petals_color-purple	target	15065	clickedObj
18	birds_tails	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924528758	listener	bird-tail_present	bird-crest_tail_color-white	bird-crest_tail_color-purple	target	19310	clickedObj
19	fish_orange_bodies_or_fangs_whiskers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924555092	listener	fish-whiskers_present	fish-body_color-purple	fish-body_color-orange	target	23000	clickedObj
20	flowers_purple_stems_white_petals_or_orange_centers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924574994	listener	flower-center_color-orange	flower-stem_color-orange	flower-petals_color-orange	target	16799	clickedObj
21	fish_white_stripes_or_purple_bodies_whiskers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924596078	listener	fish-body_color-purple	fish-body_color-purple	fish-stripes_color-purple	target	17931	clickedObj
22	bugs_purple_legs_white_heads_or_orange_wings	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924621089	listener	bug-bug_wings_color-orange	bug-legs_color-purple	bug-head_color-white	target	21816	clickedObj
23	bugs_without_wings	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924649092	listener	bug-wings_present	bug-bug_wings_color-orange	bug-antennae_present-true	target	24863	clickedObj
24	birds_orange_wings_tails	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924659559	listener	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bird-tail_present-true	target	7329	clickedObj
25	bugs_orange_head	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924673192	listener	bug-head_color-orange	bug-wings_present-true	bug-antennae_color-orange	target	10339	clickedObj
26	fish_orange_bodies_or_fangs_whiskers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924685350	listener	fish-body_color-orange	fish-body_color-orange	fish-body_color-purple	target	9028	clickedObj
27	bugs_purple_legs_white_heads	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924694441	listener	bug-legs_color-purple	bug-bug_wings_color-purple	bug-bug_wings_color-orange	target	5917	clickedObj
28	birds_white_crests_or_orange_wings_tails	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924716822	listener	bird-crest_present	bird-bird_wing_color-orange	bird-crest_tail_color-orange	target	18991	clickedObj
29	trees_without_leaves	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924735402	listener	tree-leaves_present	tree-leaves_color-purple	tree-berries_color-orange	target	15308	clickedObj
30	fish_orange_bodies_purple_stripes	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924749925	listener	fish-stripes_color-purple	fish-stripes_color-white	fish-stripes_present-false	target	11389	clickedObj
31	bugs_purple_legs_white_heads	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924771583	listener	bug-head_color-white	bug-bug_wings_color-orange	bug-antennae_color-orange	target	18557	clickedObj
32	flowers_orange_stems_or_thorns	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924804027	listener	flower-thorns_present	flower-petals_color-purple	flower-stem_color-orange	target	29347	clickedObj
33	flowers_purple_stems_thorns	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924831864	listener	flower-stem_color-purple	flower-center_color-purple	flower-stem_color-purple	target	24683	clickedObj
34	fish_white_stripes_or_whiskers	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924853457	listener	fish-stripes_color-white	fish-body_color-white	fish-fangs_present-true	target	18445	clickedObj
35	bugs_white_legs_purple_wings_or_orange_antennae	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924878873	listener	bug-legs_color-white	bug-antennae_color-orange	bug-head_color-orange	target	21879	clickedObj
36	fish_orange_bodies_purple_stripes	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924887935	listener	fish-stripes_present	fish-stripes_color-orange	fish-stripes_color-purple	target	5968	clickedObj
37	birds_orange_crests_or_purple_wings	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924902842	listener	bird-crest_tail_color-orange	bird-crest_tail_color-white	bird-crest_tail_color-purple	target	11708	clickedObj
38	birds_purple_wings_crests	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924915059	listener	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-bird_wing_color-purple	target	9081	clickedObj
39	trees_purple_trunks_or_white_leaves_orange_berries	development	2315-c606978f-fd9e-4d6d-93dc-5da2cd8fa8e4	1554924935794	listener	tree-trunk_color-purple	tree-berries_color-orange	tree-trunk_color-orange	target	17494	clickedObj
