trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	fish_orange_bodies_purple_stripes_or_whiskers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925872639	speaker	fish-stripes_color-purple	fish-stripes_color-orange	fish-body_color-purple	target	23257	clickedObj
1	flowers_orange_petals_purple_centers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925891004	speaker	flower-petals_color-orange	flower-petals_color-orange	flower-stem_color-purple	target	15283	clickedObj
2	fish_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925901195	speaker	fish-fangs_present	fish-body_color-orange	fish-body_color-white	target	7110	clickedObj
3	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925909117	speaker	fish-stripes_color-orange	fish-body_color-purple	fish-stripes_color-orange	target	4831	clickedObj
4	trees_orange_berries_purple_trunks_or_white_leaves	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925925699	speaker	tree-trunk_color-purple	tree-trunk_color-white	tree-berries_present-false	target	13501	clickedObj
5	fish_orange_bodies_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925945463	speaker	fish-body_color-orange	fish-body_color-purple	fish-stripes_present-false	target	16684	clickedObj
6	trees_leaves_berries_or_orange_trunks	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925958285	speaker	tree-berries_present	tree-trunk_color-orange	tree-trunk_color-white	target	9743	clickedObj
7	flowers_thorns	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925973962	speaker	flower-thorns_present	flower-stem_color-orange	flower-thorns_present-true	target	12586	clickedObj
8	trees_purple_berries_or_white_trunks	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554925990568	speaker	tree-trunk_color-white	tree-leaves_color-purple	tree-berries_color-purple	target	13526	clickedObj
9	fish_whiskers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926009783	speaker	fish-whiskers_present	fish-stripes_color-white	fish-stripes_color-orange	target	16131	clickedObj
10	fish_white_bodies_orange_stripes_or_fangs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926080431	speaker	fish-body_color-white	fish-fangs_present-false	fish-body_color-white	distr1	67566	clickedObj
11	birds_orange_tails_or_white_wings	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926097763	speaker	bird-crest_tail_color-orange	bird-crest_present-false	bird-crest_tail_color-purple	target	14252	clickedObj
12	birds_purple_wings_crests	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926117105	speaker	bird-crest_present	bird-crest_present-true	bird-bird_wing_color-purple	target	16263	clickedObj
13	bugs_without_wings	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926133140	speaker	bug-wings_present	bug-legs_color-purple	bug-wings_present-true	target	12955	clickedObj
14	trees_purple_berries	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926141239	speaker	tree-berries_color-purple	tree-trunk_color-white	tree-leaves_color-white	target	5014	clickedObj
15	trees_without_leaves	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926156664	speaker	tree-leaves_present	tree-berries_color-purple	tree-trunk_color-white	target	12342	clickedObj
16	trees_purple_leaves_berries	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926174636	speaker	tree-leaves_color-purple	tree-trunk_color-orange	tree-berries_present-false	target	14891	clickedObj
17	bugs_purple_wings_or_white_legs	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926196967	speaker	bug-bug_wings_color-purple	bug-body_color-purple	bug-antennae_color-orange	target	19237	clickedObj
18	fish_white_stripes_or_purple_bodies_whiskers	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926230797	speaker	fish-body_color-purple	fish-fangs_present-true	fish-stripes_color-white	distr1	30744	clickedObj
19	bugs_wings_antennae	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926247179	speaker	bug-antennae_present	bug-bug_wings_color-orange	bug-head_color-white	target	13300	clickedObj
20	birds_purple_wings_white_crests_or_white_tails	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926261435	speaker	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-bird_wing_color-white	target	11177	clickedObj
21	birds_purple_tails	development	7735-87c6ed52-a2b7-4e35-b3ab-f655a885e200	1554926281483	speaker	bird-crest_tail_color-purple	bird-bird_wing_color-purple	bird-crest_tail_color-orange	target	16967	clickedObj
