trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	trees_purple_leaves_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927748861	listener	tree-leaves_color-purple	tree-trunk_color-white	tree-berries_color-orange	target	64800	clickedObj
1	trees_orange_berries_purple_trunks_or_white_leaves	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927777991	listener	tree-trunk_color-purple	tree-leaves_present-false	tree-leaves_color-purple	target	25866	clickedObj
2	flowers_thorns	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927823896	listener	flower-thorns_present	flower-petals_color-purple	flower-stem_color-purple	target	42771	clickedObj
3	trees_white_leaves_or_orange_berries	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927873699	listener	tree-berries_color-orange	tree-berries_present-true	tree-leaves_present-true	target	46565	clickedObj
4	fish_orange_bodies_purple_stripes	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927908777	listener	fish-stripes_present	fish-stripes_color-orange	fish-stripes_color-white	target	31795	clickedObj
5	bugs_purple_legs_white_heads_or_orange_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554927985757	listener	bug-bug_wings_color-orange	bug-body_color-purple	bug-legs_color-white	distr1	73767	clickedObj
6	fish_white_stripes_or_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928049926	listener	fish-stripes_color-white	fish-stripes_color-purple	fish-fangs_present-true	target	61028	clickedObj
7	birds_orange_tails_or_white_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928088372	listener	bird-bird_wing_color-white	bird-bird_wing_color-purple	bird-tail_present-true	distr1	35063	clickedObj
8	trees_leaves_berries_or_orange_trunks	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928110705	listener	tree-trunk_color-orange	tree-leaves_color-white	tree-leaves_color-purple	target	18996	clickedObj
9	birds_purple_crests_purple_tails_or_orange_wings	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928145226	listener	bird-tail_present	bird-bird_wing_color-white	bird-bird_wing_color-purple	target	31402	clickedObj
10	bugs_purple_legs_white_heads	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928181211	listener	bug-head_color-white	bug-bug_wings_color-orange	bug-antennae_present-false	target	32525	clickedObj
11	fish_orange_bodies_or_fangs_whiskers	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928207031	listener	fish-body_color-orange	fish-stripes_color-white	fish-stripes_color-orange	target	22555	clickedObj
12	flowers_orange_stems	development	7703-e5800ea3-1dca-49eb-8c74-484587ce7d27	1554928287476	listener	flower-stem_color-orange	flower-center_color-orange	flower-petals_color-purple	target	77286	clickedObj
