trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	trees_orange_trunks_berries	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928200200	speaker	tree-trunk_color-orange	tree-berries_color-orange	tree-berries_color-purple	target	31647	clickedObj
1	birds_purple_wings_crests	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928235009	speaker	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-crest_present-true	target	31705	clickedObj
2	flowers_purple_stems_white_petals_or_orange_centers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928284719	speaker	flower-petals_color-white	flower-petals_color-white	flower-center_color-purple	target	46618	clickedObj
3	birds_white_crests_or_orange_wings_tails	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928361522	speaker	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-tail_present-true	target	73694	clickedObj
4	fish_white_stripes_or_purple_bodies_whiskers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928407628	speaker	fish-body_color-purple	fish-stripes_color-purple	fish-fangs_present-true	target	43008	clickedObj
5	bugs_purple_wings_or_white_legs	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928440883	speaker	bug-bug_wings_color-purple	bug-legs_color-white	bug-body_color-purple	target	30075	clickedObj
6	flowers_purple_stems_or_thorns_white_centers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928466622	speaker	flower-center_color-white	flower-center_color-orange	flower-stem_color-purple	target	22649	clickedObj
7	flowers_purple_stems_white_petals_or_orange_centers	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928485463	speaker	flower-center_color-orange	flower-center_color-purple	flower-stem_color-purple	target	15744	clickedObj
8	flowers_purple_stems_thorns	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928509128	speaker	flower-stem_color-purple	flower-stem_color-orange	flower-thorns_present-true	target	20557	clickedObj
9	bugs_purple_legs_white_heads_or_orange_wings	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928549550	speaker	bug-bug_wings_color-orange	bug-bug_wings_color-orange	bug-antennae_present-false	distr2	37328	clickedObj
10	fish_white_bodies_orange_stripes_or_fangs	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928581411	speaker	fish-body_color-white	fish-fangs_present-false	fish-stripes_color-purple	target	28770	clickedObj
11	trees_purple_berries	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928609393	speaker	tree-berries_color-purple	tree-trunk_color-orange	tree-leaves_color-white	target	24889	clickedObj
12	birds_orange_tails_or_white_wings_orange_crests	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928687276	speaker	bird-bird_wing_color-white	bird-crest_tail_color-orange	bird-bird_wing_color-orange	target	74786	clickedObj
13	birds_purple_tails	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554928714238	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-crest_present-false	target	23864	clickedObj
