trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	fish_white_bodies_orange_stripes_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930728614	listener	fish-body_color-white	fish-stripes_color-orange	fish-fangs_present-false	target	137968	clickedObj
1	birds_purple_wings_crests	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930748339	listener	bird-crest_present	bird-crest_tail_color-white	bird-crest_tail_color-orange	target	16674	clickedObj
2	birds_orange_wings_tails	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930765624	listener	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bird-crest_tail_color-white	target	14240	clickedObj
3	trees_purple_berries	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930785792	listener	tree-berries_color-purple	tree-berries_present-true	tree-trunk_color-white	target	17134	clickedObj
4	fish_white_stripes_or_whiskers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930833261	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	target	44419	clickedObj
5	fish_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930864163	listener	fish-fangs_present	fish-body_color-orange	fish-fangs_present-true	distr2	27855	clickedObj
6	flowers_purple_centers_or_orange_stems_with_thorns	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930910965	listener	flower-center_color-purple	flower-center_color-white	flower-petals_color-purple	target	43757	clickedObj
7	birds_tails	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930934026	listener	bird-tail_present	bird-crest_tail_color-orange	bird-bird_wing_color-orange	target	20020	clickedObj
8	bugs_wings_antennae	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930961664	listener	bug-antennae_present	bug-head_color-orange	bug-antennae_color-orange	target	24591	clickedObj
9	bugs_white_legs_purple_wings_or_orange_antennae	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554930980638	listener	bug-legs_color-white	bug-antennae_color-orange	bug-bug_wings_color-orange	target	15931	clickedObj
10	flowers_thorns_purple_petals_or_orange_stems	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931018221	listener	flower-petals_color-purple	flower-petals_color-purple	flower-center_color-orange	target	34539	clickedObj
11	fish_orange_bodies_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931041447	listener	fish-body_color-orange	fish-stripes_color-orange	fish-whiskers_present-false	distr2	20175	clickedObj
12	birds_purple_wings_crests	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931060888	listener	bird-bird_wing_color-purple	bird-crest_tail_color-orange	bird-crest_tail_color-white	target	16399	clickedObj
13	fish_orange_bodies_purple_stripes	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931128207	listener	fish-stripes_color-purple	fish-fangs_present-false	fish-body_color-orange	target	64260	clickedObj
14	birds_orange_tails_or_white_wings	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931155013	listener	bird-bird_wing_color-white	bird-crest_tail_color-purple	bird-crest_tail_color-white	target	23766	clickedObj
15	trees_leaves_berries_or_orange_trunks	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931184632	listener	tree-trunk_color-orange	tree-berries_color-orange	tree-leaves_color-purple	target	26577	clickedObj
16	trees_without_leaves	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931200765	listener	tree-leaves_present	tree-berries_color-purple	tree-berries_color-orange	target	13091	clickedObj
17	flowers_purple_stems_or_thorns_white_centers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931238396	listener	flower-center_color-white	flower-thorns_present-true	flower-petals_color-purple	target	34589	clickedObj
