trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_purple_stems_white_petals_or_orange_centers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915106421	speaker	flower-petals_color-white	flower-center_color-orange	flower-petals_color-orange	target	33285	clickedObj
1	fish_white_bodies_orange_stripes_or_fangs	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915146928	speaker	fish-body_color-white	fish-stripes_present-false	fish-whiskers_present-true	target	37415	clickedObj
2	bugs_white_legs_purple_wings_or_orange_antennae	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915177325	speaker	bug-bug_wings_color-purple	bug-body_color-purple	bug-legs_color-white	target	27308	clickedObj
3	fish_white_stripes_or_whiskers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915201282	speaker	fish-stripes_color-white	fish-body_color-white	fish-fangs_present-false	target	20865	clickedObj
4	fish_white_stripes_or_purple_bodies_whiskers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915217412	speaker	fish-body_color-purple	fish-stripes_color-purple	fish-stripes_present-true	target	13038	clickedObj
5	bugs_purple_legs_white_heads_or_orange_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915235235	speaker	bug-bug_wings_color-orange	bug-body_color-purple	bug-bug_wings_color-orange	target	14734	clickedObj
6	bugs_purple_legs_white_heads	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915257613	speaker	bug-head_color-white	bug-antennae_present-true	bug-head_color-orange	target	19297	clickedObj
7	bugs_white_legs_purple_wings_or_orange_antennae	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915301255	speaker	bug-legs_color-white	bug-legs_color-purple	bug-antennae_present-false	target	40559	clickedObj
8	flowers_thorns_purple_petals_or_orange_stems	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915316479	speaker	flower-petals_color-purple	flower-center_color-orange	flower-stem_color-purple	target	12144	clickedObj
9	birds_purple_wings_crests	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915337094	speaker	bird-bird_wing_color-purple	bird-crest_tail_color-orange	bird-crest_tail_color-white	target	17534	clickedObj
10	bugs_orange_head	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915361050	speaker	bug-head_color-orange	bug-bug_wings_color-purple	bug-head_color-orange	target	20875	clickedObj
11	birds_purple_crests_purple_tails_or_orange_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915396155	speaker	bird-bird_wing_color-orange	bird-bird_wing_color-white	bird-crest_tail_color-orange	target	32022	clickedObj
12	flowers_thorns	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915413834	speaker	flower-thorns_present	flower-stem_color-orange	flower-center_color-orange	target	14594	clickedObj
13	trees_without_leaves	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915428230	speaker	tree-leaves_present	tree-leaves_color-white	tree-trunk_color-purple	target	11310	clickedObj
14	birds_purple_crests_purple_tails_or_orange_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915442116	speaker	bird-tail_present	bird-crest_present-true	bird-crest_tail_color-orange	target	10802	clickedObj
15	bugs_orange_antennae_or_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915458150	speaker	bug-antennae_color-orange	bug-head_color-orange	bug-body_color-purple	target	12953	clickedObj
16	flowers_purple_stems_or_thorns_white_centers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915483598	speaker	flower-center_color-white	flower-thorns_present-true	flower-petals_color-white	target	22361	clickedObj
17	fish_orange_bodies_purple_stripes	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915498346	speaker	fish-stripes_color-purple	fish-stripes_color-orange	fish-body_color-white	target	11663	clickedObj
18	fish_orange_bodies_or_fangs_whiskers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915509245	speaker	fish-fangs_present	fish-stripes_color-orange	fish-stripes_color-purple	target	7818	clickedObj
19	flowers_purple_stems_white_petals_or_orange_centers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915534681	speaker	flower-center_color-orange	flower-petals_color-orange	flower-petals_color-purple	target	22349	clickedObj
20	trees_orange_trunks_berries	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915555071	speaker	tree-berries_present	tree-leaves_color-purple	tree-berries_present-true	target	17302	clickedObj
21	fish_orange_bodies_or_fangs_whiskers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915566285	speaker	fish-whiskers_present	fish-stripes_present-true	fish-stripes_color-white	target	8132	clickedObj
22	flowers_purple_stems_thorns	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915587690	speaker	flower-stem_color-purple	flower-center_color-purple	flower-stem_color-purple	target	18322	clickedObj
23	birds_orange_crests_or_purple_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915599976	speaker	bird-crest_tail_color-orange	bird-crest_present-true	bird-crest_tail_color-purple	target	9202	clickedObj
24	bugs_without_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915620278	speaker	bug-wings_present	bug-antennae_present-true	bug-head_color-white	target	17220	clickedObj
25	birds_purple_crests_purple_tails_or_orange_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915637427	speaker	bird-crest_present	bird-crest_tail_color-purple	bird-bird_wing_color-white	target	14062	clickedObj
26	trees_orange_trunks_or_berries_white_leaves	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915651915	speaker	tree-leaves_color-white	tree-leaves_color-purple	tree-berries_color-orange	target	11405	clickedObj
27	trees_purple_leaves_berries	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915669750	speaker	tree-leaves_color-purple	tree-berries_color-orange	tree-trunk_color-white	target	14743	clickedObj
28	flowers_orange_stems	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915684359	speaker	flower-stem_color-orange	flower-center_color-orange	flower-center_color-white	target	11524	clickedObj
29	bugs_antennae_or_wings_purple_bodies	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915693632	speaker	bug-body_color-purple	bug-legs_color-purple	bug-legs_color-white	target	6184	clickedObj
30	flowers_purple_centers_or_orange_stems_with_thorns	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915708337	speaker	flower-center_color-purple	flower-petals_color-orange	flower-center_color-orange	target	11568	clickedObj
31	fish_orange_bodies_or_fangs_whiskers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915723637	speaker	fish-body_color-orange	fish-stripes_present-true	fish-body_color-white	target	12214	clickedObj
32	bugs_purple_legs_white_heads	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915743793	speaker	bug-legs_color-purple	bug-antennae_color-orange	bug-wings_present-false	target	17068	clickedObj
33	flowers_orange_petals_purple_centers	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915772804	speaker	flower-petals_color-orange	flower-stem_color-purple	flower-thorns_present-true	target	25920	clickedObj
34	fish_orange_bodies_purple_stripes	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915783359	speaker	fish-stripes_present	fish-body_color-white	fish-body_color-purple	target	7466	clickedObj
35	trees_orange_berries_purple_trunks_or_white_leaves	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915806341	speaker	tree-trunk_color-purple	tree-trunk_color-white	tree-leaves_present-false	target	19899	clickedObj
36	bugs_wings_antennae	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915816679	speaker	bug-antennae_present	bug-bug_wings_color-orange	bug-bug_wings_color-purple	target	7243	clickedObj
37	birds_orange_tails_or_white_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915834342	speaker	bird-bird_wing_color-white	bird-crest_present-true	bird-bird_wing_color-purple	target	14576	clickedObj
38	trees_purple_berries_or_white_trunks	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915848840	speaker	tree-trunk_color-white	tree-trunk_color-orange	tree-leaves_present-true	target	11412	clickedObj
39	birds_purple_crests_purple_tails_or_orange_wings	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915862236	speaker	bird-crest_tail_color-purple	bird-crest_tail_color-purple	bird-tail_present-true	target	10309	clickedObj
40	trees_orange_trunks_berries	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915874701	speaker	tree-trunk_color-orange	tree-leaves_present-false	tree-trunk_color-orange	target	9381	clickedObj
41	birds_white_crests_or_orange_wings_tails	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915889219	speaker	bird-crest_tail_color-white	bird-bird_wing_color-purple	bird-tail_present-true	target	11435	clickedObj
42	fish_white_bodies_orange_stripes_or_fangs	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915905829	speaker	fish-stripes_color-orange	fish-whiskers_present-false	fish-body_color-white	target	13529	clickedObj
43	trees_white_leaves_or_orange_berries	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915919950	speaker	tree-berries_color-orange	tree-trunk_color-purple	tree-leaves_present-true	target	11038	clickedObj
44	trees_purple_berries	development	6509-66eb17d8-f481-4cfd-93a1-65a9c9987880	1554915944842	speaker	tree-berries_color-purple	tree-trunk_color-white	tree-leaves_color-purple	target	21805	clickedObj
