trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_purple_centers_or_orange_stems_with_thorns	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012504947	listener	flower-center_color-purple	flower-petals_color-white	flower-stem_color-orange	distr2	89304	clickedObj
1	flowers_purple_petals_or_thorns	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012547706	listener	flower-petals_color-purple	flower-center_color-white	flower-center_color-purple	target	39665	clickedObj
2	trees_orange_trunks_berries	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012569740	listener	tree-berries_present	tree-leaves_color-white	tree-berries_color-purple	target	18938	clickedObj
3	fish_orange_bodies_purple_stripes	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012599042	listener	fish-stripes_color-purple	fish-body_color-white	fish-stripes_color-white	target	26198	clickedObj
4	fish_fangs	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012623459	listener	fish-fangs_present	fish-stripes_color-orange	fish-body_color-orange	target	21308	clickedObj
5	trees_purple_leaves_berries	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012657515	listener	tree-leaves_color-purple	tree-berries_present-true	tree-trunk_color-white	distr2	30950	clickedObj
6	birds_purple_wings_crests	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012697075	listener	bird-bird_wing_color-purple	bird-bird_wing_color-orange	bird-crest_tail_color-orange	distr1	36465	clickedObj
7	fish_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012735040	listener	fish-whiskers_present	fish-stripes_present-true	fish-whiskers_present-false	target	34862	clickedObj
8	fish_white_stripes_or_whiskers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012802891	listener	fish-stripes_present	fish-fangs_present-true	fish-stripes_color-orange	target	64756	clickedObj
9	trees_without_leaves	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012830315	listener	tree-leaves_present	tree-trunk_color-orange	tree-berries_present-true	target	24321	clickedObj
10	flowers_purple_stems_or_thorns_white_centers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012858827	listener	flower-center_color-white	flower-stem_color-purple	flower-center_color-white	target	25417	clickedObj
11	birds_white_crests_or_orange_wings_tails	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012892123	listener	bird-crest_present	bird-crest_tail_color-purple	bird-crest_tail_color-white	target	30201	clickedObj
12	flowers_orange_petals_purple_centers	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012913605	listener	flower-petals_color-orange	flower-petals_color-white	flower-thorns_present-false	target	18384	clickedObj
13	flowers_orange_stems_or_thorns	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012948563	listener	flower-thorns_present	flower-center_color-purple	flower-center_color-orange	target	31845	clickedObj
14	fish_white_bodies_orange_stripes_or_fangs	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012974692	listener	fish-stripes_color-orange	fish-stripes_color-purple	fish-whiskers_present-false	target	23021	clickedObj
15	birds_orange_crests_or_purple_wings	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555012997107	listener	bird-crest_tail_color-orange	bird-bird_wing_color-orange	bird-crest_tail_color-white	target	19321	clickedObj
16	trees_purple_trunks_or_white_leaves_orange_berries	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555013024635	listener	tree-berries_color-orange	tree-leaves_color-white	tree-berries_color-orange	target	24431	clickedObj
