trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_purple_legs_white_heads_or_orange_wings	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554318662169	listener	bug-bug_wings_color-orange	bug-body_color-purple	bug-bug_wings_color-orange	distr1	212249	clickedObj
1	trees_purple_berries_or_white_trunks	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554318739906	listener	tree-trunk_color-white	tree-berries_color-purple	tree-trunk_color-purple	target	74667	clickedObj
2	flowers_purple_stems_white_petals_or_orange_centers	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554318908041	listener	flower-center_color-orange	flower-center_color-white	flower-petals_color-orange	distr2	165065	clickedObj
3	birds_orange_wings_tails	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319153328	listener	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bird-bird_wing_color-orange	target	242215	clickedObj
4	fish_orange_bodies_purple_stripes	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319403912	listener	fish-stripes_color-purple	fish-stripes_present-true	fish-body_color-purple	target	247504	clickedObj
5	bugs_purple_wings_or_white_legs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319440140	listener	bug-legs_color-white	bug-antennae_color-orange	bug-antennae_present-true	target	33160	clickedObj
6	fish_white_bodies_orange_stripes_or_fangs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319467591	listener	fish-body_color-white	fish-body_color-orange	fish-stripes_present-false	target	24375	clickedObj
7	birds_orange_crests_or_purple_wings	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319500655	listener	bird-crest_tail_color-orange	bird-tail_present-true	bird-crest_tail_color-white	target	29989	clickedObj
8	fish_fangs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319560001	listener	fish-fangs_present	fish-body_color-white	fish-fangs_present-true	target	56277	clickedObj
9	trees_purple_leaves_berries	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319633901	listener	tree-leaves_color-purple	tree-trunk_color-white	tree-berries_color-orange	target	70835	clickedObj
10	fish_orange_bodies_or_fangs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319719547	listener	fish-body_color-orange	fish-body_color-purple	fish-stripes_color-purple	target	82578	clickedObj
11	trees_white_leaves_or_orange_berries	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319778116	listener	tree-berries_color-orange	tree-trunk_color-white	tree-leaves_present-true	target	55502	clickedObj
12	flowers_purple_stems_thorns	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319839584	listener	flower-stem_color-purple	flower-center_color-purple	flower-center_color-white	target	58393	clickedObj
13	birds_tails	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319901773	listener	bird-tail_present	bird-crest_tail_color-orange	bird-crest_tail_color-purple	target	59122	clickedObj
14	flowers_orange_stems	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554319963217	listener	flower-stem_color-orange	flower-petals_color-orange	flower-center_color-orange	target	58361	clickedObj
15	birds_purple_tails	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320047659	listener	bird-crest_tail_color-purple	bird-crest_tail_color-white	bird-tail_present-false	target	81367	clickedObj
16	bugs_white_heads_or_orange_antennae_purple_legs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320151216	listener	bug-legs_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	target	100490	clickedObj
17	fish_white_stripes_whiskers	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320207309	listener	fish-stripes_color-white	fish-fangs_present-false	fish-stripes_present-false	target	53024	clickedObj
18	flowers_thorns	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320225926	listener	flower-thorns_present	flower-petals_color-white	flower-petals_color-orange	target	15548	clickedObj
19	bugs_antennae_or_wings_purple_bodies	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320261093	listener	bug-body_color-purple	bug-bug_wings_color-purple	bug-antennae_present-false	target	32098	clickedObj
20	fish_white_bodies_orange_stripes_or_fangs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320281553	listener	fish-stripes_color-orange	fish-body_color-white	fish-body_color-orange	target	17393	clickedObj
21	birds_orange_crests_or_purple_wings	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320339731	listener	bird-bird_wing_color-purple	bird-tail_present-false	bird-crest_tail_color-orange	target	55111	clickedObj
22	flowers_purple_stems_or_thorns_white_centers	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320390090	listener	flower-center_color-white	flower-center_color-orange	flower-thorns_present-false	target	47292	clickedObj
23	trees_purple_trunks_or_white_leaves_orange_berries	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320427737	listener	tree-trunk_color-purple	tree-trunk_color-white	tree-leaves_color-white	target	34581	clickedObj
24	bugs_without_wings	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320570530	listener	bug-wings_present	bug-bug_wings_color-purple	bug-legs_color-white	target	139719	clickedObj
25	flowers_thorns_purple_petals_or_orange_stems	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320658888	listener	flower-petals_color-purple	flower-petals_color-purple	flower-center_color-orange	target	85293	clickedObj
26	birds_orange_crests_or_purple_wings	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320722836	listener	bird-crest_present	bird-crest_tail_color-purple	bird-bird_wing_color-orange	target	60876	clickedObj
27	trees_white_leaves_or_orange_berries	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320785536	listener	tree-leaves_color-white	tree-trunk_color-purple	tree-trunk_color-orange	target	59631	clickedObj
28	bugs_orange_head	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320828146	listener	bug-head_color-orange	bug-antennae_present-false	bug-bug_wings_color-orange	target	39542	clickedObj
29	trees_orange_trunks_berries	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320860313	listener	tree-berries_present	tree-berries_color-purple	tree-leaves_color-purple	target	29091	clickedObj
30	fish_white_stripes_or_purple_bodies_whiskers	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320890758	listener	fish-body_color-purple	fish-body_color-orange	fish-whiskers_present-false	target	27378	clickedObj
31	trees_orange_trunks_berries	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320918078	listener	tree-trunk_color-orange	tree-berries_present-true	tree-trunk_color-orange	target	24251	clickedObj
32	bugs_wings_antennae	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320940807	listener	bug-antennae_present	bug-bug_wings_color-purple	bug-wings_present-true	target	19659	clickedObj
33	bugs_orange_antennae_or_wings	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554320985328	listener	bug-antennae_color-orange	bug-head_color-white	bug-antennae_color-orange	distr2	41453	clickedObj
34	flowers_purple_centers_or_orange_stems_with_thorns	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321015729	listener	flower-center_color-purple	flower-center_color-purple	flower-center_color-orange	target	27332	clickedObj
35	flowers_orange_petals_purple_centers	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321072294	listener	flower-petals_color-orange	flower-thorns_present-false	flower-petals_color-orange	target	53479	clickedObj
36	birds_purple_wings_white_crests_or_white_tails	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321090652	listener	bird-crest_tail_color-white	bird-crest_tail_color-white	bird-crest_tail_color-purple	target	15290	clickedObj
37	bugs_white_heads_or_orange_antennae_purple_legs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321125463	listener	bug-head_color-white	bug-wings_present-false	bug-antennae_color-orange	target	31744	clickedObj
38	trees_purple_berries	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321143417	listener	tree-berries_color-purple	tree-trunk_color-white	tree-leaves_color-purple	target	14887	clickedObj
39	birds_orange_tails_or_white_wings	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321164839	listener	bird-bird_wing_color-white	bird-tail_present-true	bird-crest_tail_color-white	target	18356	clickedObj
40	bugs_purple_wings_or_white_legs	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321192956	listener	bug-bug_wings_color-purple	bug-antennae_present-false	bug-bug_wings_color-orange	distr2	25045	clickedObj
41	flowers_purple_stems_white_petals_or_orange_centers	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321220152	listener	flower-petals_color-white	flower-petals_color-purple	flower-thorns_present-true	target	24131	clickedObj
42	fish_orange_bodies_purple_stripes	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321246100	listener	fish-stripes_present	fish-stripes_present-false	fish-stripes_color-purple	target	22882	clickedObj
43	fish_whiskers	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321304012	listener	fish-whiskers_present	fish-body_color-purple	fish-whiskers_present-true	distr1	54844	clickedObj
44	trees_without_leaves	development	0146-9cbdad4a-90a0-4caf-a8b1-5c4378c1793f	1554321317996	listener	tree-leaves_present	tree-leaves_present-true	tree-trunk_color-purple	distr1	10917	clickedObj
