trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_thorns	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554320985603	listener	flower-thorns_present	flower-center_color-white	flower-petals_color-white	target	232526	clickedObj
1	fish_white_bodies_orange_stripes_or_fangs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321008546	listener	fish-stripes_color-orange	fish-stripes_color-purple	fish-stripes_color-orange	target	19827	clickedObj
2	flowers_orange_petals_purple_centers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321038321	listener	flower-petals_color-orange	flower-stem_color-purple	flower-center_color-white	target	26652	clickedObj
3	birds_tails	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321058245	listener	bird-tail_present	bird-crest_tail_color-orange	bird-crest_tail_color-white	target	16786	clickedObj
4	fish_white_bodies_orange_stripes_or_fangs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321080272	listener	fish-body_color-white	fish-body_color-orange	fish-stripes_color-purple	target	18909	clickedObj
5	fish_whiskers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321102778	listener	fish-whiskers_present	fish-stripes_color-purple	fish-fangs_present-true	target	19383	clickedObj
6	trees_without_leaves	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321125183	listener	tree-leaves_present	tree-berries_color-orange	tree-trunk_color-white	target	19288	clickedObj
7	bugs_wings_antennae	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321146882	listener	bug-antennae_present	bug-antennae_present-false	bug-bug_wings_color-orange	target	18577	clickedObj
8	flowers_orange_stems	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321178730	listener	flower-stem_color-orange	flower-center_color-orange	flower-petals_color-purple	target	28728	clickedObj
9	flowers_thorns_purple_petals_or_orange_stems	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321205062	listener	flower-petals_color-purple	flower-center_color-purple	flower-petals_color-white	target	23213	clickedObj
10	bugs_purple_legs_white_heads_or_orange_wings	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321219126	listener	bug-bug_wings_color-orange	bug-wings_present-false	bug-bug_wings_color-purple	target	10950	clickedObj
11	bugs_white_heads_or_orange_antennae_purple_legs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321246540	listener	bug-head_color-white	bug-legs_color-purple	bug-antennae_color-orange	target	24294	clickedObj
12	trees_purple_berries	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321263932	listener	tree-berries_color-purple	tree-leaves_color-white	tree-trunk_color-white	target	14274	clickedObj
13	bugs_orange_head	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321286782	listener	bug-head_color-orange	bug-bug_wings_color-purple	bug-legs_color-white	target	19708	clickedObj
14	birds_purple_wings_crests	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321304342	listener	bird-bird_wing_color-purple	bird-crest_tail_color-purple	bird-crest_tail_color-white	target	14441	clickedObj
15	trees_purple_berries_or_white_trunks	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321327720	listener	tree-trunk_color-white	tree-leaves_color-white	tree-berries_present-true	target	20261	clickedObj
16	fish_orange_bodies_purple_stripes_or_whiskers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321345725	listener	fish-stripes_color-purple	fish-whiskers_present-true	fish-stripes_present-false	target	14884	clickedObj
17	bugs_orange_antennae_or_wings	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321362938	listener	bug-antennae_color-orange	bug-bug_wings_color-purple	bug-legs_color-white	target	14092	clickedObj
18	flowers_purple_stems_white_petals_or_orange_centers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321379533	listener	flower-center_color-orange	flower-stem_color-purple	flower-center_color-orange	target	13475	clickedObj
19	fish_white_stripes_or_purple_bodies_whiskers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321392800	listener	fish-body_color-purple	fish-body_color-orange	fish-fangs_present-true	target	10144	clickedObj
20	flowers_purple_stems_or_thorns_white_centers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321414805	listener	flower-center_color-white	flower-center_color-orange	flower-stem_color-orange	target	18882	clickedObj
21	bugs_purple_wings_or_white_legs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321448430	listener	bug-legs_color-white	bug-head_color-white	bug-legs_color-white	target	30498	clickedObj
22	birds_purple_wings_crests	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321460185	listener	bird-crest_present	bird-bird_wing_color-orange	bird-bird_wing_color-white	target	8638	clickedObj
23	flowers_purple_stems_white_petals_or_orange_centers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321476266	listener	flower-petals_color-white	flower-center_color-purple	flower-stem_color-purple	target	12956	clickedObj
24	birds_orange_wings_tails	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321507931	listener	bird-bird_wing_color-orange	bird-tail_present-false	bird-crest_present-false	target	28547	clickedObj
25	fish_orange_bodies_or_fangs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321528271	listener	fish-body_color-orange	fish-stripes_present-false	fish-stripes_color-purple	target	17220	clickedObj
26	birds_purple_tails	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321543400	listener	bird-crest_tail_color-purple	bird-bird_wing_color-orange	bird-tail_present-false	target	11993	clickedObj
27	birds_purple_wings_white_crests_or_white_tails	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321558675	listener	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-bird_wing_color-purple	target	12158	clickedObj
28	flowers_purple_stems_thorns	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321578266	listener	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	target	16474	clickedObj
29	trees_purple_trunks_or_white_leaves_orange_berries	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321593719	listener	tree-leaves_color-white	tree-trunk_color-purple	tree-leaves_present-false	target	12346	clickedObj
30	trees_orange_trunks_berries	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321607259	listener	tree-berries_present	tree-leaves_color-purple	tree-trunk_color-orange	target	10420	clickedObj
31	birds_orange_tails_or_white_wings_orange_crests	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321619757	listener	bird-bird_wing_color-white	bird-crest_tail_color-white	bird-crest_present-false	target	9383	clickedObj
32	trees_purple_trunks_or_white_leaves_orange_berries	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321630753	listener	tree-berries_color-orange	tree-leaves_present-true	tree-leaves_color-purple	target	7880	clickedObj
33	flowers_purple_centers_or_orange_stems_with_thorns	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321644100	listener	flower-center_color-purple	flower-stem_color-purple	flower-petals_color-purple	target	10230	clickedObj
34	fish_white_stripes_whiskers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321662487	listener	fish-stripes_present	fish-stripes_color-purple	fish-fangs_present-true	target	15280	clickedObj
35	bugs_without_wings	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321680481	listener	bug-wings_present	bug-legs_color-purple	bug-antennae_color-orange	target	14873	clickedObj
36	fish_white_stripes_whiskers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321690583	listener	fish-stripes_color-white	fish-stripes_color-orange	fish-stripes_present-false	target	6985	clickedObj
37	fish_fangs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321703809	listener	fish-fangs_present	fish-stripes_color-white	fish-body_color-purple	target	10086	clickedObj
38	trees_orange_trunks_berries	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321714570	listener	tree-trunk_color-orange	tree-leaves_present-false	tree-leaves_color-white	target	7646	clickedObj
39	bugs_antennae_or_wings_purple_bodies	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321730202	listener	bug-body_color-purple	bug-antennae_present-true	bug-bug_wings_color-orange	target	12525	clickedObj
40	birds_orange_tails_or_white_wings_orange_crests	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321746685	listener	bird-crest_tail_color-orange	bird-crest_tail_color-orange	bird-bird_wing_color-orange	target	13367	clickedObj
41	trees_purple_trunks_or_white_leaves_orange_berries	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321761956	listener	tree-trunk_color-purple	tree-leaves_present-true	tree-berries_present-false	target	12145	clickedObj
42	bugs_white_heads_or_orange_antennae_purple_legs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321779234	listener	bug-legs_color-purple	bug-antennae_present-true	bug-bug_wings_color-orange	target	14185	clickedObj
43	bugs_purple_wings_or_white_legs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321803774	listener	bug-bug_wings_color-purple	bug-head_color-white	bug-wings_present-true	target	21424	clickedObj
44	trees_purple_leaves_berries	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1554321828344	listener	tree-leaves_color-purple	tree-trunk_color-purple	tree-trunk_color-white	target	21453	clickedObj
