trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	birds_purple_wings_white_crests_or_white_tails	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324405835	listener	bird-crest_tail_color-white	bird-bird_wing_color-white	bird-bird_wing_color-orange	target	39970	clickedObj
1	trees_leaves_berries_or_orange_trunks	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324424244	listener	tree-berries_present	tree-leaves_color-purple	tree-leaves_present-true	target	15345	clickedObj
2	fish_orange_bodies_or_fangs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324443711	listener	fish-body_color-orange	fish-whiskers_present-true	fish-stripes_present-false	target	16394	clickedObj
3	flowers_orange_stems_or_thorns	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324460682	listener	flower-thorns_present	flower-center_color-purple	flower-center_color-orange	target	13911	clickedObj
4	bugs_without_wings	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324480935	listener	bug-wings_present	bug-bug_wings_color-purple	bug-antennae_color-orange	target	17189	clickedObj
5	bugs_orange_antennae_or_wings	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324501095	listener	bug-antennae_color-orange	bug-legs_color-white	bug-antennae_color-orange	target	17078	clickedObj
6	fish_white_bodies_orange_stripes_or_fangs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324545647	listener	fish-stripes_color-orange	fish-stripes_present-true	fish-body_color-orange	target	41494	clickedObj
7	bugs_orange_head	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324561452	listener	bug-head_color-orange	bug-wings_present-true	bug-antennae_color-orange	target	12734	clickedObj
8	trees_purple_berries_or_white_trunks	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324587660	listener	tree-trunk_color-white	tree-leaves_present-false	tree-berries_color-purple	target	23133	clickedObj
9	birds_orange_wings_tails	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324604541	listener	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	target	13820	clickedObj
10	bugs_purple_wings_or_white_legs	development	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	1554324624594	listener	bug-legs_color-white	bug-wings_present-false	bug-legs_color-purple	target	16992	clickedObj
