trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	bugs_purple_wings_or_white_legs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306725391	listener	bug-legs_color-white	bug-body_color-purple	bug-wings_present-false	distr1	64755	clickedObj
1	flowers_purple_stems_white_petals_or_orange_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306762991	listener	flower-center_color-orange	flower-petals_color-orange	flower-stem_color-purple	target	34374	clickedObj
2	fish_fangs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306801943	listener	fish-fangs_present	fish-fangs_present-false	fish-body_color-white	target	35717	clickedObj
3	trees_leaves_berries_or_orange_trunks	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306828342	listener	tree-trunk_color-orange	tree-berries_color-purple	tree-leaves_color-purple	target	23059	clickedObj
4	fish_orange_bodies_or_fangs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306870085	listener	fish-body_color-orange	fish-stripes_color-white	fish-fangs_present-true	target	38515	clickedObj
5	fish_white_stripes_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306901909	listener	fish-stripes_present	fish-stripes_color-white	fish-stripes_color-orange	target	28548	clickedObj
6	trees_without_leaves	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306933062	listener	tree-leaves_present	tree-berries_present-true	tree-berries_color-purple	target	27913	clickedObj
7	trees_white_leaves_or_orange_berries	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554306966733	listener	tree-leaves_color-white	tree-berries_present-false	tree-leaves_color-white	target	30447	clickedObj
8	flowers_purple_petals_or_thorns	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307018022	listener	flower-petals_color-purple	flower-center_color-orange	flower-petals_color-orange	target	48015	clickedObj
9	birds_purple_wings_white_crests_or_white_tails	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307032165	listener	bird-crest_tail_color-white	bird-crest_tail_color-white	bird-crest_tail_color-purple	target	10923	clickedObj
10	bugs_antennae_or_wings_purple_bodies	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307059895	listener	bug-body_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	target	24500	clickedObj
11	birds_orange_tails_or_white_wings	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307107679	listener	bird-bird_wing_color-white	bird-bird_wing_color-orange	bird-crest_tail_color-white	target	44544	clickedObj
12	flowers_purple_stems_thorns	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307146951	listener	flower-stem_color-purple	flower-center_color-white	flower-petals_color-orange	target	36049	clickedObj
13	trees_purple_berries_or_white_trunks	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307168728	listener	tree-trunk_color-white	tree-leaves_color-purple	tree-berries_present-false	target	18552	clickedObj
14	bugs_white_heads_or_orange_antennae_purple_legs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307218584	listener	bug-head_color-white	bug-legs_color-purple	bug-wings_present-false	target	46633	clickedObj
15	trees_purple_berries	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307244176	listener	tree-berries_color-purple	tree-leaves_color-white	tree-berries_color-purple	target	22366	clickedObj
16	fish_white_stripes_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307274782	listener	fish-stripes_color-white	fish-stripes_present-true	fish-stripes_color-white	target	27384	clickedObj
17	trees_white_leaves_or_orange_berries	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307301203	listener	tree-berries_color-orange	tree-trunk_color-purple	tree-trunk_color-white	target	23194	clickedObj
18	bugs_white_heads_or_orange_antennae_purple_legs	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307331921	listener	bug-legs_color-purple	bug-head_color-white	bug-legs_color-white	target	27496	clickedObj
19	birds_orange_wings_tails	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307357698	listener	bird-bird_wing_color-orange	bird-crest_tail_color-white	bird-crest_tail_color-orange	target	22555	clickedObj
20	flowers_orange_petals_purple_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307385376	listener	flower-petals_color-orange	flower-center_color-orange	flower-stem_color-orange	target	24459	clickedObj
21	trees_leaves_berries_or_orange_trunks	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307405915	listener	tree-berries_present	tree-leaves_present-false	tree-leaves_color-white	target	17318	clickedObj
22	flowers_purple_stems_white_petals_or_orange_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307431368	listener	flower-petals_color-white	flower-center_color-purple	flower-petals_color-white	target	22118	clickedObj
23	bugs_purple_legs_white_heads_or_orange_wings	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307470066	listener	bug-bug_wings_color-orange	bug-legs_color-purple	bug-body_color-purple	target	35474	clickedObj
24	flowers_purple_stems_or_thorns_white_centers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307500089	listener	flower-center_color-white	flower-petals_color-orange	flower-center_color-purple	target	26796	clickedObj
25	fish_whiskers	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307534390	listener	fish-whiskers_present	fish-whiskers_present-false	fish-stripes_color-white	target	31077	clickedObj
26	birds_orange_crests_or_purple_wings	development	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	1554307558346	listener	bird-bird_wing_color-purple	bird-crest_tail_color-white	bird-tail_present-true	target	20736	clickedObj
