example_id	message	distr1	distr2	target
1952523432686385243	Fish with purple fins and no whiskers~~~	71b9126b-e790-8c41-58c5-faa15fcf6146.png	d02b8d2d-92db-6a39-fc7d-3f843eb4c1ea.png	cddb4ad4-8d71-37fe-39b6-e9330d0b16e9.png
2088963960893364954	Purple bug with lots of legs but no wings~~~	a4857b93-fd45-0c3b-46b8-5665b30dfda0.png	a273ea61-1e69-64e4-14ec-c2b9b67bf85f.png	5b071ad2-237e-d302-5bad-28ea804e619c.png
-5543781446701248707	Tree with red leaves and red berries~~~	9f725f2a-0769-aa7c-1087-e168ef252e14.png	66cd36e5-9e5c-e151-1fdd-7ccf43d66597.png	212e93b8-8322-09a7-dd73-aa0a34b96892.png
-6419155576507402150	Tree with blue leaves and trunk and red berries~~~	ed90a446-1c61-a64b-c9d7-56f78d5746cb.png	a05adf7a-6096-1844-9cc6-973fe1cca02c.png	30b9c9fb-2f29-2cc9-a8b2-5e79b3ed221e.png
-6234882016426737428	Tree with orange trunk, orange leaves, blue berries~~~	dacc153e-dc10-00f8-a5d0-7ae299ff56a8.png	34b4af02-ffca-7d78-4940-e916e00f0dd3.png	59e7b6e0-9827-588f-1395-d6b32a8748f0.png
-985570625465076584	Bird with purple head, purple body, orange tail, orange head feathers, orange wing~~~	3d4082ee-63dd-60c1-db67-62acbd808365.png	24724c2b-9672-541a-e3bf-a572c1a936de.png	64ee6605-41f3-c850-61ee-11e7b4bb3b2c.png
8245547810460246396	All white bug with purple head and body~~~	be3e1de6-d1f4-01ab-a595-ccfb21ff9f50.png	90e3f10c-4fb6-ee07-8b3d-21d688abd4b8.png	0877fe9f-b02b-22b6-4622-46114e2ad2f4.png
7934119634053427291	All white flower with purple center of flower~~~	461d7385-6484-6aa4-0ffa-11005cfed2d7.png	c09bf056-5e23-8e9e-e5a2-a54bed86948e.png	7893523e-a3fd-9207-7f2c-2c8c67c0a9ca.png
3931917562861320129	White fish, purple stripes, orange fins~~~ No fangs~~~ They all have whiskers, but one has a large fang in front of the whiskers~~~~~~~~~you can't see that?	4c4ad903-e124-8fc1-c303-b6abd9cc9183.png	45ea1c0e-1e6a-c10a-42cd-33d5724f276f.png	374e87fd-9665-47d6-65ef-c35ed8910be5.png
-4598622439566355075	Flower with white stem, orange in the middle~~~	c7cacabd-900e-7d22-1fc2-1c16088f47e0.png	0deb356e-7be0-0db8-28b0-69e66cd86ed2.png	301db6ad-5bee-275c-001e-d1a9271082fb.png
7929836491756624997	Bird with white head, white body, purple wing, no extra feathers~~~	3c75b7cb-cb01-e5fe-f5e7-fcb55ace0edd.png	37405dc6-8053-6f5b-e1f4-163f7596a68c.png	36104760-8d50-9d0b-8f87-e2977289cb4d.png
-4355629937561038523	Tree with purple trunk, green leaves, purple berries~~~	48a36ec6-1e5b-cade-27e9-6735afb5e764.png	7bdaf499-ba51-7116-ac3c-91e56c8c0742.png	7e63e1ae-ed7a-47e3-07cd-d2d7a7bdfc9f.png
6588961230406435365	Purple fish with orange stripes~~~	80aab553-6569-d86a-bc3e-7b170e55d9b7.png	4e5347e3-653d-d512-63b2-77e2458c6d4c.png	8f4b5e4a-7409-d570-1609-ae5b155152a7.png
-4368538398420963796	Tree with green trunk, green leaves and purple berries~~~	ebdc8479-2218-022a-04ff-038640e213b4.png	5607b022-d8cf-74d2-135d-1c2a60f3ac35.png	52a2af46-3cc3-0192-7f82-ceb183a8debb.png
7192692921147079430	Flower with orange stem, and two shades of purple in the flower head~~~	71b3d997-34cd-e061-824e-c80e4f0fcedd.png	82027d50-909f-c78d-5216-9babddf2e398.png	d47f1855-dccc-8791-27c7-f49ddb3a90e5.png
-404489628733549032	Bug, orange head, orange wings and legs, purple body, white antenna~~~	4eb50b3d-f4e8-fdb0-5cd0-bdc1cb5eb2e2.png	0325e9b2-15cc-52d7-0615-7365e49e4e02.png	d6015c82-6e44-8430-563b-e7a1ce579137.png
5798800749150716427	Tree, red trunk, purple leaves, orange berries~~~	6073857f-0502-e881-9b25-314d22889c1b.png	0de86f38-3496-386e-3eed-cbcb33bb099a.png	37d48f47-2d98-65e4-fdac-5c4d8d2783b4.png
2180872857233887572	Tree, red trunk, purple berries, green leaves~~~	0bd3e85c-ea59-119f-d01b-b20750e74099.png	605d312c-0cf1-fa70-fb1b-74f6e0e42844.png	9063376e-1bc8-1bca-5685-6e3df8be2f36.png
-1761023334400229798	Flower, white stem, purple tendrils and center, orange spots on white flower~~~	0e8c9208-8a01-9e66-e639-5090a6853ae1.png	0be46dff-5d41-5b18-deeb-d7a97c4e6c33.png	a43dd632-7f37-2348-4ff9-5c4f79ab7a23.png
6818658318379001191	All purple bug with purple wings and orange head~~~	50cffba1-4ee0-f9d7-a9ef-7a4986351679.png	1134fd3d-033e-202b-52e8-2c5b936f648f.png	d119db5e-5b7c-c4b1-6b59-7895913541ff.png
7592030086881469072	Tree with green trunk and berries, blue leaves~~~	a7c1ea1c-2cbc-c8c6-504a-5a89f7e3afe5.png	421c0d7e-0085-0a81-afc1-979e9d2dc18c.png	7b98e51b-5d47-e38d-6ed1-3cdd32c65830.png
3523860970841474582	Bug, purple wings and antenna, orange body and legs, white head~~~	47d6db10-7137-36e8-08ab-748e88a1c83b.png	378de7b7-c18a-2928-8aef-1d8b25e4daa3.png	20d8b686-8669-af11-91d2-612971a3bec8.png
4197299251164455350	Flower, purple stem and center, white flower and tendrils, purple spots~~~	f4cf1302-ec35-18a9-ea7a-d5d4987cc6b1.png	edbea394-6ed2-3eeb-5896-7f252424cfba.png	1285c47c-4f43-87ce-bee0-d713cb48cee0.png
4469689947661821150	Bug, orange wings, purple legs and head, white body and antenna~~~	a306689f-6597-d808-738a-e449debf2d2d.png	f27b0361-e12b-eab2-1b64-00a413f6ce0a.png	98667ef6-6d04-6986-bd5b-e508690bbe01.png
1520024912881567934	Bald all white bird with purple tail feathers~~~	721ed9bc-6b37-20b1-b4a7-badbdf88fc05.png	010be447-8116-ce1e-e8aa-374f3c1e984c.png	dfd1c5ae-62bb-52f4-01a0-ca1226e3b64f.png
-7207019451804115886	Bird, white head, body and wing, purple feathers on head and tail~~~ Sorry, orange feathers!!	142f87a1-fd40-e72b-1331-77ad08ee349d.png	d263bcca-2d02-81f3-a1a7-2aeb00cbaf27.png	8389ca9c-e3b2-5a5e-4b3a-02c0dabc1265.png
1982443613827793307	Flower, purple stem, center and tendrils, white flower head with white spots~~~ No thorns~~~	e5507bef-8fa9-cd32-3c13-ce21ae27d77f.png	a11a4cb3-ce77-cd63-d6c5-c127695388d3.png	66fab26e-247e-e720-8b42-da2628cc92c1.png
4991018054428540530	Bird, all purple head, body, head feathers and tail feathers, orange wing~~~	1cac76ac-d0c6-d56e-733c-daaf115678e3.png	19ba4af2-925f-c2b4-701a-990ca7130766.png	1572b32e-1c92-2105-2f49-ea097ab960c3.png
3488955367163894124	Bald all purple bird with tail feathers~~~	16247a5b-94ae-287f-51aa-32fa3a74eeff.png	8353028b-458e-32cb-1c4e-8fc5d2439203.png	ce8b2a7d-055a-7017-3b16-79eed429ef04.png
-7677418071101259888	White fish, orange stripes, has whiskers and fangs~~~	7989487c-4dcb-ed40-d446-22b121b77a8b.png	2b00b40e-26e9-ad2a-f2d0-1e889b5a3d94.png	bc27b12d-2d8a-2b98-9675-6203c6f567c6.png
-1309829489395906957	Flower, white stem with thorns, purple tendrils, two shades of orange in flower head with white center and spots~~~	2807b097-e036-8b35-e9fc-32c55b773491.png	1367cbde-2b9d-2bf6-1ad3-34db95b28e96.png	b09dcbd9-4ab3-678d-1772-7cfcfed3f6c7.png
-2116982464448088832	Flower, white stem, white flower head, orange spots, purple center~~~	99378e21-902c-2d7f-3503-f1a9c4237034.png	bad5822b-ab0e-f224-f7fd-e09e0d18b650.png	08a6ddfe-882a-bf8a-34e3-5813d5119ff4.png
7056849189164490281	Bug, white head, white wings, orange legs, purple body, no antenna~~~	67f9250d-8187-c2a9-4223-9d5b7e1a326c.png	2752ea44-b68e-0389-58c1-4302dd6704a9.png	8cec24bd-28c4-937c-9330-2bec220f7fc7.png
-5664389408926011531	Orange fish, white stripes, purple fins, fangs~~~	b0c3f94f-ef9d-09d9-1c3d-5b1a4c3d6b9c.png	c66f2a85-4be7-ee2e-26de-acb8c3dba48c.png	66477c40-2f81-7e35-8aaf-51be0f21a31a.png
2481479641822941148	Tree, green trunk, red leaves, orange berries~~~	4e3a2eb5-1eae-4ac4-83de-df0c1bb5da59.png	cc5c511a-d02c-d872-b51d-708a7c2aaa71.png	c31974c6-92c7-dd99-a9dc-ad5980a80e57.png
7454281600720478502	Flower, orange stem, white tendrils, purple flower head with orange center~~~	a01bfe4b-6aa5-5336-368d-8355f6e5ba8b.png	47b51c2f-d93b-1455-60ae-690e8dc40811.png	fe0fedcb-b489-0b78-1b80-99ed0f490631.png
-6574021243009191456	Bug, white head, antenna and body, purple legs~~~	c285939c-b79f-936a-4cad-a48c926a710a.png	84e51904-7204-c5ea-d84c-08a5c93011a9.png	29357fec-12d3-c92e-358e-a1e9e0dfb443.png
7780116507667263360	Orange fish, white stripes, white fins, whiskers and fangs~~~	261db88f-3c65-8788-3044-409b635fbb16.png	5a87e356-cdcb-9f1b-719a-62471373031a.png	8eb6d065-df03-659c-1c5d-d08f63c44284.png
